Skoleår;Utdanningsprogram;Nivå;Skole;Fullførtkode;B;H;I;M;S
2022/23;Alle utdanningsprogram;Totalt;Vestfold;;6 669;251;327;388;262
2022/23;Alle utdanningsprogram;Totalt;Eksamenskontoret i Vestfold;;0;1;0;0;0
2022/23;Alle utdanningsprogram;Totalt;Færder videregående skole;;532;31;34;35;29
2022/23;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;;669;16;30;54;14
2022/23;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;;137;16;12;13;14
2022/23;Alle utdanningsprogram;Totalt;Horten videregående skole;;868;37;56;52;26
2022/23;Alle utdanningsprogram;Totalt;Melsom videregående skole;;131;0;6;14;11
2022/23;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;;505;2;30;29;8
2022/23;Alle utdanningsprogram;Totalt;Re videregående skole;;715;22;16;18;13
2022/23;Alle utdanningsprogram;Totalt;Sande videregående skole;;325;9;14;18;9
2022/23;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;;1 582;85;76;105;70
2022/23;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;;1 205;32;53;50;68
2022/23;BA;Totalt;Vestfold;;306;12;19;30;35
2022/23;BA;vg1;Vestfold;;167;7;14;21;25
2022/23;BA;vg1;Færder videregående skole;;53;2;5;12;4
2022/23;BA;vg1;Re videregående skole;;68;1;1;1;4
2022/23;BA;vg1;Thor Heyerdahl videregående skole;;46;4;8;8;17
2022/23;BA;vg2;Vestfold;;139;5;5;9;10
2022/23;BA;vg2;Færder videregående skole;;42;1;4;2;5
2022/23;BA;vg2;Re videregående skole;;56;3;1;4;2
2022/23;BA;vg2;Thor Heyerdahl videregående skole;;41;1;0;3;3
2022/23;EL;Totalt;Vestfold;;362;7;11;3;9
2022/23;EL;vg1;Vestfold;;192;4;2;2;4
2022/23;EL;vg1;Færder videregående skole;;59;2;0;1;2
2022/23;EL;vg1;Horten videregående skole;;29;1;1;1;1
2022/23;EL;vg1;Sande videregående skole;;27;0;0;0;1
2022/23;EL;vg1;Sandefjord videregående skole;;29;1;1;0;0
2022/23;EL;vg1;Thor Heyerdahl videregående skole;;48;0;0;0;0
2022/23;EL;vg2;Vestfold;;138;3;7;0;4
2022/23;EL;vg2;Færder videregående skole;;32;0;0;0;0
2022/23;EL;vg2;Horten videregående skole;;26;2;0;0;3
2022/23;EL;vg2;Sande videregående skole;;13;0;1;0;0
