Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2023/24;Alle utdanningsprogram;Totalt;Vestfold;6 589;274;370;424;263
2023/24;BA;Totalt;Vestfold;300;21;20;18;27
2023/24;EL;Totalt;Vestfold;354;20;21;9;5
2023/24;FD;Totalt;Vestfold;101;5;6;19;22
2023/24;HS;Totalt;Vestfold;635;41;47;45;45
2023/24;ID;Totalt;Vestfold;543;5;23;17;7
2023/24;IM;Totalt;Vestfold;137;5;3;5;4
2023/24;KD;Totalt;Vestfold;141;17;12;14;9
2023/24;MD;Totalt;Vestfold;223;16;5;15;10
2023/24;ME;Totalt;Vestfold;138;11;11;7;7
2023/24;NA;Totalt;Vestfold;67;4;1;4;1
2023/24;PB;Totalt;Vestfold;384;15;26;24;20
2023/24;RM;Totalt;Vestfold;91;5;7;21;15
2023/24;SR;Totalt;Vestfold;287;7;7;29;20
2023/24;ST;Totalt;Vestfold;2 843;67;166;155;41
2023/24;TP;Totalt;Vestfold;345;35;15;42;30
2023/24;BA;vg 1;Vestfold;159;14;12;12;18
2023/24;EL;vg 1;Vestfold;173;13;9;5;2
2023/24;FD;vg 1;Vestfold;42;2;5;10;14
2023/24;HS;vg 1;Vestfold;315;28;28;24;30
2023/24;ID;vg 1;Vestfold;187;4;5;4;2
2023/24;IM;vg 1;Vestfold;67;3;2;3;3
2023/24;KD;vg 1;Vestfold;41;9;3;3;5
2023/24;MD;vg 1;Vestfold;75;5;1;6;8
2023/24;ME;vg 1;Vestfold;50;9;1;3;3
2023/24;NA;vg 1;Vestfold;37;3;0;1;1
2023/24;RM;vg 1;Vestfold;52;5;3;14;11
2023/24;SR;vg 1;Vestfold;160;6;3;15;17
2023/24;ST;vg 1;Vestfold;957;28;44;31;17
2023/24;TP;vg 1;Vestfold;163;23;8;29;21
2023/24;Alle utdanningsprogram;vg 1;Vestfold;2 478;152;124;160;152
2023/24;BA;vg 2;Vestfold;141;7;8;6;9
2023/24;EL;vg 2;Vestfold;156;6;6;3;3
2023/24;FD;vg 2;Vestfold;40;2;1;9;8
2023/24;HS;vg 2;Vestfold;290;13;12;17;14
2023/24;ID;vg 2;Vestfold;177;1;12;8;1
2023/24;IM;vg 2;Vestfold;70;2;1;2;1
2023/24;KD;vg 2;Vestfold;51;5;7;5;4
2023/24;MD;vg 2;Vestfold;71;6;4;4;2
2023/24;ME;vg 2;Vestfold;40;0;6;2;3
2023/24;NA;vg 2;Vestfold;28;1;1;3;0
2023/24;RM;vg 2;Vestfold;39;0;4;7;4
2023/24;SR;vg 2;Vestfold;127;1;4;14;3
2023/24;ST;vg 2;Vestfold;884;23;75;84;13
2023/24;TP;vg 2;Vestfold;182;11;7;13;9
2023/24;Alle utdanningsprogram;vg 2;Vestfold;2 296;78;148;177;74
2023/24;EL;vg 3;Vestfold;25;1;6;1;0
2023/24;FD;vg 3;Vestfold;19;1;0;0;0
2023/24;HS;vg 3;Vestfold;30;0;7;4;1
2023/24;ID;vg 3;Vestfold;179;0;6;5;4
2023/24;KD;vg 3;Vestfold;49;3;2;6;0
2023/24;MD;vg 3;Vestfold;77;5;0;5;0
2023/24;ME;vg 3;Vestfold;48;2;4;2;1
2023/24;NA;vg 3;Vestfold;2;0;0;0;0
2023/24;PB;vg 3;Vestfold;384;15;26;24;20
2023/24;ST;vg 3;Vestfold;1 002;16;47;40;11
2023/24;TP;vg 3;Vestfold;0;1;0;0;0
2023/24;Alle utdanningsprogram;vg 3;Vestfold;1 815;44;98;87;37
2023/24;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 174;41;45;75;37
2023/24;BA;Totalt;Thor Heyerdahl videregående skole;74;8;4;5;10
2023/24;EL;Totalt;Thor Heyerdahl videregående skole;86;1;0;6;2
2023/24;HS;Totalt;Thor Heyerdahl videregående skole;102;6;3;5;2
2023/24;ID;Totalt;Thor Heyerdahl videregående skole;160;3;9;2;1
2023/24;MD;Totalt;Thor Heyerdahl videregående skole;58;3;3;4;1
2023/24;ME;Totalt;Thor Heyerdahl videregående skole;52;5;2;4;2
2023/24;PB;Totalt;Thor Heyerdahl videregående skole;45;3;5;8;3
2023/24;RM;Totalt;Thor Heyerdahl videregående skole;16;2;1;6;6
2023/24;SR;Totalt;Thor Heyerdahl videregående skole;75;1;1;7;3
