Skoleår;Utdanningsprogram;Nivå;Skole;B;H;I;M;S
2023/24;Alle utdanningsprogram;Totalt;Vestfold;6 329;280;585;465;264
2023/24;BA;vg 1;Vestfold;158;14;13;12;18
2023/24;BA;vg 1;Færder videregående skole;56;7;6;2;5
2023/24;BA;vg 1;Re videregående skole;57;2;7;6;7
2023/24;BA;vg 1;Thor Heyerdahl videregående skole;45;5;0;4;6
2023/24;BA;vg 2;Vestfold;134;7;15;6;9
2023/24;BA;vg 2;Færder videregående skole;44;4;4;3;1
2023/24;BA;vg 2;Re videregående skole;64;0;4;2;4
2023/24;BA;vg 2;Thor Heyerdahl videregående skole;26;3;7;1;4
2023/24;EL;vg 1;Vestfold;170;13;12;5;2
2023/24;EL;vg 1;Færder videregående skole;47;10;5;0;1
2023/24;EL;vg 1;Horten videregående skole;28;0;3;1;0
2023/24;EL;vg 1;Sande videregående skole;25;0;3;0;1
2023/24;EL;vg 1;Sandefjord videregående skole;27;2;1;0;0
2023/24;EL;vg 1;Thor Heyerdahl videregående skole;43;1;0;4;0
2023/24;EL;vg 2;Vestfold;153;6;9;3;3
2023/24;EL;vg 2;Færder videregående skole;46;0;2;0;0
2023/24;EL;vg 2;Horten videregående skole;28;1;1;1;1
2023/24;EL;vg 2;Sande videregående skole;12;0;4;0;0
2023/24;EL;vg 2;Sandefjord videregående skole;25;5;1;0;0
2023/24;EL;vg 2;Thor Heyerdahl videregående skole;42;0;1;2;2
2023/24;EL;vg 3;Vestfold;22;0;9;1;0
2023/24;EL;vg 3;Færder videregående skole;16;0;0;0;0
2023/24;EL;vg 3;Horten videregående skole;6;0;9;1;0
2023/24;FD;vg 1;Vestfold;42;2;5;10;14
2023/24;FD;vg 1;Horten videregående skole;15;2;3;2;9
2023/24;FD;vg 1;Sandefjord videregående skole;27;0;2;8;5
2023/24;FD;vg 2;Vestfold;36;2;3;11;8
2023/24;FD;vg 2;Horten videregående skole;9;1;0;4;0
2023/24;FD;vg 2;Sandefjord videregående skole;27;1;3;7;8
2023/24;FD;vg 3;Vestfold;19;1;0;0;0
2023/24;FD;vg 3;Eksamenskontoret i Vestfold;0;1;0;0;0
2023/24;FD;vg 3;Sandefjord videregående skole;19;0;0;0;0
2023/24;HS;vg 1;Vestfold;299;29;43;24;30
2023/24;HS;vg 1;Holmestrand videregående skole;13;0;0;4;1
2023/24;HS;vg 1;Horten videregående skole;60;8;6;4;0
2023/24;HS;vg 1;Nøtterøy videregående skole;31;2;4;4;7
2023/24;HS;vg 1;Re videregående skole;63;5;3;2;1
2023/24;HS;vg 1;Sande videregående skole;20;3;5;3;6
2023/24;HS;vg 1;Sandefjord videregående skole;65;6;20;5;13
2023/24;HS;vg 1;Thor Heyerdahl videregående skole;47;5;5;2;2
2023/24;HS;vg 2;Vestfold;282;13;19;18;14
2023/24;HS;vg 2;Holmestrand videregående skole;11;0;0;1;1
2023/24;HS;vg 2;Horten videregående skole;44;3;5;2;3
2023/24;HS;vg 2;Nøtterøy videregående skole;36;1;3;2;4
2023/24;HS;vg 2;Re videregående skole;59;1;2;1;1
2023/24;HS;vg 2;Sande videregående skole;17;0;0;2;1
2023/24;HS;vg 2;Sandefjord videregående skole;63;7;8;7;4
2023/24;HS;vg 2;Thor Heyerdahl videregående skole;52;1;1;3;0
2023/24;HS;vg 3;Vestfold;30;0;7;4;1
2023/24;HS;vg 3;Nøtterøy videregående skole;14;0;0;1;0
2023/24;HS;vg 3;Sandefjord videregående skole;16;0;7;3;1
2023/24;ID;vg 1;Vestfold;181;4;11;4;2
2023/24;ID;vg 1;Horten videregående skole;22;0;5;2;0
2023/24;ID;vg 1;Re videregående skole;56;2;0;0;0
2023/24;ID;vg 1;Sande videregående skole;15;0;4;2;2
2023/24;ID;vg 1;Sandefjord videregående skole;31;0;1;0;0
2023/24;ID;vg 1;Thor Heyerdahl videregående skole;57;2;1;0;0
2023/24;ID;vg 2;Vestfold;166;1;23;8;1
2023/24;ID;vg 2;Horten videregående skole;25;0;1;4;0
2023/24;ID;vg 2;Re videregående skole;45;0;12;0;1
2023/24;ID;vg 2;Sande videregående skole;20;0;1;0;0
2023/24;ID;vg 2;Sandefjord videregående skole;24;0;2;4;0
2023/24;ID;vg 2;Thor Heyerdahl videregående skole;52;1;7;0;0
2023/24;ID;vg 3;Vestfold;172;1;12;5;4
2023/24;ID;vg 3;Horten videregående skole;27;0;2;1;1
2023/24;ID;vg 3;Re videregående skole;52;0;3;2;1
2023/24;ID;vg 3;Sande videregående skole;18;0;0;0;1
2023/24;ID;vg 3;Sandefjord videregående skole;29;1;1;0;0
2023/24;ID;vg 3;Thor Heyerdahl videregående skole;46;0;6;2;1
2023/24;IM;vg 1;Vestfold;67;3;2;3;3
2023/24;IM;vg 1;Greveskogen videregående skole;27;1;2;0;1
2023/24;IM;vg 1;Horten videregående skole;11;2;0;0;2
2023/24;IM;vg 1;Sandefjord videregående skole;29;0;0;3;0
2023/24;IM;vg 2;Vestfold;68;2;1;4;1
2023/24;IM;vg 2;Greveskogen videregående skole;29;0;0;3;0
2023/24;IM;vg 2;Horten videregående skole;14;2;0;0;0
2023/24;IM;vg 2;Sandefjord videregående skole;25;0;1;1;1
2023/24;KD;vg 1;Vestfold;40;9;4;3;5
2023/24;KD;vg 1;Færder videregående skole;23;6;0;1;2
2023/24;KD;vg 1;Sandefjord videregående skole;17;3;4;2;3
2023/24;KD;vg 2;Vestfold;49;5;9;5;4
2023/24;KD;vg 2;Færder videregående skole;35;2;5;3;2
2023/24;KD;vg 2;Sandefjord videregående skole;14;3;4;2;2
2023/24;KD;vg 3;Vestfold;46;3;5;6;0
2023/24;KD;vg 3;Færder videregående skole;24;1;3;3;0
2023/24;KD;vg 3;Sandefjord videregående skole;22;2;2;3;0
2023/24;MD;vg 1;Vestfold;75;5;1;6;8
2023/24;MD;vg 1;Greveskogen videregående skole;19;1;1;2;5
