ProgramomraadeNivaa;;Fylke;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23
0;Lærling;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;669;675;700;;;;;847
0;Praksiskandidat;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;456;394;443;;;;;474
0;Fagopplæring i skole;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;191;157;76;;;;;62
0;Fagbrev på jobb;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;;;7
0;Kompetansebevis;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;81;47;56;;;;;51
2;Lærling;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;124;138;145;;;;;216
2;Lærling;Vestfold;DH;DH;Design og håndverk;Alle programområder;20;30;20;;;;;20
2;Lærling;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;90;69;81;;;;;128
2;Lærling;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;131;130;124;;;;;147
2;Lærling;Vestfold;NA;NA;Naturbruk;Alle programområder;6;13;14;;;;;21
2;Lærling;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;45;41;42;;;;;53
2;Lærling;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;;;;;;;;1
2;Lærling;Vestfold;SS;SS;Service og samferdsel;Alle programområder;97;114;108;;;;;106
2;Lærling;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;155;137;163;;;;;155
2;Praksiskandidat;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;85;87;93;;;;;119
2;Praksiskandidat;Vestfold;DH;DH;Design og håndverk;Alle programområder;2;3;4;;;;;1
2;Praksiskandidat;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;15;6;14;;;;;22
2;Praksiskandidat;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;171;144;184;;;;;162
2;Praksiskandidat;Vestfold;NA;NA;Naturbruk;Alle programområder;3;4;2;;;;;2
2;Praksiskandidat;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;6;10;22;;;;;17
2;Praksiskandidat;Vestfold;SS;SS;Service og samferdsel;Alle programområder;122;93;87;;;;;103
2;Praksiskandidat;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;49;46;37;;;;;48
2;Fagopplæring i skole;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;1;2;;;;;;
2;Fagopplæring i skole;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;19;12;9;;;;;2
2;Fagopplæring i skole;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;96;98;54;;;;;52
2;Fagopplæring i skole;Vestfold;NA;NA;Naturbruk;Alle programområder;;2;1;;;;;
2;Fagopplæring i skole;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2;4;1;;;;;2
2;Fagopplæring i skole;Vestfold;SS;SS;Service og samferdsel;Alle programområder;17;12;5;;;;;6
2;Fagopplæring i skole;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;56;27;6;;;;;
2;Fagbrev på jobb;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;;;;;2
2;Fagbrev på jobb;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;;;;;3
2;Fagbrev på jobb;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;;;;;;;;2
0;Lærling;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;1 318;1 385;1 377;1 372;
0;Praksiskandidat;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;730;710;766;771;
0;Fagopplæring i skole;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;90;97;77;83;
0;Fagbrev på jobb;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;;;15;23;
0;Kompetansebevis;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;;;;93;73;85;83;
2;Lærling;Vestfold og Telemark;BA;BA;Bygg- og anleggsteknikk;Alle programområder;;;;246;300;302;334;
2;Lærling;Vestfold og Telemark;DH;DH;Design og håndverk;Alle programområder;;;;45;44;40;39;
2;Lærling;Vestfold og Telemark;EL;EL;Elektro og datateknologi;Alle programområder;;;;204;185;227;219;
2;Lærling;Vestfold og Telemark;HS;HS;Helse- og oppvekstfag;Alle programområder;;;;282;304;300;249;
2;Lærling;Vestfold og Telemark;NA;NA;Naturbruk;Alle programområder;;;;20;26;16;15;
2;Lærling;Vestfold og Telemark;RM;RM;Restaurant- og matfag;Alle programområder;;;;66;59;52;64;
2;Lærling;Vestfold og Telemark;SS;SS;Service og samferdsel;Alle programområder;;;;165;190;173;166;
