ProgramomraadeNivaa;;Fylke;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;År;Fagbrev
0;Lærling;Vestfold;;Alle;Alle utdanningsprogram;Alle programområder;2023-24;841
0;Fagopplæring i skole;;;Alle;Alle utdanningsprogram;Alle programområder;2023-24;33
0;Praksiskandidat;;;Alle;Alle utdanningsprogram;Alle programområder;2023-24;415
0;Fagbrev på jobb;;;Alle;Alle utdanningsprogram;Alle programområder;2023-24;16
0;Kompetansebevis;;;Alle;Alle utdanningsprogram;Alle programområder;2023-24;49
2;Lærling;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2023-24;217
2;Lærling;Vestfold;DH;DH;Design og håndverk;Alle programområder;2023-24;11
2;Lærling;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2023-24;119
2;Lærling;Vestfold;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;2023-24;7
2;Lærling;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2023-24;140
2;Lærling;Vestfold;DT;DT;Håndverk, design og produktutvikling;Alle programområder;2023-24;2
2;Lærling;Vestfold;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;2023-24;28
2;Lærling;Vestfold;NA;NA;Naturbruk;Alle programområder;2023-24;23
2;Lærling;Vestfold;RM;RM;Restaurant- og matfag;Alle programområder;2023-24;47
2;Lærling;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2023-24;27
2;Lærling;Vestfold;SS;SS;Service og samferdsel;Alle programområder;2023-24;46
2;Lærling;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2023-24;174
2;Fagopplæring i skole;Vestfold;EL;EL;Elektro og datateknologi;Alle programområder;2023-24;3
2;Fagopplæring i skole;Vestfold;HS;HS;Helse- og oppvekstfag;Alle programområder;2023-24;24
2;Fagopplæring i skole;Vestfold;NA;NA;Naturbruk;Alle programområder;2023-24;2
2;Fagopplæring i skole;Vestfold;SR;SR;Salg, service og reiseliv;Alle programområder;2023-24;3
2;Fagopplæring i skole;Vestfold;TP;TP;Teknologi- og industrifag;Alle programområder;2023-24;1
2;Praksiskandidat;Vestfold;BA;BA;Bygg- og anleggsteknikk;Alle programområder;2023-24;119
2;Praksiskandidat;Vestfold;DH;DH;Design og håndverk;Alle programområder;2023-24;2
