Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever;Elevgrunnlag for totalfravær;Totalfravær (%);Antall fraværsdager;Antall fraværstimer
2022/23;Alle utdanningsprogram;Totalt;Vestfold;7 897;7 634;7,1%;7,6;27,0
2021/22;Alle utdanningsprogram;Totalt;Vestfold;7 893;7 670;2,8%;1,6;17,7
2020/21;Alle utdanningsprogram;Totalt;Vestfold;7 954;7 630;3,2%;2,8;15,7
2019/20;Alle utdanningsprogram;Totalt;Vestfold;7 833;7 444;4,2%;4,8;14,6
2018/19;Alle utdanningsprogram;Totalt;Vestfold;7 900;7 626;5,6%;6,2;20,5
2017/18;Alle utdanningsprogram;Totalt;Vestfold;8 122;7 778;5,4%;6,1;18,9
2022/23;BA;Totalt;Færder videregående skole;130;121;7,3%;7,1;34,1
2022/23;BA;Totalt;Re videregående skole;141;135;4,7%;3,7;26,8
2022/23;BA;Totalt;Thor Heyerdahl videregående skole;131;111;6,3%;7,0;24,9
2022/23;EL;Totalt;Færder videregående skole;113;111;3,0%;3,5;10,4
2022/23;EL;Totalt;Horten videregående skole;73;69;3,8%;3,5;18,9
2022/23;EL;Totalt;Sande videregående skole;42;41;4,0%;3,2;22,2
2022/23;EL;Totalt;Sandefjord videregående skole;68;66;3,1%;3,5;12,7
2022/23;EL;Totalt;Thor Heyerdahl videregående skole;96;96;2,9%;2,6;14,8
2022/23;FD;Totalt;Horten videregående skole;37;32;9,3%;10,4;36,4
2022/23;FD;Totalt;Sandefjord videregående skole;103;91;9,1%;7,8;48,6
2022/23;HS;Totalt;Holmestrand videregående skole;36;33;13,4%;16,9;42,5
2022/23;HS;Totalt;Horten videregående skole;135;131;10,6%;13,7;32,6
2022/23;HS;Totalt;Nøtterøy videregående skole;118;111;9,4%;11,6;31,2
2022/23;HS;Totalt;Re videregående skole;135;130;6,7%;8,8;19,1
2022/23;HS;Totalt;Sande videregående skole;79;75;9,5%;13,2;23,9
2022/23;HS;Totalt;Sandefjord videregående skole;217;205;11,3%;13,8;38,6
2022/23;HS;Totalt;Thor Heyerdahl videregående skole;123;113;5,1%;6,2;17,5
2022/23;ID;Totalt;Horten videregående skole;90;90;5,8%;6,3;23,6
2022/23;ID;Totalt;Re videregående skole;174;173;4,4%;4,0;22,4
2022/23;ID;Totalt;Sande videregående skole;63;63;7,3%;9,6;21,0
2022/23;ID;Totalt;Sandefjord videregående skole;90;90;4,8%;5,6;17,3
2022/23;ID;Totalt;Thor Heyerdahl videregående skole;181;180;5,9%;6,3;25,3
2022/23;IM;Totalt;Greveskogen videregående skole;47;45;5,0%;4,0;28,0
2022/23;IM;Totalt;Horten videregående skole;33;33;8,5%;11,2;24,5
2022/23;IM;Totalt;Sandefjord videregående skole;63;61;6,0%;7,1;21,3
2022/23;KD;Totalt;Færder videregående skole;110;109;8,6%;11,3;24,7
2022/23;KD;Totalt;Sandefjord videregående skole;71;71;8,8%;10,3;32,7
2022/23;MD;Totalt;Greveskogen videregående skole;74;74;7,2%;6,8;35,5
2022/23;MD;Totalt;Sandefjord videregående skole;122;120;5,3%;3,7;32,5
2022/23;MD;Totalt;Thor Heyerdahl videregående skole;69;69;6,8%;7,9;25,3
2022/23;ME;Totalt;Horten videregående skole;78;74;11,1%;12,7;42,1
2022/23;ME;Totalt;Melsom videregående skole;23;22;10,5%;15,3;22,5
2022/23;ME;Totalt;Sande videregående skole;18;18;9,4%;11,7;30,7
2022/23;ME;Totalt;Thor Heyerdahl videregående skole;74;70;5,2%;5,0;24,7
2022/23;NA;Totalt;Melsom videregående skole;87;80;7,3%;8,0;29,5
2022/23;PB;Totalt;Eksamenskontoret i Vestfold;1;0;-;-;-
2022/23;PB;Totalt;Færder videregående skole;142;136;9,1%;10,9;12,6
2022/23;PB;Totalt;Holmestrand videregående skole;26;20;23,8%;35,7;46,7
2022/23;PB;Totalt;Horten videregående skole;54;53;8,5%;10,8;26,2
2022/23;PB;Totalt;Melsom videregående skole;24;22;12,2%;13,0;50,1
2022/23;PB;Totalt;Nøtterøy videregående skole;13;13;7,7%;9,1;27,7
2022/23;PB;Totalt;Re videregående skole;30;30;7,3%;7,4;33,2
2022/23;PB;Totalt;Sande videregående skole;18;18;3,7%;3,9;15,5
2022/23;PB;Totalt;Sandefjord videregående skole;82;79;9,4%;7,1;50,0
2022/23;PB;Totalt;Thor Heyerdahl videregående skole;61;57;9,4%;7,8;50,6
2022/23;RM;Totalt;Greveskogen videregående skole;53;50;6,7%;5,1;39,5
2022/23;RM;Totalt;Holmestrand videregående skole;13;12;15,3%;0,5;147,0
2022/23;RM;Totalt;Sandefjord videregående skole;19;18;9,3%;13,5;19,9
2022/23;RM;Totalt;Thor Heyerdahl videregående skole;43;37;7,4%;10,0;20,5
2022/23;SR;Totalt;Greveskogen videregående skole;53;51;12,2%;12,4;55,1
2022/23;SR;Totalt;Horten videregående skole;34;32;13,0%;15,0;49,1
2022/23;SR;Totalt;Sandefjord videregående skole;135;122;8,3%;6,6;46,7
2022/23;SR;Totalt;Thor Heyerdahl videregående skole;73;65;9,5%;10,2;39,4
2022/23;ST;Totalt;Greveskogen videregående skole;556;549;8,0%;8,7;28,2
2022/23;ST;Totalt;Holmestrand videregående skole;101;101;8,7%;9,6;30,2
2022/23;ST;Totalt;Horten videregående skole;463;461;5,6%;6,9;16,3
2022/23;ST;Totalt;Melsom videregående skole;28;27;6,9%;7,3;25,1
2022/23;ST;Totalt;Nøtterøy videregående skole;443;442;7,8%;8,8;26,0
2022/23;ST;Totalt;Re videregående skole;304;303;6,6%;7,7;20,6
2022/23;ST;Totalt;Sande videregående skole;114;113;5,2%;6,1;16,1
2022/23;ST;Totalt;Sandefjord videregående skole;861;848;6,6%;6,5;26,1
2022/23;ST;Totalt;Thor Heyerdahl videregående skole;442;436;5,9%;5,2;26,9
2022/23;TP;Totalt;Færder videregående skole;166;155;6,0%;6,3;25,4
2022/23;TP;Totalt;Holmestrand videregående skole;16;12;6,8%;9,8;15,3
2022/23;TP;Totalt;Horten videregående skole;42;38;4,3%;2,8;27,6
2022/23;TP;Totalt;Sande videregående skole;41;38;11,5%;17,1;23,2
2022/23;TP;Totalt;Sandefjord videregående skole;87;77;6,2%;5,3;33,1
2022/23;TP;Totalt;Thor Heyerdahl videregående skole;115;106;3,9%;2,5;25,3
2021/22;BA;Totalt;Færder videregående skole;129;119;3,5%;1,6;25,5
2021/22;BA;Totalt;Re videregående skole;149;143;1,8%;0,8;13,2
2021/22;BA;Totalt;Thor Heyerdahl videregående skole;118;114;3,8%;3,2;20,4
2021/22;DH;Totalt;Sandefjord videregående skole;13;11;5,9%;8,9;11,0
2021/22;EL;Totalt;Færder videregående skole;106;104;0,8%;0,3;6,4
2021/22;EL;Totalt;Horten videregående skole;72;66;0,8%;0,6;4,9
2021/22;EL;Totalt;Sande videregående skole;43;43;1,3%;0,6;9,9
2021/22;EL;Totalt;Sandefjord videregående skole;66;62;2,1%;1,3;13,6
2021/22;EL;Totalt;Thor Heyerdahl videregående skole;96;96;1,5%;0,3;13,1
