Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2024/25;Elevgrunnlag for totalfravær 2024/25;Totalfravær (%) i 2024/25;Snitt fraværsdager i 2024/25;Snitt fraværtimer i 2024/25
2024/25;Alle utdanningsprogram;Totalt;Vestfold;7 923;7 668;8,0%;8,6;31,2
2024/25;BA;Totalt;Vestfold;395;372;5,5%;6,6;19,6
2024/25;EL;Totalt;Vestfold;403;396;4,4%;5,1;17,1
2024/25;FD;Totalt;Vestfold;160;147;10,8%;13,5;36,3
2024/25;HS;Totalt;Vestfold;859;810;9,5%;12,1;30,5
2024/25;ID;Totalt;Vestfold;597;591;6,4%;6,2;30,3
2024/25;IM;Totalt;Vestfold;152;143;7,1%;7,4;31,8
2024/25;KD;Totalt;Vestfold;170;164;8,0%;9,4;30,1
2024/25;MD;Totalt;Vestfold;277;273;7,4%;6,2;40,4
2024/25;ME;Totalt;Vestfold;139;136;10,1%;11,0;42,5
2024/25;NA;Totalt;Vestfold;94;92;9,7%;11,1;37,3
2024/25;PB;Totalt;Vestfold;453;436;9,9%;11,4;31,2
2024/25;RM;Totalt;Vestfold;134;123;9,2%;9,5;41,5
2024/25;SR;Totalt;Vestfold;385;362;9,9%;11,1;40,0
2024/25;ST;Totalt;Vestfold;3 217;3 167;8,0%;8,1;31,4
2024/25;TP;Totalt;Vestfold;488;456;7,7%;8,4;32,6
2024/25;BA;vg 1;Vestfold;231;217;5,4%;6,9;17,4
2024/25;EL;vg 1;Vestfold;199;196;4,8%;5,9;17,3
2024/25;FD;vg 1;Vestfold;81;71;8,4%;10,9;25,9
2024/25;HS;vg 1;Vestfold;482;449;9,4%;12,1;30,3
2024/25;ID;vg 1;Vestfold;213;212;5,6%;5,9;24,5
2024/25;IM;vg 1;Vestfold;79;73;7,9%;8,8;32,1
2024/25;KD;vg 1;Vestfold;56;52;6,6%;7,8;25,0
2024/25;MD;vg 1;Vestfold;104;101;6,2%;4,9;35,8
2024/25;ME;vg 1;Vestfold;47;45;12,9%;12,8;60,8
2024/25;NA;vg 1;Vestfold;42;41;9,8%;8,6;51,9
2024/25;RM;vg 1;Vestfold;81;72;9,9%;8,8;51,7
2024/25;SR;vg 1;Vestfold;218;203;10,7%;11,5;46,0
2024/25;ST;vg 1;Vestfold;1 106;1 090;6,9%;7,0;26,7
2024/25;TP;vg 1;Vestfold;290;267;9,4%;9,6;42,3
