Skoleår;Skole;Nivå;Utdanningsprogram;Ant. fraværsdager;Ant. fraværstimer;Totalfravær (%)
2017/18;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;4,3;17,7;4,1%
2018/19;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;3,6;12,3;3,2%
2019/20;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;3,9;19,2;4,0%
2020/21;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;4,7;25,2;5,1%
2021/22;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;1,8;28,8;3,9%
2022/23;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;9,1;29,0;7,8%
2023/24;Færder videregående skole;vg 1;Bygg- og anleggsteknikk;3,0;8,5;2,5%
2017/18;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;11,4;14,4;7,6%
2018/19;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;5,0;8,0;3,5%
2019/20;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;3,0;13,5;3,0%
2020/21;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;1,7;10,8;2,0%
2021/22;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;1,4;21,9;3,0%
2022/23;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;4,1;41,6;6,4%
2023/24;Færder videregående skole;vg 2;Bygg- og anleggsteknikk;4,8;15,0;4,1%
2017/18;Færder videregående skole;vg 1;Design og håndverk;15,9;16,8;10,3%
2018/19;Færder videregående skole;vg 1;Design og håndverk;7,8;28,1;7,0%
2019/20;Færder videregående skole;vg 1;Design og håndverk;11,3;24,1;8,5%
2017/18;Færder videregående skole;vg 2;Design og håndverk;12,6;30,7;9,9%
2019/20;Færder videregående skole;vg 2;Design og håndverk;6,3;50,3;8,5%
2020/21;Færder videregående skole;vg 2;Design og håndverk;17,9;68,5;16,6%
2017/18;Færder videregående skole;vg 3;Design og håndverk;28,8;32,0;18,6%
2018/19;Færder videregående skole;vg 3;Design og håndverk;8,5;8,5;5,4%
2017/18;Færder videregående skole;vg 1;Elektro og datateknologi;3,1;5,7;2,3%
2018/19;Færder videregående skole;vg 1;Elektro og datateknologi;2,5;8,7;2,2%
2019/20;Færder videregående skole;vg 1;Elektro og datateknologi;1,8;5,1;1,5%
2020/21;Færder videregående skole;vg 1;Elektro og datateknologi;0,5;11,7;1,5%
2021/22;Færder videregående skole;vg 1;Elektro og datateknologi;0,4;6,3;0,9%
2022/23;Færder videregående skole;vg 1;Elektro og datateknologi;5,0;11,6;3,8%
2023/24;Færder videregående skole;vg 1;Elektro og datateknologi;4,7;6,0;3,1%
2017/18;Færder videregående skole;vg 2;Elektro og datateknologi;2,1;7,1;1,9%
