Grunnskoleårskull;Skoleår;Gsp intervall;Fullførtkode;Elevgrunnlag
2022;2022/23;(0,25);B;16
2022;2022/23;(0,25);H;4
2022;2022/23;(0,25);I;3
2022;2022/23;(0,25);M;13
2022;2022/23;(0,25);S;14
2022;2022/23;[25,30);B;69
2022;2022/23;[25,30);H;10
2022;2022/23;[25,30);I;13
2022;2022/23;[25,30);M;20
2022;2022/23;[25,30);S;11
2022;2022/23;[30,35);B;230
2022;2022/23;[30,35);H;11
2022;2022/23;[30,35);I;26
2022;2022/23;[30,35);M;28
2022;2022/23;[30,35);S;11
2022;2022/23;[35,40);B;371
2022;2022/23;[35,40);H;14
2022;2022/23;[35,40);I;25
2022;2022/23;[35,40);M;9
2022;2022/23;[35,40);S;5
2022;2022/23;[40,45);B;504
2022;2022/23;[40,45);H;11
2022;2022/23;[40,45);I;10
2022;2022/23;[40,45);M;11
2022;2022/23;[40,45);S;5
2022;2022/23;[45,50);B;566
2022;2022/23;[45,50);H;6
2022;2022/23;[45,50);I;8
2022;2022/23;[45,50);M;6
2022;2022/23;[45,50);S;4
2022;2022/23;[50,->;B;544
2022;2022/23;[50,->;H;4
2022;2022/23;[50,->;I;2
2022;2022/23;[50,->;M;3
2022;2022/23;[50,->;S;2
