Skoleår;Kommune;Grunnskole;Antall elever;Gsp
2017/18;FÆRDER;Borgheim ungdomsskole;136;42,4
2018/19;FÆRDER;Borgheim ungdomsskole;125;42,6
2019/20;FÆRDER;Borgheim ungdomsskole;134;42,0
2020/21;FÆRDER;Borgheim ungdomsskole;124;43,9
2021/22;FÆRDER;Borgheim ungdomsskole;118;44,8
2022/23;FÆRDER;Borgheim ungdomsskole;163;44,5
2023/24;FÆRDER;Borgheim ungdomsskole;130;42,4
2017/18;FÆRDER;Steinerskolen i Vestfold;13;-
2018/19;FÆRDER;Steinerskolen i Vestfold;10;-
2019/20;FÆRDER;Steinerskolen i Vestfold;11;-
2020/21;FÆRDER;Steinerskolen i Vestfold;11;-
2021/22;FÆRDER;Steinerskolen i Vestfold;12;-
2022/23;FÆRDER;Steinerskolen i Vestfold;13;-
2023/24;FÆRDER;Steinerskolen i Vestfold;7;-
2017/18;FÆRDER;Teigar ungdomsskole;102;41,5
2018/19;FÆRDER;Teigar ungdomsskole;86;41,1
2019/20;FÆRDER;Teigar ungdomsskole;114;41,8
2020/21;FÆRDER;Teigar ungdomsskole;96;43,9
2021/22;FÆRDER;Teigar ungdomsskole;107;42,4
2022/23;FÆRDER;Teigar ungdomsskole;99;42,6
2023/24;FÆRDER;Teigar ungdomsskole;103;41,5
2017/18;FÆRDER;Tjøme ungdomsskole;32;39,2
2018/19;FÆRDER;Tjøme ungdomsskole;42;40,4
2019/20;FÆRDER;Tjøme ungdomsskole;29;43,6
2020/21;FÆRDER;Tjøme ungdomsskole;43;39,7
2021/22;FÆRDER;Tjøme ungdomsskole;25;40,3
2022/23;FÆRDER;Tjøme ungdomsskole;36;39,8
2023/24;FÆRDER;Tjøme ungdomsskole;38;40,9
2017/18;HOLMESTRAND;Gjøklep ungdomsskole;100;41,1
2018/19;HOLMESTRAND;Gjøklep ungdomsskole;95;42,2
2019/20;HOLMESTRAND;Gjøklep ungdomsskole;120;41,2
2020/21;HOLMESTRAND;Gjøklep ungdomsskole;100;41,6
2021/22;HOLMESTRAND;Gjøklep ungdomsskole;112;43,4
2022/23;HOLMESTRAND;Gjøklep ungdomsskole;124;39,7
