Skoleår;Skole;Utdanningstype;Utdanningsprogram;Nivå;Fagkode;Fag;Antall elever;Karaktersnitt årsslutt;Avvik Stp-Eks
2017/18;Færder videregående skole;YF;BA;vg 2;BYG2002;Bransjelære;24;4,48;-
2017/18;Færder videregående skole;YF;BA;vg 2;KEM2002;Bransjelære;8;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;4;-;-0,67
2017/18;Færder videregående skole;YF;BA;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;57;4,63;-
2017/18;Færder videregående skole;YF;BA;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;32;4,83;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1155;Grunnleggende norsk for språklige minoriteter, nivå 2, vg1 yrkesfaglige utdanningsprogram;2;-;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1155;Grunnleggende norsk for språklige minoriteter, nivå 2, vg1 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1159;Grunnleggende norsk for språklige minoriteter, nivå 3, vg1 yrkesfaglige utdanningsprogram;2;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;KRO1004;Kroppsøving vg1;55;3,84;-
2017/18;Færder videregående skole;YF;BA;vg 2;KRO1005;Kroppsøving vg2;32;3,13;-
2017/18;Færder videregående skole;YF;BA;vg 1;MAT1001;Matematikk 1P-Y;57;3,36;-0,08
2017/18;Færder videregående skole;YF;BA;vg 1;MAT1013;Matematikk 1T;4;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;4;4,57;-
2017/18;Færder videregående skole;YF;BA;vg 1;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;56;3,84;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;6;-;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;3;3,89;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;1;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;4;4,86;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;4;3,67;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;4;-;-
2017/18;Færder videregående skole;YF;BA;vg 1;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;51;3,30;-
2017/18;Færder videregående skole;YF;BA;vg 2;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;30;4,23;-
2017/18;Færder videregående skole;YF;BA;vg 1;BAT1001;Produksjon;60;3,88;2,00
2017/18;Færder videregående skole;YF;BA;vg 2;BYG2001;Produksjon;24;3,42;-
2017/18;Færder videregående skole;YF;BA;vg 2;KEM2001;Produksjon;8;-;-
2017/18;Færder videregående skole;YF;BA;vg 2;SAF1001;Samfunnsfag;32;4,00;-
2017/18;Færder videregående skole;YF;BA;vg 1;BAT1002;Tegning og bransjelære;60;4,44;-
2017/18;Færder videregående skole;YF;BA;vg 2;BYG2003;Tverrfaglig eksamen byggteknikk;21;4,28;-
2017/18;Færder videregående skole;YF;BA;vg 2;KEM2003;Tverrfaglig eksamen klima-, energi- og miljøteknikk;7;3,44;-
2017/18;Færder videregående skole;YF;BA;vg 1;YFF4106;Yrkesfaglig fordypning vg1;60;4,43;-
2017/18;Færder videregående skole;YF;BA;vg 2;YFF4209;Yrkesfaglig fordypning vg2;31;4,19;-
2017/18;Færder videregående skole;YF;DH;vg 2;DTE2002;Design og produktutvikling;9;-;-
2017/18;Færder videregående skole;YF;DH;vg 1;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;22;3,44;-
2017/18;Færder videregående skole;YF;DH;vg 2;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;22;4,73;-2,08
