Karaktertype;Skoleår;EnhetNivaa;Vurderingsfagkode;Vurderingsfagnavn;Fylke;EnhetNavn;Karakterer;Antall elever
Standpunkt;2020-21;1;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Alle fylker;Alle skoler;4,5;34 988
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Færder videregående skole;4,7;40
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Greveskogen videregående skole;4,3;199
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Holmestrand videregående skole;4,7;26
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Horten videregående skole;4,5;235
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Kompetansebyggeren;5;1
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Melsom videregående skole;4,8;26
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Nøtterøy videregående skole;4,3;130
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Re videregående skole;4,9;166
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Sande videregående skole;4,5;73
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Sandefjord videregående skole;4,6;368
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Thor Heyerdahl videregående skole;4,5;249
Standpunkt;2020-21;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Wang Tønsberg AS;3,7;66
Standpunkt;2020-21;1;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Alle fylker;Alle skoler;3,8;28 875
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Færder videregående skole;3,9;178
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Gjennestad videregående skole;4,1;49
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Greveskogen videregående skole;3,5;77
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Holmestrand videregående skole;3,8;39
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Horten videregående skole;3,9;168
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Melsom videregående skole;4;47
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Nøtterøy videregående skole;3,5;51
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Re videregående skole;4,1;145
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Sande videregående skole;3,3;75
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Sandefjord videregående skole;3,9;291
Standpunkt;2020-21;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Thor Heyerdahl videregående skole;3,9;289
Standpunkt;2020-21;1;MAT1015;Matematikk 2P;Alle fylker;Alle skoler;3,7;18 143
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Færder videregående skole;4;28
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Greveskogen videregående skole;3,8;104
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Holmestrand videregående skole;3,9;26
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Horten videregående skole;3,5;98
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Melsom videregående skole;3,1;11
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Nøtterøy videregående skole;3,7;61
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Re videregående skole;3,9;101
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Sande videregående skole;3,9;36
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Sandefjord videregående skole;3,7;216
Standpunkt;2020-21;3;MAT1015;Matematikk 2P;Vestfold;Thor Heyerdahl videregående skole;4,1;181
Standpunkt;2020-21;1;MAT1019;Matematikk 1P;Alle fylker;Alle skoler;3,7;19 643
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Færder videregående skole;3,8;25
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Greveskogen videregående skole;3,7;110
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Holmestrand videregående skole;4;18
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Horten videregående skole;3,6;141
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Melsom videregående skole;3,5;25
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Nøtterøy videregående skole;3,2;84
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Re videregående skole;3,5;121
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Sande videregående skole;3,1;48
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Sandefjord videregående skole;3,2;223
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Skagerak International School;3,5;22
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Thor Heyerdahl videregående skole;3,9;158
Standpunkt;2020-21;3;MAT1019;Matematikk 1P;Vestfold;Wang Tønsberg AS;3,3;35
Standpunkt;2020-21;1;MAT1111;Matematikk 1P-Y BA;Alle fylker;Alle skoler;3,4;3 811
Standpunkt;2020-21;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Færder videregående skole;2,8;59
Standpunkt;2020-21;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Gjennestad videregående skole;3,2;17
Standpunkt;2020-21;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Thor Heyerdahl videregående skole;3,3;60
Standpunkt;2020-21;1;MAT1113;Matematikk 1P-Y EL;Alle fylker;Alle skoler;3,9;3 744
Standpunkt;2020-21;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Færder videregående skole;4;59
Standpunkt;2020-21;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Horten videregående skole;4,2;28
Standpunkt;2020-21;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Sande videregående skole;3,1;30
Standpunkt;2020-21;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Sandefjord videregående skole;3,2;25
Standpunkt;2020-21;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Thor Heyerdahl videregående skole;4,5;47
Standpunkt;2020-21;1;MAT1115;Matematikk 1P-Y FD;Alle fylker;Alle skoler;3,3;816
Standpunkt;2020-21;3;MAT1115;Matematikk 1P-Y FD;Vestfold;Horten videregående skole;2,7;23
Standpunkt;2020-21;3;MAT1115;Matematikk 1P-Y FD;Vestfold;Sandefjord videregående skole;2,9;20
Standpunkt;2020-21;1;MAT1117;Matematikk 1P-Y HS;Alle fylker;Alle skoler;3,6;8 043
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Gjennestad videregående skole;2,8;18
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Holmestrand videregående skole;3,2;13
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Horten videregående skole;3,7;70
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Nøtterøy videregående skole;3,2;49
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Re videregående skole;3,7;145
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Sande videregående skole;3,6;34
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Sandefjord videregående skole;3;89
Standpunkt;2020-21;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Thor Heyerdahl videregående skole;3,5;69
Standpunkt;2020-21;1;MAT1119;Matematikk 1P-Y DT;Alle fylker;Alle skoler;3,7;198
Standpunkt;2020-21;1;MAT1121;Matematikk 1P-Y IM;Alle fylker;Alle skoler;4;1 059
Standpunkt;2020-21;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Greveskogen videregående skole;4,4;14
Standpunkt;2020-21;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Horten videregående skole;3,7;13
Standpunkt;2020-21;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Sandefjord videregående skole;3,4;77
