Karaktertype;Skoleår;EnhetNivaa;Vurderingsfagkode;Vurderingsfagnavn;Fylke;EnhetNavn;Karakterer;Antall elever
Standpunkt;2024-25;1;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Alle fylker;Alle skoler;4,5;35 107
Standpunkt;2024-25;1;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Alle fylker;Alle skoler;3,9;29 860
Standpunkt;2024-25;1;MAT1023;Matematikk 2P;Alle fylker;Alle skoler;3,6;21 120
Standpunkt;2024-25;1;MAT1111;Matematikk 1P-Y BA;Alle fylker;Alle skoler;3,3;4 046
Standpunkt;2024-25;1;MAT1113;Matematikk 1P-Y EL;Alle fylker;Alle skoler;3,8;4 350
Standpunkt;2024-25;1;MAT1115;Matematikk 1P-Y FD;Alle fylker;Alle skoler;3,4;1 003
Standpunkt;2024-25;1;MAT1117;Matematikk 1P-Y HS;Alle fylker;Alle skoler;3,4;7 142
Standpunkt;2024-25;1;MAT1119;Matematikk 1P-Y DT;Alle fylker;Alle skoler;3,6;139
Standpunkt;2024-25;1;MAT1121;Matematikk 1P-Y IM;Alle fylker;Alle skoler;3,8;1 215
Standpunkt;2024-25;1;MAT1123;Matematikk 1P-Y NA;Alle fylker;Alle skoler;3,5;1 573
Standpunkt;2024-25;1;MAT1125;Matematikk 1P-Y RM;Alle fylker;Alle skoler;3,4;1 240
Standpunkt;2024-25;1;MAT1127;Matematikk 1P-Y SR;Alle fylker;Alle skoler;3,4;2 489
Standpunkt;2024-25;1;MAT1129;Matematikk 1P-Y TP;Alle fylker;Alle skoler;3,6;6 104
Standpunkt;2024-25;1;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Alle fylker;Alle skoler;4,1;32 500
Standpunkt;2024-25;1;REA3058;Matematikk R2;Alle fylker;Alle skoler;4,1;5 714
Standpunkt;2024-25;2;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Alle skoler;4,5;1 591
Standpunkt;2024-25;2;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Alle skoler;3,9;1 454
Standpunkt;2024-25;2;MAT1023;Matematikk 2P;Vestfold;Alle skoler;3,5;971
Standpunkt;2024-25;2;MAT1111;Matematikk 1P-Y BA;Vestfold;Alle skoler;3,5;219
Standpunkt;2024-25;2;MAT1113;Matematikk 1P-Y EL;Vestfold;Alle skoler;3,8;155
Standpunkt;2024-25;2;MAT1115;Matematikk 1P-Y FD;Vestfold;Alle skoler;3,3;59
Standpunkt;2024-25;2;MAT1117;Matematikk 1P-Y HS;Vestfold;Alle skoler;3,4;439
