År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Snitt
2023-24;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;13 223;3,5
2023-24;Alle utdanningsprogram;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;13 354;4
2023-24;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;13 329;4,2
2023-24;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;13 309;4
2023-24;Alle utdanningsprogram;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;13 309;3,9
2023-24;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;614;3,4
2023-24;Alle utdanningsprogram;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;620;4
2023-24;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;617;4,2
2023-24;Alle utdanningsprogram;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;620;4
2023-24;Alle utdanningsprogram;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;622;3,9
2023-24;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;2 901;3,4
2023-24;Bygg- og anleggsteknikk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Hele landet;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;2 976;4
2023-24;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;Trives du på arbeidsplassen?;Alle svar;2 966;4,2
2023-24;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Hele landet;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;2 966;4
2023-24;Bygg- og anleggsteknikk;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Hele landet;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;2 969;3,9
2023-24;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;Alle;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Alle svar;141;3,2
2023-24;Bygg- og anleggsteknikk;LLUIndeks_3;LLUSpoersmaal_Q10905;Alle;Vestfold;Motivasjon;Gleder du deg til å gå på arbeid i lærebedriften?;Alle svar;146;4
2023-24;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Vestfold;Trivsel;Trives du på arbeidsplassen?;Alle svar;146;4,1
2023-24;Bygg- og anleggsteknikk;LLUIndeks_4;LLUSpoersmaal_Q10700;Alle;Vestfold;Trivsel;Er du fornøyd med opplæringen du har fått på arbeidsplassen så langt?;Alle svar;146;3,9
2023-24;Bygg- og anleggsteknikk;LLUIndeks_9;LLUSpoersmaal_Q10722;Alle;Vestfold;Medvirkning, veiledning og egenvurdering;Får du tilbakemelding på arbeidet ditt, slik at du kan bli bedre i faget?;Alle svar;148;3,9
