År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Andel
2025-26;Alle utdanningsprogram;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;9 712;87,5
2025-26;Alle utdanningsprogram;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;402;86,1
2025-26;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;6 470;59
2025-26;Alle utdanningsprogram;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;253;54,8
2025-26;Bygg- og anleggsteknikk;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;1 797;86,2
2025-26;Bygg- og anleggsteknikk;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;*;*
2025-26;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;1 045;51
2025-26;Bygg- og anleggsteknikk;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;37;49,4
2025-26;Elektro og datateknologi;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;2 321;88,6
2025-26;Elektro og datateknologi;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;*;*
2025-26;Elektro og datateknologi;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;1 507;58
2025-26;Elektro og datateknologi;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;#VERDI!;#VERDI!
2025-26;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;185;84,9
2025-26;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;*;*
2025-26;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;#VERDI!;#VERDI!
2025-26;Frisør, blomster, interiør og eksponeringsdesign;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;#VERDI!;#VERDI!
2025-26;Helse- og oppvekstfag;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;1 556;88
2025-26;Helse- og oppvekstfag;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;*;*
2025-26;Helse- og oppvekstfag;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Hele landet;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;1 281;73
2025-26;Helse- og oppvekstfag;LLUIndeks_2;LLUSpoersmaal_Q10695;5;Vestfold;Opplæring i skole som forberedelse til opplæring i arbeidslivet;Undervisningen i yrkesfagene på skolen ga et godt grunnlag for det jeg skulle lære i bedriften;Enig;#VERDI!;#VERDI!
2025-26;Informasjonsteknologi og medieproduksjon;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;386;93,5
