Skoleår;Fagkode;Fag;Karaktertype;Karaktersnitt årsslutt;Antall elever;Antall elever med skriftlig eksamenskarakter >0
2017/18;AMB2001;Grunnleggende helsefag;SkriftligEksamen;-;14;0
2017/18;AMB2002;Ambulansemedisin;SkriftligEksamen;4,00;14;0
2017/18;AMB2003;Ambulanseoperative emner;SkriftligEksamen;3,50;14;0
2017/18;AMB2004;Tverrfaglig eksamen ambulansefag;SkriftligEksamen;2,50;13;0
2017/18;AMK2001;Feilsøking og reparasjon;SkriftligEksamen;-;12;0
2017/18;AMK2002;Dokumentasjon og kvalitet;SkriftligEksamen;-;12;0
2017/18;AMK2003;Tverrfaglig eksamen arbeidsmaskiner;SkriftligEksamen;-;9;0
2017/18;ANL2001;Produksjon;SkriftligEksamen;2,00;30;0
2017/18;ANL2002;Bransjelære;SkriftligEksamen;-;30;0
2017/18;ANL2003;Tverrfaglig eksamen anleggsteknikk;SkriftligEksamen;3,00;27;0
2017/18;APO3001;Helsefremmende arbeid;SkriftligEksamen;-;7;0
2017/18;APO3002;Kommunikasjon og samhandling;SkriftligEksamen;-;7;0
2017/18;APO3003;Yrkesutøvelse;SkriftligEksamen;-;7;0
2017/18;APO3004;Tverrfaglig eksamen, apotekteknikk;SkriftligEksamen;-;7;0
2017/18;AUT2001;Automatiseringssystemer;SkriftligEksamen;-;22;0
2017/18;AUT2002;Elenergisystemer;SkriftligEksamen;-;22;0
2017/18;AUT2003;Tverrfaglig eksamen i automatisering;SkriftligEksamen;-;22;0
2017/18;AUT3001;Automatiseringssystemer;SkriftligEksamen;2,67;20;0
2017/18;AUT3002;Mekanisk arbeid;SkriftligEksamen;3,80;20;0
2017/18;AUT3003;Elenergisystemer;SkriftligEksamen;3,00;20;0
2017/18;AUT4002;Tverrfaglig eksamen, automatiseringsfaget;SkriftligEksamen;3,00;19;19
2017/18;BAT1001;Produksjon;SkriftligEksamen;2,60;178;1
2017/18;BAT1002;Tegning og bransjelære;SkriftligEksamen;2,67;178;0
2017/18;BLK2001;Karosseri- og lakkteknikk;SkriftligEksamen;-;12;0
2017/18;BLK2002;Dokumentasjon og kvalitet;SkriftligEksamen;-;12;0
2017/18;BLK2003;Tverrfaglig eksamen bilskade, lakk og karosseri;SkriftligEksamen;-;12;0
2017/18;BUA2001;Helsefremmende arbeid;SkriftligEksamen;4,00;146;0
2017/18;BUA2002;Kommunikasjon og samhandling;SkriftligEksamen;3,00;146;1
2017/18;BUA2003;Yrkesutøvelse;SkriftligEksamen;3,75;146;1
2017/18;BUA2004;Tverrfaglig eksamen barne- og ungdomsarbeiderfag;SkriftligEksamen;2,00;138;0
2017/18;BYG2001;Produksjon;SkriftligEksamen;-;72;0
2017/18;BYG2002;Bransjelære;SkriftligEksamen;-;72;0
2017/18;BYG2003;Tverrfaglig eksamen byggteknikk;SkriftligEksamen;-;68;0
2017/18;CNC3011;CNC-maskineringsfaget;SkriftligEksamen;-;1;0
2017/18;DAN2001;Grunntrening i dans 1;SkriftligEksamen;-;9;0
2017/18;DAN2002;Grunntrening i dans 2;SkriftligEksamen;-;9;0
2017/18;DAN2003;Scenisk dans 1;SkriftligEksamen;-;21;0
2017/18;DAN2004;Scenisk dans 2;SkriftligEksamen;-;9;0
2017/18;DAN2005;Scenisk dans 3;SkriftligEksamen;-;9;0
2017/18;DAN2006;Dans i perspektiv 1;SkriftligEksamen;5,00;9;8
2017/18;DAN2008;Dans i perspektiv 2;SkriftligEksamen;-;9;7
2017/18;DAN3001;Scenisk dans fordypning 1;SkriftligEksamen;-;9;0
2017/18;DAN3002;Scenisk dans fordypning 2;SkriftligEksamen;4,50;9;0
2017/18;DAT3001;System og infrastruktur;SkriftligEksamen;2,00;12;0
2017/18;DAT3002;Apparat og utstyr;SkriftligEksamen;3,33;12;0
2017/18;DAT4002;Dataelektronikerfaget;SkriftligEksamen;1,75;12;12
2017/18;DEL2001;Data- og elektronikksystemer;SkriftligEksamen;3,00;37;0
2017/18;DEL2002;Elektronisk infrastruktur;SkriftligEksamen;-;37;0
2017/18;DEL2003;Tverrfaglig eksamen i data og elektronikk;SkriftligEksamen;4,00;34;0
2017/18;DHV1001;Produksjon;SkriftligEksamen;-;61;0
2017/18;DHV1002;Kvalitet og dokumentasjon;SkriftligEksamen;-;61;0
2017/18;DRA2001;Teater og bevegelse 1;SkriftligEksamen;4,00;16;0
2017/18;DRA2002;Teater og bevegelse 2;SkriftligEksamen;2,00;12;0
2017/18;DRA2003;Teaterproduksjon 1;SkriftligEksamen;-;16;0
2017/18;DRA2004;Teaterproduksjon 2;SkriftligEksamen;-;12;0
2017/18;DRA2005;Teater i perspektiv 1;SkriftligEksamen;-;16;6
2017/18;DRA2007;Teater i perspektiv 2;SkriftligEksamen;-;12;5
2017/18;DRA2008;Teater i perspektiv 2, muntlig-praktisk;SkriftligEksamen;-;6;0
2017/18;DRA2009;Drama og samfunn;SkriftligEksamen;2,50;12;0
2017/18;DRA3001;Teaterproduksjon fordypning 1;SkriftligEksamen;3,00;32;0
2017/18;DRA3002;Teaterproduksjon fordypning 2;SkriftligEksamen;-;11;0
2017/18;DTE2001;Produksjon og materialer;SkriftligEksamen;-;9;0
2017/18;DTE2002;Design og produktutvikling;SkriftligEksamen;-;9;0
2017/18;DTE2003;Tverrfaglig eksamen design og tekstil;SkriftligEksamen;-;8;0
2017/18;ELE1001;Data- og elektronikksystemer;SkriftligEksamen;4,25;197;0
2017/18;ELE1002;Elenergisystemer;SkriftligEksamen;4,33;197;0
2017/18;ELE1003;Automatiseringssystemer;SkriftligEksamen;3,38;197;0
2017/18;ELE2001;Elenergisystemer;SkriftligEksamen;3,40;109;0
2017/18;ELE2002;Automatiseringssystemer;SkriftligEksamen;3,67;109;0
2017/18;ELE2003;Data- og elektronikksystemer;SkriftligEksamen;2,67;109;0
2017/18;ELE2004;Tverrfaglig eksamen elenergi;SkriftligEksamen;3,86;107;0
2017/18;ELE3002;Elektrikerfaget, skriftlig;SkriftligEksamen;-;15;15
2017/18;ENG0030;Engelsk 10. årstrinn;SkriftligEksamen;-;1;0
2017/18;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;SkriftligEksamen;3,45;1 266;0
2017/18;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;SkriftligEksamen;3,60;1 715;151
2017/18;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;SkriftligEksamen;3,06;1 134;106
2017/18;ENG1004;Engelsk for hørselshemmede , vg1 yrkesfaglig utdanningsprogram;SkriftligEksamen;-;2;0
2017/18;ENG1005;Engelsk for hørselshemmede, skriftlig, vg2 yrkesfaglig utdanningsprogram;SkriftligEksamen;-;1;0
2017/18;ENG1102;Engelsk muntlig, vg1 studieforberedende utdanningsprogram;SkriftligEksamen;-;14;0
