Skoleår;Skole;Fagkode;Fag;Karaktertype;Karaktersnitt årsslutt;Antall elever;Antall elever med standpunktkarakter >0
2017/18;Færder videregående skole;BAT1001;Produksjon;Standpunkt;3,41;60;51
2017/18;Færder videregående skole;BAT1002;Tegning og bransjelære;Standpunkt;4,60;60;51
2017/18;Færder videregående skole;BLK2001;Karosseri- og lakkteknikk;Standpunkt;-;12;11
2017/18;Færder videregående skole;BLK2002;Dokumentasjon og kvalitet;Standpunkt;4,14;12;11
2017/18;Færder videregående skole;BLK2003;Tverrfaglig eksamen bilskade, lakk og karosseri;Standpunkt;3,40;12;0
2017/18;Færder videregående skole;BYG2001;Produksjon;Standpunkt;4,05;24;21
2017/18;Færder videregående skole;BYG2002;Bransjelære;Standpunkt;4,71;24;21
2017/18;Færder videregående skole;BYG2003;Tverrfaglig eksamen byggteknikk;Standpunkt;4,25;21;0
2017/18;Færder videregående skole;CNC3011;CNC-maskineringsfaget;Standpunkt;-;1;0
2017/18;Færder videregående skole;DEL2001;Data- og elektronikksystemer;Standpunkt;4,63;11;10
2017/18;Færder videregående skole;DEL2002;Elektronisk infrastruktur;Standpunkt;4,46;11;10
2017/18;Færder videregående skole;DEL2003;Tverrfaglig eksamen i data og elektronikk;Standpunkt;-;10;0
2017/18;Færder videregående skole;DHV1001;Produksjon;Standpunkt;4,07;23;16
2017/18;Færder videregående skole;DHV1002;Kvalitet og dokumentasjon;Standpunkt;-;23;16
2017/18;Færder videregående skole;DTE2001;Produksjon og materialer;Standpunkt;-;9;8
2017/18;Færder videregående skole;DTE2002;Design og produktutvikling;Standpunkt;-;9;8
2017/18;Færder videregående skole;DTE2003;Tverrfaglig eksamen design og tekstil;Standpunkt;-;8;0
2017/18;Færder videregående skole;ELE1001;Data- og elektronikksystemer;Standpunkt;4,75;49;47
2017/18;Færder videregående skole;ELE1002;Elenergisystemer;Standpunkt;3,00;49;47
2017/18;Færder videregående skole;ELE1003;Automatiseringssystemer;Standpunkt;3,25;49;47
2017/18;Færder videregående skole;ELE2001;Elenergisystemer;Standpunkt;-;32;32
2017/18;Færder videregående skole;ELE2002;Automatiseringssystemer;Standpunkt;4,38;32;32
2017/18;Færder videregående skole;ELE2003;Data- og elektronikksystemer;Standpunkt;4,44;32;32
2017/18;Færder videregående skole;ELE2004;Tverrfaglig eksamen elenergi;Standpunkt;4,19;32;0
2017/18;Færder videregående skole;ELE3002;Elektrikerfaget, skriftlig;Standpunkt;4,67;15;0
2017/18;Færder videregående skole;ENG0030;Engelsk 10. årstrinn;Standpunkt;-;1;0
2017/18;Færder videregående skole;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;Standpunkt;3,65;184;0
2017/18;Færder videregående skole;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;Standpunkt;4,80;46;41
2017/18;Færder videregående skole;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;3,86;194;170
