ProgramomraadeNivaa;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;Andel;År;Opplæringstype
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;66,6;2017-18;Lærling
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;83,3;2017-18;Lærling
2;EL;EL;Elektro og datateknologi;Alle programområder;58,5;2017-18;Lærling
2;HS;HS;Helse- og oppvekstfag;Alle programområder;58,7;2017-18;Lærling
2;NA;NA;Naturbruk;Alle programområder;64;2017-18;Lærling
2;RM;RM;Restaurant- og matfag;Alle programområder;63,7;2017-18;Lærling
2;TP;TP;Teknologi- og industrifag;Alle programområder;74,2;2017-18;Lærling
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;66;2018-19;Lærling
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;83,5;2018-19;Lærling
2;EL;EL;Elektro og datateknologi;Alle programområder;69,6;2018-19;Lærling
2;HS;HS;Helse- og oppvekstfag;Alle programområder;51,3;2018-19;Lærling
2;MK;MK;Medier og kommunikasjon (gammel ordning);Medier og kommunikasjon (gammel ordning);0;2018-19;Lærling
2;NA;NA;Naturbruk;Alle programområder;54,8;2018-19;Lærling
2;RM;RM;Restaurant- og matfag;Alle programområder;62,8;2018-19;Lærling
2;TP;TP;Teknologi- og industrifag;Alle programområder;73,5;2018-19;Lærling
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;72;2019-20;Lærling
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;83,6;2019-20;Lærling
2;EL;EL;Elektro og datateknologi;Alle programområder;81,8;2019-20;Lærling
2;HS;HS;Helse- og oppvekstfag;Alle programområder;59,1;2019-20;Lærling
2;NA;NA;Naturbruk;Alle programområder;71,9;2019-20;Lærling
2;RM;RM;Restaurant- og matfag;Alle programområder;70,5;2019-20;Lærling
2;TP;TP;Teknologi- og industrifag;Alle programområder;79,5;2019-20;Lærling
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;72,4;2020-21;Lærling
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;83;2020-21;Lærling
2;EL;EL;Elektro og datateknologi;Alle programområder;80,9;2020-21;Lærling
2;HS;HS;Helse- og oppvekstfag;Alle programområder;59,7;2020-21;Lærling
2;NA;NA;Naturbruk;Alle programområder;59,5;2020-21;Lærling
2;RM;RM;Restaurant- og matfag;Alle programområder;68,2;2020-21;Lærling
2;TP;TP;Teknologi- og industrifag;Alle programområder;76,5;2020-21;Lærling
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;70,9;2021-22;Lærling
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;78;2021-22;Lærling
2;EL;EL;Elektro og datateknologi;Alle programområder;75,4;2021-22;Lærling
2;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;100;2021-22;Lærling
2;HS;HS;Helse- og oppvekstfag;Alle programområder;60;2021-22;Lærling
2;DT;DT;Håndverk, design og produktutvikling;Alle programområder;100;2021-22;Lærling
2;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;100;2021-22;Lærling
2;NA;NA;Naturbruk;Alle programområder;66,2;2021-22;Lærling
2;RM;RM;Restaurant- og matfag;Alle programområder;67,6;2021-22;Lærling
2;SR;SR;Salg, service og reiseliv;Alle programområder;100;2021-22;Lærling
2;TP;TP;Teknologi- og industrifag;Alle programområder;78,9;2021-22;Lærling
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;73,2;2022-23;Lærling
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;81,6;2022-23;Lærling
2;EL;EL;Elektro og datateknologi;Alle programområder;83,8;2022-23;Lærling
2;FD;FD;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;85,7;2022-23;Lærling
2;HS;HS;Helse- og oppvekstfag;Alle programområder;60,9;2022-23;Lærling
2;DT;DT;Håndverk, design og produktutvikling;Alle programområder;45,5;2022-23;Lærling
2;IM;IM;Informasjonsteknologi og medieproduksjon;Alle programområder;65,1;2022-23;Lærling
2;NA;NA;Naturbruk;Alle programområder;45,5;2022-23;Lærling
2;RM;RM;Restaurant- og matfag;Alle programområder;61,9;2022-23;Lærling
2;SR;SR;Salg, service og reiseliv;Alle programområder;61,9;2022-23;Lærling
2;TP;TP;Teknologi- og industrifag;Alle programområder;76,3;2022-23;Lærling
