OBJECTID;objid;objtype;skolenavn;nsrid;organisasjonsnummer;lavestetrinn;hoyestetrinn;eier_skoleeier_epostadresse;organisasjonsnavn;eier_skoleeier_organisasjonsnummer;eier_skoleeier_telefonnummer;antallelever;antallansatte;besoksadresse_besoksadresse_adressenavn;besoksadresse_besoksadresse_postnummer;besoksadresse_besoksadresse_poststed;postadresse_postadresse_adressenavn;postadresse_postadresse_postnummer;postadresse_postadresse_poststed;kontaktinformasjon_kontaktinformasjon_epostadresse;kontaktinformasjon_kontaktinformasjon_telefonnummer;webside;idrift;lokalid;navnerom;versjonid;datauttaksdato;oppdateringsdato;noyaktighet;eierforhold;fylkesnummer;kommunenummer;malemetode;navn_kort;X;Y
1;21;VideregåendeSkole;Wang Tønsberg AS;1010414;995354071;8;13;tonsberg@wang.no;Wang Tønsberg AS;995350076;97715444;190;85;Grenaderveien 11;3122;TØNSBERG;Postboks 84;3122;Tønsberg;tonsberg@wang.no;97715444;www.wang.no;Ja;5ae71ff9-2e49-4807-9838-6e85ce702002;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-14 19:42:32;;Privat;39;3905;63;;10,41573316;59,29502452
2;41;VideregåendeSkole;Vestfold fylkeskommune Privatisteksamen;1028628;996000028;11;13;;Vestfold fylkeskommune;929882385;;;24;Svend Foyns gate 9;3126;TØNSBERG;Vestfold fylkeskommune Postboks 1213 Trudvang;3126;Tønsberg;eksamen@vestfoldfylke.no;;www.vestfoldfylke.no/eksamen;Ja;8340f7d7-3920-4c2d-9e60-34fc699bf0b8;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-29 9:15:20;;Offentlig;39;3905;63;;10,41593802;59,26544105
3;63;VideregåendeSkole;Tønsberg bibelskole AS;1027764;921320205;11;13;post@tonsbergbibelskole.no;Tønsberg bibelskole AS;914942276;33314514;;8;Nedre Langgate 32;3126;TØNSBERG;;3126;;post@tonsbergbibelskole.no;33314514;www.tonsbergbibelskole.no;Ja;3491de25-991b-4c66-8d29-3178b4f61907;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-01-03 17:58:24;;Privat;39;3905;63;;10,40514721;59,26668067
4;84;VideregåendeSkole;Thor Heyerdahl Vidergående skole Skoleavdeling Reipbanegaten;1005245;974575167;11;13;;;;;;44;Reipbanegaten 20;3262;LARVIK;;3262;;farris.vgs@vfk.no;;www.farris.vgs.no;Nei;fc4c4f75-50ad-4c40-af8a-7e76ec5e790b;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2020-03-14 1:25:33;;Offentlig;07;0709;63;;10,0457162;59,04892148
5;85;VideregåendeSkole;Thor Heyerdahl videregående skole;1005236;974575027;11;13;;Vestfold fylkeskommune;929882385;;1510;294;Hoffs gate 6;3262;LARVIK;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3262;Tønsberg;thorheyerdahl.vgs@vtfk.no;;thvs.no;Ja;28f8934d-57b4-4960-b7d6-d32523c6d573;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-13 9:50:27;;Offentlig;39;3909;63;Thor Heyerdahl vgs. ;10,05533277;59,04935729
6;144;VideregåendeSkole;Slottsfjellet videregående;1004132;973141805;11;13;thomas.johnsen@steinerskolen.no;Stiftelsen Slottsfjellet videregående steinerskole;821085942;;;15;Baglergaten 16;3111;TØNSBERG;Furumoveien 2;3111;Vestskogen;thomas.johnsen@steinerskolen.no;;;Ja;2b38506a-79a2-4c37-986c-769b5f92d601;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-01-12 9:25:28;;Privat;39;3905;63;;10,40570849;59,27050974
7;152;VideregåendeSkole;Skagerak International School;1004257;973488783;1;13;office@skagerak.org;Skagerak International School;871496722;33456500;233;74;Framnesveien 7;3222;SANDEFJORD;;3222;;office@skagerak.org;33456500;www.skagerak.org;Ja;38cd346a-536c-4df7-ac3a-b564935d468a;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-14 19:42:31;;Privat;39;3907;63;;10,23137354;59,12004239
8;155;VideregåendeSkole;Signo Grunn- og videregående skole AS;1011353;998666783;1;13;postssk@signo.no;Signo Grunn- og videregående skole AS;998560594;33438600;12;116;Molandveien 29;3158;ANDEBU;;3158;;post.skole@signo.no;33438600;www.signo.no;Ja;5d52f9c9-7cab-4b42-9d80-6ceb5acedf12;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-14 19:42:31;;Privat;39;3907;63;;10,15271158;59,31808065
9;171;VideregåendeSkole;Sandefjord videregående skole;1005235;974575019;11;13;;Vestfold fylkeskommune;929882385;;2000;438;Krokemoveien 4;3214;SANDEFJORD;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3214;Tønsberg;sandefjord.vgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/sandefjord-vgs/;Ja;5ecd03c0-4462-4acc-8e34-f93f057e9fb2;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-02 9:17:00;;Offentlig;39;3907;63;Sandefjord vgs.;10,20438098;59,13322299
10;172;VideregåendeSkole;Sande videregående skole;1005241;974575116;11;13;;Vestfold fylkeskommune;929882385;;450;82;Hans K.Evensens vei 53;3076;SANDE I VESTFOLD;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3076;Tønsberg;sande.vgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/sande-vgs/;Ja;b28de1dc-fba7-4865-9708-b7c13a5e461c;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-13 9:50:29;;Offentlig;39;3903;63;Sande vgs.;10,24121637;59,58583659
11;195;VideregåendeSkole;Re videregående skole;1003493;874575232;11;13;;Vestfold fylkeskommune;929882385;;780;149;Bergshaugen 10;3175;RAMNES;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3175;Tønsberg;postmottak.revgs@vtfk.no;;www.revgs.no/;Ja;f75e1e63-1c03-4db9-875d-4fc484326a6a;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-13 9:55:52;;Offentlig;39;3905;63;Re vgs. ;10,24864;59,35823187
12;227;VideregåendeSkole;Nøtterøy videregående skole;1005234;974575000;11;13;;Vestfold fylkeskommune;929882385;;580;92;Rektorveien 10;3140;NØTTERØY;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3140;Tønsberg;notteroy.vgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/notteroy-vgs/;Ja;2eb0876a-2fc8-4ee7-a4e9-afbf31793a57;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:00;2024-02-13 9:50:27;;Offentlig;39;3911;63;Nøtterøy vgs. ;10,40418296;59,22448659
13;302;VideregåendeSkole;Larvik kommune Voksenopplæringa;1005362;974584786;11;13;postmottak@larvik.kommune.no;Larvik kommune;918082956;33171000;103;43;Hammergata 24;3264;LARVIK;Postboks 2020;3264;Larvik;ingeborg.kulseng@larvik.kommune.no;33171000;;Ja;a1a1b461-c693-41bf-8c5c-849540329439;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-02-14 19:39:39;;Offentlig;39;3909;63;;10,01917736;59,05260765
14;326;VideregåendeSkole;Kompetansebyggeren;1010320;994309153;11;13;;Vestfold fylkeskommune;929882385;;700;95;Nordbyen 40;3111;TØNSBERG;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3111;Tønsberg;kompetansebyggeren@vtfk.no;;www.vestfoldfylke.no/no/skoler/kompetansebyggeren/;Ja;2d70818d-2ffe-4f9e-b870-1d037b5f2c37;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-02-13 9:40:26;;Offentlig;39;3905;63;Kompetansebyggeren vgs. ;10,39959649;59,27421312
15;362;VideregåendeSkole;Horten videregående skole avd Bekkegata;1005232;974574985;11;13;;;;;;200;Bekkegata 2;3181;HORTEN;Postboks 365;3181;Horten;horten.vgs@vfk.no;;www.horten.vgs.no;Nei;f9f3e96d-3d8b-4cef-a333-425f88b54359;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2020-04-02 16:01:26;;Offentlig;07;0701;63;;10,48424862;59,41967582
16;363;VideregåendeSkole;Horten videregående skole;1028326;923261354;11;13;;Vestfold fylkeskommune;929882385;;1060;249;Strandpromenaden 33;3183;HORTEN;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3183;Tønsberg;horten.vgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/horten-vgs/;Ja;da848f9f-8324-4b83-844f-bfd13270fe32;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-02-13 9:53:31;;Offentlig;39;3901;63;Horten vgs.;10,48819937;59,42083832
17;367;VideregåendeSkole;Holmestrand videregående skole;1003492;874575062;11;13;;Vestfold fylkeskommune;929882385;;;67;Botne kirkevei 17;3085;HOLMESTRAND;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3085;Tønsberg;postmottak.holmestrandvgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/holmestrand-vgs/;Ja;0308175d-35f4-4b9c-8ff6-c7addefbf3de;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-02-13 9:55:52;;Offentlig;39;3903;63;Holmestrand vgs.;10,29538513;59,48262332
18;400;VideregåendeSkole;Greveskogen videregående skole;1005233;974574993;11;13;;Vestfold fylkeskommune;929882385;;;225;Eikveien 2;3122;TØNSBERG;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3122;Tønsberg;greveskogen.vgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/greveskogen-vgs/;Ja;4dfdf0eb-5882-495b-9fc5-432ddab457be;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-02-13 9:50:26;;Offentlig;39;3905;63;Greveskogen vgs.;10,41509047;59,28730243
20;412;VideregåendeSkole;Færder videregående skole avd Korten;1005243;974575132;11;13;;;;;;49;Nordbyen 40;3111;TØNSBERG;Postboks 445;3111;Tønsberg;tmvs@vfk.no;;www.tmvs.vgs.no;Nei;a999a15f-f835-424b-a0eb-bcc9e28d0a37;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2020-04-02 16:01:25;;Offentlig;07;0704;63;;10,39959649;59,27421312
21;413;VideregåendeSkole;Færder videregående skole;1005239;974575086;11;13;;Vestfold fylkeskommune;929882385;;;149;Banebakken 44;3127;TØNSBERG;Vestfold fylkeskommune Sentralt fakturamottak Postboks 1213 Trudvang;3127;Tønsberg;ferder.vgs@vtfk.no;;www.vestfoldfylke.no/no/skoler/farder-vgs/;Ja;312769cb-e99d-4047-938c-c8c5e6b2d94e;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-02-13 9:50:29;;Offentlig;39;3905;63;Færder vgs.;10,41043716;59,26109491
23;495;VideregåendeSkole;Bibelskolen på Fossnes;1003407;873668482;11;13;bibelskolen@nll.no;Bibelskolen på Fossnes;988884286;33338900;;4;Valberggrenda 13B;3160;STOKKE;;3160;;bibelskolen@nll.no;33338900;www.fossnes.no;Ja;24049c0b-55e0-4a78-952c-bf3030c27533;https://data.geonorge.no/sosi/befolkning/videregaende;20190301;2024-03-04 20:01:01;2024-01-03 17:57:50;;Privat;39;3907;63;;10,25775923;59,28137263
24;;;Melsom videregående skole;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Melsom vgs.;10,34696989;59,22998562
25;;;SMI-skolen, avdelning Melsom ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SMI-skolen;10,34313247;59,2298253
