Skoleår;Fylke;Kommune;Grunnskole;Antall elever med gsp>0;Grunnskolepoeng
2023;Vestfold;Vestfold;Vestfold;2 535;41,5
2023;Vestfold;FÆRDER;Færder;263;41,9
2023;Vestfold;FÆRDER;Borgheim ungdomsskole;125;42,4
2023;Vestfold;FÆRDER;Teigar ungdomsskole;101;41,5
2023;Vestfold;FÆRDER;Tjøme ungdomsskole;37;40,9
2023;Vestfold;HOLMESTRAND;Holmestrand;246;40,9
2023;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;96;39,4
2023;Vestfold;HOLMESTRAND;Hof skole;36;42,0
2023;Vestfold;HOLMESTRAND;Sande ungdomsskole;114;41,8
2023;Vestfold;HORTEN;Horten;281;41,0
2023;Vestfold;HORTEN;Bakkeåsen skole;1;30,0
2023;Vestfold;HORTEN;Borre ungdomsskole;92;43,5
2023;Vestfold;HORTEN;Holtan ungdomsskole;101;40,6
2023;Vestfold;HORTEN;Horten kommunale voksenopplæring;1;25,7
2023;Vestfold;HORTEN;Orerønningen ungdomsskole;86;39,1
2023;Vestfold;LARVIK;Larvik;477;41,5
2023;Vestfold;LARVIK;Brunla ungdomsskole;63;40,1
2023;Vestfold;LARVIK;Hedrum ungdomsskole;119;39,3
2023;Vestfold;LARVIK;Kongshaugen Kristne grunnskole;2;51,9
2023;Vestfold;LARVIK;Kvelde skole;19;41,9
2023;Vestfold;LARVIK;Lardal skole;20;41,8
2023;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;8;31,1
2023;Vestfold;LARVIK;Mellomhagen ungdomsskole;73;41,2
2023;Vestfold;LARVIK;Mesterfjellet skole;37;42,9
2023;Vestfold;LARVIK;Ra ungdomsskole;89;44,5
2023;Vestfold;LARVIK;Thor Heyerdahl videregående skole;1;21,4
2023;Vestfold;LARVIK;Tjodalyng skole;46;43,9
2023;Vestfold;SANDEFJORD;Sandefjord;653;41,3
2023;Vestfold;SANDEFJORD;Andebu ungdomsskole;59;41,4
2023;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;114;41,5
2023;Vestfold;SANDEFJORD;Bugården ungdomsskole;89;38,9
2023;Vestfold;SANDEFJORD;Moe skole;15;46,8
2023;Vestfold;SANDEFJORD;Mokollen skole;6;32,2
2023;Vestfold;SANDEFJORD;Ranvik ungdomsskole;114;42,3
2023;Vestfold;SANDEFJORD;Sandefjord videregående skole;3;23,7
2023;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;1;21,0
2023;Vestfold;SANDEFJORD;Stokke ungdomsskole;98;42,4
2023;Vestfold;SANDEFJORD;Varden ungdomsskole;107;40,0
2023;Vestfold;SANDEFJORD;Wang Ung Sandefjord AS;47;44,7
2023;Vestfold;TØNSBERG;Tønsberg;615;41,9
