Skoleår;Fylke;Kommune;Grunnskole;Antall elever med gsp>0;Grunnskolepoeng
2024;Vestfold;FÆRDER;Færder;270;41,9
2024;Vestfold;FÆRDER;Borgheim ungdomsskole;141;41,8
2024;Vestfold;FÆRDER;Steinerskolen i Vestfold;12;41,1
2024;Vestfold;FÆRDER;Teigar ungdomsskole;80;43,6
2024;Vestfold;FÆRDER;Tjøme ungdomsskole;37;38,9
2024;Vestfold;HOLMESTRAND;Holmestrand;255;40,7
2024;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;127;40,3
2024;Vestfold;HOLMESTRAND;Hof skole;31;45,5
2024;Vestfold;HOLMESTRAND;Klokkerjordet skole;97;39,7
2024;Vestfold;HORTEN;Horten;275;41,2
2024;Vestfold;HORTEN;Borre ungdomsskole;87;43,3
2024;Vestfold;HORTEN;Holtan ungdomsskole;113;39,8
2024;Vestfold;HORTEN;Horten kommunale voksenopplæring;9;29,2
2024;Vestfold;HORTEN;Orerønningen ungdomsskole;66;42,3
2024;Vestfold;LARVIK;Larvik;556;41,6
2024;Vestfold;LARVIK;Brunla ungdomsskole;67;39,9
2024;Vestfold;LARVIK;Hedrum ungdomsskole;122;42,0
2024;Vestfold;LARVIK;Kongshaugen Kristne grunnskole;7;49,2
2024;Vestfold;LARVIK;Kvelde skole;25;43,5
2024;Vestfold;LARVIK;Lardal skole;28;40,7
2024;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;19;27,9
2024;Vestfold;LARVIK;Mellomhagen ungdomsskole;67;42,3
2024;Vestfold;LARVIK;Mesterfjellet skole;45;43,1
2024;Vestfold;LARVIK;Ra ungdomsskole;123;42,6
2024;Vestfold;LARVIK;Thor Heyerdahl videregående skole;1;32,9
2024;Vestfold;LARVIK;Tjodalyng skole;52;42,5
2024;Vestfold;SANDEFJORD;Sandefjord;665;41,2
2024;Vestfold;SANDEFJORD;Andebu ungdomsskole;64;39,9
2024;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;132;40,3
2024;Vestfold;SANDEFJORD;Bugården ungdomsskole;107;39,3
2024;Vestfold;SANDEFJORD;Moe skole;12;45,9
2024;Vestfold;SANDEFJORD;Mokollen skole;2;46,5
2024;Vestfold;SANDEFJORD;Ranvik ungdomsskole;102;41,0
2024;Vestfold;SANDEFJORD;Sandefjord videregående skole;1;10,8
2024;Vestfold;SANDEFJORD;Skagerak International School (grunnskole);6;49,2
2024;Vestfold;SANDEFJORD;Stokke ungdomsskole;98;42,8
2024;Vestfold;SANDEFJORD;Varden ungdomsskole;95;40,2
2024;Vestfold;SANDEFJORD;Wang Ung Sandefjord AS;46;47,3
2024;Vestfold;TØNSBERG;Tønsberg;628;42,1
2024;Vestfold;TØNSBERG;Byskogen Kombinerte skole;59;38,8
2024;Vestfold;TØNSBERG;Elihu Kristne grunnskole;18;44,5
2024;Vestfold;TØNSBERG;Granly skole;23;43,9
2024;Vestfold;TØNSBERG;Kongseik ungdomsskole;96;42,9
2024;Vestfold;TØNSBERG;Presterød ungdomsskole;130;43,2
2024;Vestfold;TØNSBERG;Revetal ungdomsskole;107;40,8
2024;Vestfold;TØNSBERG;Ringshaug ungdomsskole;75;43,1
2024;Vestfold;TØNSBERG;Skagerak International School, Tønsberg AS;9;42,4
2024;Vestfold;TØNSBERG;Tønsberg kommune læringssenter Norsk- og Grunnskoleopplæring;4;29,1
2024;Vestfold;TØNSBERG;Tønsberg Montessori skole Sti;8;41,7
2024;Vestfold;TØNSBERG;Vear skole;66;39,4
2024;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);33;48,2
2024;Vestfold;Vestfold;Vestfold;2 649;41,5
2025;Vestfold;FÆRDER;Færder;270;41,8
2025;Vestfold;FÆRDER;Borgheim ungdomsskole;141;42,5
2025;Vestfold;FÆRDER;Steinerskolen i Vestfold;15;43,0
2025;Vestfold;FÆRDER;Teigar ungdomsskole;77;40,7
2025;Vestfold;FÆRDER;Tjøme ungdomsskole;37;40,7
2025;Vestfold;HOLMESTRAND;Holmestrand;265;40,6
2025;Vestfold;HOLMESTRAND;Gjøklep ungdomsskole;117;39,8
2025;Vestfold;HOLMESTRAND;Hof skole;27;44,3
2025;Vestfold;HOLMESTRAND;Klokkerjordet skole;121;40,5
2025;Vestfold;HORTEN;Horten;313;42,5
2025;Vestfold;HORTEN;Bakkeåsen skole;7;32,1
2025;Vestfold;HORTEN;Borre ungdomsskole;103;45,7
2025;Vestfold;HORTEN;Holtan ungdomsskole;114;40,0
2025;Vestfold;HORTEN;Horten kommunale voksenopplæring;3;37,9
2025;Vestfold;HORTEN;Orerønningen ungdomsskole;86;43,0
2025;Vestfold;LARVIK;Larvik;537;40,8
2025;Vestfold;LARVIK;Brunla ungdomsskole;70;41,0
2025;Vestfold;LARVIK;Hedrum ungdomsskole;98;41,0
2025;Vestfold;LARVIK;Kongshaugen Kristne grunnskole;12;48,6
2025;Vestfold;LARVIK;Kvelde skole;18;43,3
2025;Vestfold;LARVIK;Lardal skole;22;45,2
2025;Vestfold;LARVIK;Larvik kommune Voksenopplæringa;24;26,8
2025;Vestfold;LARVIK;Mellomhagen ungdomsskole;75;39,5
2025;Vestfold;LARVIK;Mesterfjellet skole;49;40,1
2025;Vestfold;LARVIK;Ra ungdomsskole;106;41,3
2025;Vestfold;LARVIK;Thor Heyerdahl videregående skole;1;17,5
2025;Vestfold;LARVIK;Tjodalyng skole;62;43,5
2025;Vestfold;SANDEFJORD;Sandefjord;692;41,1
2025;Vestfold;SANDEFJORD;Andebu ungdomsskole;60;36,8
2025;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;104;42,3
2025;Vestfold;SANDEFJORD;Bugården ungdomsskole;105;40,3
2025;Vestfold;SANDEFJORD;Moe skole;4;45,2
2025;Vestfold;SANDEFJORD;Mokollen skole;10;39,8
2025;Vestfold;SANDEFJORD;Ranvik ungdomsskole;143;39,9
2025;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;2;43,8
2025;Vestfold;SANDEFJORD;Skagerak International School (grunnskole);14;46,4
2025;Vestfold;SANDEFJORD;Stokke ungdomsskole;104;42,2
2025;Vestfold;SANDEFJORD;Varden ungdomsskole;100;39,9
2025;Vestfold;SANDEFJORD;Wang Ung Sandefjord AS;46;47,4
2025;Vestfold;TØNSBERG;Tønsberg;570;41,3
2025;Vestfold;TØNSBERG;Byskogen Kombinerte skole;67;40,8
2025;Vestfold;TØNSBERG;Elihu Kristne grunnskole;5;48,0
2025;Vestfold;TØNSBERG;Granly skole;17;41,0
2025;Vestfold;TØNSBERG;Kongseik ungdomsskole;67;41,9
2025;Vestfold;TØNSBERG;Presterød ungdomsskole;107;42,6
2025;Vestfold;TØNSBERG;Revetal ungdomsskole;118;41,0
2025;Vestfold;TØNSBERG;Ringshaug ungdomsskole;93;42,1
2025;Vestfold;TØNSBERG;Skagerak International School, Tønsberg AS;9;41,3
2025;Vestfold;TØNSBERG;Tønsberg kommune læringssenter Norsk- og Grunnskoleopplæring;7;33,3
2025;Vestfold;TØNSBERG;Tønsberg Montessori skole Sti;4;38,9
2025;Vestfold;TØNSBERG;Vear skole;45;33,9
2025;Vestfold;TØNSBERG;Wang Tønsberg AS (grunnskole);31;46,2
2025;Vestfold;Vestfold;Vestfold;2 647;41,2
