SpoersmaalNivaa;Avgiver_Fylkekode;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2023-24.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2024-25.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Alle kjønn.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Gutt.Prosent;2025-26.Alle utdanningsprogram.Alle aldersgrupper.Jente.Prosent
0;I;Alle;Alle;Alle;Hele landet;Alle spørsmålgrupper;Alle;Alle svar;;;;;;;;;
1;I;LLUIndeks_4;LLUIndeks_4;Alle;Hele landet;Trivsel;Alle;Alle svar;;;;;;;;;
2;I;LLUIndeks_4;LLUSpoersmaal_Q10701;Alle;Hele landet;Trivsel;trives du på arbeidsplassen?;Alle svar;100;100;100;100;100;100;100;100;100
2;I;LLUIndeks_4;LLUSpoersmaal_Q10701;1;Hele landet;Trivsel;trives du på arbeidsplassen?;I svært liten grad;2,2;2,1;2,6;1,6;1,4;1,8;1,6;1,2;2,5
2;I;LLUIndeks_4;LLUSpoersmaal_Q10701;2;Hele landet;Trivsel;trives du på arbeidsplassen?;I nokså liten grad;4,1;3,5;5,5;3,6;3;4,8;3,2;2,4;4,8
2;I;LLUIndeks_4;LLUSpoersmaal_Q10701;3;Hele landet;Trivsel;trives du på arbeidsplassen?;Verken eller;10,5;9,6;12,4;9,3;8,8;10,4;8,7;8;10,1
2;I;LLUIndeks_4;LLUSpoersmaal_Q10701;4;Hele landet;Trivsel;trives du på arbeidsplassen?;I nokså stor grad;36,2;35,7;37,5;35,4;34,2;38;34,9;34,3;36
2;I;LLUIndeks_4;LLUSpoersmaal_Q10701;5;Hele landet;Trivsel;trives du på arbeidsplassen?;I svært stor grad;47;49,1;42;50,1;52,6;45;51,6;54;46,6
1;I;LLUIndeks_5;LLUIndeks_5;Alle;Hele landet;Trygt miljø;Alle;Alle svar;;;;;;;;;
2;I;LLUIndeks_5;LLUSpoersmaal_Q10705;Alle;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Alle svar;100;100;100;100;100;100;100;100;100
