År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Verdi
2023-24;Alle utdanningsprogram;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;11 413;85,4
2023-24;Alle utdanningsprogram;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;514;82,5
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;654;4,9
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;4 140;31
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;6 096;45,7
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;2 456;18,4
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;42;6,8
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;197;31,9
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;240;38,8
2023-24;Alle utdanningsprogram;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;139;22,5
2023-24;Bygg- og anleggsteknikk;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;2 502;84,3
