EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Alle utdanningsprogram;Vg1;2024;87,7;45,8;1,3;40,6
2;I;39;39;Hele landet;Vestfold;Alle skoler;Alle utdanningsprogram;Vg1;2024;85,1;42,6;3,1;39,3
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole;Alle utdanningsprogram;Vg1;2024;79,9;10,6;3,4;65,9
3;I;39;990745277;Hele landet;Vestfold;Gjennestad videregående skole;Alle utdanningsprogram;Vg1;2024;87,9;0;6,1;81,8
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole;Alle utdanningsprogram;Vg1;2024;87,6;55,8;2,6;29,2
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole;Alle utdanningsprogram;Vg1;2024;79,2;30,2;5,7;43,4
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole;Alle utdanningsprogram;Vg1;2024;84,1;43,3;1,3;39,5
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole;Alle utdanningsprogram;Vg1;2024;88,9;23,1;10,2;55,6
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole;Alle utdanningsprogram;Vg1;2024;84,9;66,3;0,5;18
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole;Alle utdanningsprogram;Vg1;2024;87,7;45,7;2;40,1
3;I;39;974575116;Hele landet;Vestfold;Sande videregående skole;Alle utdanningsprogram;Vg1;2024;83,1;42,4;3,5;37,2
3;I;39;974575019;Hele landet;Vestfold;Sandefjord videregående skole;Alle utdanningsprogram;Vg1;2024;85,2;41,1;3,5;40,6
3;I;39;998666783;Hele landet;Vestfold;Signo Grunn- og videregående skole AS;Alle utdanningsprogram;Vg1;2024;100;5,3;0;94,7
3;I;39;973488783;Hele landet;Vestfold;Skagerak International School;Alle utdanningsprogram;Vg1;2024;77,1;77,1;0;0
3;I;39;973141805;Hele landet;Vestfold;Slottsfjellet videregående;Alle utdanningsprogram;Vg1;2024;90,5;90,5;0;0
3;I;39;974575027;Hele landet;Vestfold;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg1;2024;83,8;40,8;4,2;38,8
3;I;39;995354071;Hele landet;Vestfold;Wang Tønsberg AS;Alle utdanningsprogram;Vg1;2024;100;100;0;0
1;I;00;I;Hele landet;Alle fylker;Alle skoler;Studieforberedende;Vg1;2024;92;91,7;0,1;0,3
2;I;39;39;Hele landet;Vestfold;Alle skoler;Studieforberedende;Vg1;2024;90,6;89,9;0,2;0,5
3;I;39;974575086;Hele landet;Vestfold;Færder videregående skole;Studieforberedende;Vg1;2024;84,8;84,8;0;0
3;I;39;974574993;Hele landet;Vestfold;Greveskogen videregående skole;Studieforberedende;Vg1;2024;91,1;91,1;0;0
3;I;39;874575062;Hele landet;Vestfold;Holmestrand videregående skole;Studieforberedende;Vg1;2024;82,5;80;0;2,5
3;I;39;923261354;Hele landet;Vestfold;Horten videregående skole;Studieforberedende;Vg1;2024;90,8;90,3;0;0,5
3;I;39;974575051;Hele landet;Vestfold;Melsom videregående skole;Studieforberedende;Vg1;2024;86,7;83,3;3,3;0
3;I;39;974575000;Hele landet;Vestfold;Nøtterøy videregående skole;Studieforberedende;Vg1;2024;89,5;88,9;0,7;0
3;I;39;874575232;Hele landet;Vestfold;Re videregående skole;Studieforberedende;Vg1;2024;94;92,6;0;1,3
