ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg1;2019;85,4;44,9;2,1;38,5
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg1;2019;90,6;89,5;0,1;1
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg1;2019;91,5;90,5;0;0,9
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg1;2019;87,7;82,5;1,8;3,5
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg1;2019;89,7;84,9;0,8;4
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg1;2019;91,8;91,8;0;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg1;2019;90,5;89,8;0;0,7
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg1;2019;80,3;0,4;4;75,8
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg1;2019;86,1;0,5;10,1;75,5
2;YRK;DH;DH;Yrkesfaglig;Design og håndverk;Design og håndverk;Vg1;2019;73,6;0;0;73,6
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg1;2019;87,8;1,6;0;86,2
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg1;2019;83,1;0,2;0,6;82,4
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg1;2019;84,5;0;10,3;74,2
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg1;2019;79,6;1,3;3,9;74,3
2;YRK;SS;SS;Yrkesfaglig;Service og samferdsel;Service og samferdsel;Vg1;2019;69,4;0,4;8,5;60,6
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg1;2019;78,3;0;3,7;74,6
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg1;2020;88;45,1;1,7;41,2
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg1;2020;92,9;92,6;0,1;0,3
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg1;2020;94,4;93,5;0,2;0,7
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg1;2020;86,5;84,3;0;2,2
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg1;2020;88;88;0;0
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg1;2020;95,8;95,3;0;0,5
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg1;2020;93,1;93;0;0,1
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg1;2020;83,3;0,3;3,2;79,8
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg1;2020;84,1;0;5,4;78,8
2;YRK;DH;DH;Yrkesfaglig;Design og håndverk;Design og håndverk;Vg1;2020;75,3;1,1;1,7;72,4
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg1;2020;91,5;0,3;0,6;90,5
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg1;2020;83,4;0,4;0,8;82,1
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg1;2020;88,9;0;9,7;79,2
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg1;2020;80,6;0,5;4,5;75,7
2;YRK;SS;SS;Yrkesfaglig;Service og samferdsel;Service og samferdsel;Vg1;2020;81,3;0,5;9,6;71,2
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg1;2020;81,6;0,2;0,9;80,6
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg1;2021;87,1;44,4;1,9;40,8
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg1;2021;92,5;91,5;0,3;0,7
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg1;2021;93,2;93,2;0;0
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg1;2021;86;86;0;0
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg1;2021;91,3;86,3;3,8;1,3
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg1;2021;94;93,4;0;0,6
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg1;2021;92,6;91,6;0,1;0,8
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg1;2021;82;0,3;3,5;78,3
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg1;2021;82,7;0,2;6,4;76
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg1;2021;92,6;0,3;0,9;91,5
2;YRK;FD;FD;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;Frisør, blomster, interiør og eksponeringsdesign;Vg1;2021;66,9;0;4,1;62,8
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg1;2021;81,2;0,5;0,9;79,8
2;YRK;IM;IM;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;Informasjonsteknologi og medieproduksjon;Vg1;2021;86,9;0;1;85,9
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg1;2021;89,7;0,7;6,8;82,2
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Restaurant- og matfag;Vg1;2021;80,4;0,4;6,1;73,9
2;YRK;SR;SR;Yrkesfaglig;Salg, service og reiseliv;Salg, service og reiseliv;Vg1;2021;80,1;0;7,3;72,8
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Teknologi- og industrifag;Vg1;2021;78,5;0,2;3;75,3
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg1;2022;88;45,8;2;40,2
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg1;2022;92,9;92,3;0,1;0,4
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg1;2022;95,3;95,3;0;0
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg1;2022;82,8;80,6;0;2,2
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg1;2022;89,5;86,8;0,9;1,8
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg1;2022;87,6;87,6;0;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg1;2022;93,6;93;0,1;0,4
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg1;2022;83,1;0,4;3,7;79
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg1;2022;84,3;0,2;9,4;74,6
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg1;2022;90;0,3;1;88,6
