ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg1;2025;87;42,1;3;42
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Alle programområder;Vg1;2025;91,5;91,2;0,1;0,2
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Alle programområder;Vg1;2025;96,3;95,8;0,5;0
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Alle programområder;Vg1;2025;89,3;89,3;0;0
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Alle programområder;Vg1;2025;76;76;0;0
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Alle programområder;Vg1;2025;86,6;86,6;0;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Alle programområder;Vg1;2025;91,8;91,5;0;0,3
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Alle programområder;Vg1;2025;83,2;0,1;5,5;77,6
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Alle programområder;Vg1;2025;84,8;0;11,6;73,3
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Alle programområder;Vg1;2025;90,7;0,5;1,5;88,8
2;YRK;FD;FD;Yrkesfaglig;Frisør, blomster, interiør og eksponeringsdesign;Alle programområder;Vg1;2025;72,3;0;2,1;70,2
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Alle programområder;Vg1;2025;84,2;0,4;1,7;82,1
2;YRK;IM;IM;Yrkesfaglig;Informasjonsteknologi og medieproduksjon;Alle programområder;Vg1;2025;85,8;0;5,7;80,2
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Alle programområder;Vg1;2025;84;0;7;77
2;YRK;RM;RM;Yrkesfaglig;Restaurant- og matfag;Alle programområder;Vg1;2025;79,6;0;6,6;73
2;YRK;SR;SR;Yrkesfaglig;Salg, service og reiseliv;Alle programområder;Vg1;2025;85,3;0;11,6;73,7
2;YRK;TP;TP;Yrkesfaglig;Teknologi- og industrifag;Alle programområder;Vg1;2025;77,8;0;4,5;73,4
