EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
1;I;;I;Hele landet;Alle fylker;Hele landet;Alle utdanningsprogram;Vg2;2019;86,8;52;9,7;20,9;0,5;3,6
2;I;07;07;Hele landet;Vestfold;Vestfold;Alle utdanningsprogram;Vg2;2019;87;54,5;10,1;19,1;0,9;2,3
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Alle utdanningsprogram;Vg2;2019;;;;;;
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Alle utdanningsprogram;Vg2;2019;75,1;8,5;4,5;58,2;0;4
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Alle utdanningsprogram;Vg2;2019;81,3;21,3;30;30;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Alle utdanningsprogram;Vg2;2019;91,7;73,8;3;12,6;1;1,3
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Alle utdanningsprogram;Vg2;2019;88,5;68,9;8,2;9,8;1,6;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Alle utdanningsprogram;Vg2;2019;;;;;;
3;I;38;994309153;Hele landet;Vestfold og Telemark;Kompetansebyggeren;Alle utdanningsprogram;Vg2;2019;;;;;;
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Alle utdanningsprogram;Vg2;2019;93,8;49,2;27,7;1,5;0;15,4
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Alle utdanningsprogram;Vg2;2019;92,6;63,5;15,9;7,9;1,6;3,7
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Alle utdanningsprogram;Vg2;2019;92,6;53,5;13,4;25,3;0,4;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Alle utdanningsprogram;Vg2;2019;91,3;58,7;14,3;18,3;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Alle utdanningsprogram;Vg2;2019;84,4;55,1;9,3;14,9;1,7;3,4
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Alle utdanningsprogram;Vg2;2019;96,9;96,9;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Alle utdanningsprogram;Vg2;2019;72,7;72,7;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Alle utdanningsprogram;Vg2;2019;85;49,5;9,2;24,4;1,1;0,8
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Alle utdanningsprogram;Vg2;2019;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg2;2019;95,7;95,6;0;0,1;0;0
2;I;07;07;Hele landet;Vestfold;Vestfold;Studieforberedende;Vg2;2019;95,4;95,2;0;0,2;0;0
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg2;2019;;;;;;
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg2;2019;78,3;73,9;0;4,3;0;0
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Studieforberedende;Vg2;2019;100;100;0;0;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg2;2019;95,7;95,3;0;0,4;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg2;2019;95,5;95,5;0;0;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg2;2019;;;;;;
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg2;2019;94,1;94,1;0;0;0;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg2;2019;95,2;95,2;0;0;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg2;2019;96;96;0;0;0;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg2;2019;96,1;96,1;0;0;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg2;2019;94,9;94,7;0;0,3;0;0
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg2;2019;96,9;96,9;0;0;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg2;2019;72,7;72,7;0;0;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg2;2019;94,3;94,3;0;0;0;0
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg2;2019;100;100;0;0;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Yrkesfag;Vg2;2019;76,2;0;21,3;45,9;1,1;7,9
2;I;07;07;Hele landet;Vestfold;Vestfold;Yrkesfag;Vg2;2019;75,6;0;23,7;44,5;2;5,3
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Yrkesfag;Vg2;2019;;;;;;
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Yrkesfag;Vg2;2019;74,7;0;5,1;65,2;0;4,5
3;I;38;990745277;Hele landet;Vestfold og Telemark;Gjennestad videregående skole;Yrkesfag;Vg2;2019;76,2;0;38,1;38,1;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Yrkesfag;Vg2;2019;77,9;0;13,2;54,4;4,4;5,9
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Yrkesfag;Vg2;2019;70,6;0;29,4;35,3;5,9;0
