ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg2;2019;87;54,5;10,1;19,1;0,9;2,3
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Studieforberedende;Vg2;2019;95,4;95,2;0;0,2;0;0
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Idrettsfag;Vg2;2019;96,6;96,6;0;0;0;0
3;SFB;ID;IDIDR2;Studieforberedende;Idrettsfag;IDIDR2 - Idrettsfag vg2;Vg2;2019;96,6;96,6;0;0;0;0
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Kunst, design og arkitektur;Vg2;2019;83,3;80,6;0;2,8;0;0
3;SFB;KD;KDKDA2;Studieforberedende;Kunst, design og arkitektur;KDKDA2 - Kunst, design og arkitektur vg2;Vg2;2019;83,3;80,6;0;2,8;0;0
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Medier og kommunikasjon;Vg2;2019;93,6;93,6;0;0;0;0
3;SFB;ME;MEMOK2;Studieforberedende;Medier og kommunikasjon;MEMOK2 - Medier og kommunikasjon vg2;Vg2;2019;93,6;93,6;0;0;0;0
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Musikk, dans og drama;Vg2;2019;90;88,8;0;1,3;0;0
3;SFB;MD;MDDAN2;Studieforberedende;Musikk, dans og drama;MDDAN2 - Dans vg2;Vg2;2019;85,7;85,7;0;0;0;0
3;SFB;MD;MDDRA2;Studieforberedende;Musikk, dans og drama;MDDRA2 - Drama vg2;Vg2;2019;86,7;86,7;0;0;0;0
3;SFB;MD;MDMUS2;Studieforberedende;Musikk, dans og drama;MDMUS2 - Musikk vg2;Vg2;2019;91,4;89,7;0;1,7;0;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Studiespesialisering;Vg2;2019;96,1;96;0;0,1;0;0
3;SFB;ST;STREA2;Studieforberedende;Studiespesialisering;STREA2 - Realfag vg2;Vg2;2019;95,7;95,7;0;0;0;0
3;SFB;ST;STSSA2;Studieforberedende;Studiespesialisering;STSSA2 - Språk, samfunnsfag og økonomi vg2;Vg2;2019;96,8;96,6;0;0,1;0;0
3;SFB;ST;STUSP2;Studieforberedende;Studiespesialisering;STUSP2 - Studiespesialisering;Vg2;2019;92,3;92,3;0;0;0;0
1;YRK;;YRK;Yrkesfaglig;Alle utdanningsprogram;Yrkesfaglig;Vg2;2019;75,6;0;23,7;44,5;2;5,3
2;YRK;BA;BA;Yrkesfaglig;Bygg- og anleggsteknikk;Bygg- og anleggsteknikk;Vg2;2019;80,7;0;4,7;75,3;0;0,7
3;YRK;BA;BABYG2;Yrkesfaglig;Bygg- og anleggsteknikk;BABYG2 - Byggteknikk;Vg2;2019;81,6;0;8;72,4;0;1,1
3;YRK;BA;BAKEM2;Yrkesfaglig;Bygg- og anleggsteknikk;BAKEM2 - Klima, energi og miljøteknikk;Vg2;2019;100;0;0;100;0;0
3;YRK;BA;BATRT2;Yrkesfaglig;Bygg- og anleggsteknikk;BATRT2 - Treteknikk;Vg2;2019;72,2;0;0;72,2;0;0
3;YRK;BA;BAANL2;Yrkesfaglig;Bygg- og anleggsteknikk;BAANL2 - Anleggsteknikk;Vg2;2019;73,3;0;0;73,3;0;0
2;YRK;DH;DH;Yrkesfaglig;Design og håndverk;Design og håndverk;Vg2;2019;64,7;0;26,5;32,4;0;5,9
3;YRK;DH;DHBLD2;Yrkesfaglig;Design og håndverk;DHBLD2 - Blomsterdekoratør;Vg2;2019;88,9;0;66,7;22,2;0;0
3;YRK;DH;DHFRI2;Yrkesfaglig;Design og håndverk;DHFRI2 - Frisør;Vg2;2019;56,3;0;18,8;37,5;0;0
3;YRK;DH;DHIUD2;Yrkesfaglig;Design og håndverk;DHIUD2 - Interiør og utstillingsdesign;Vg2;2019;58,3;0;8,3;16,7;0;33,3
3;YRK;DH;DHMED2;Yrkesfaglig;Design og håndverk;DHMED2 - Medieproduksjon vg2;Vg2;2019;73,3;0;33,3;40;0;0
2;YRK;EL;EL;Yrkesfaglig;Elektro og datateknologi;Elektro og datateknologi;Vg2;2019;82,1;0;16,2;49,7;0;16,2
3;YRK;EL;ELAUT2;Yrkesfaglig;Elektro og datateknologi;ELAUT2 - Automatisering;Vg2;2019;66,7;0;0;5,6;0;61,1
3;YRK;EL;ELDEL2;Yrkesfaglig;Elektro og datateknologi;ELDEL2 - Datateknologi og elektronikk;Vg2;2019;68,1;0;17;21,3;0;29,8
3;YRK;EL;ELELE2;Yrkesfaglig;Elektro og datateknologi;ELELE2 - Elenergi og ekom;Vg2;2019;90,7;0;18,5;69,4;0;2,8
2;YRK;HS;HS;Yrkesfaglig;Helse- og oppvekstfag;Helse- og oppvekstfag;Vg2;2019;80,6;0;42;30,5;3,6;4,6
3;YRK;HS;HSAMB2;Yrkesfaglig;Helse- og oppvekstfag;HSAMB2 - Ambulansefag;Vg2;2019;93,8;0;25;62,5;6,3;0
3;YRK;HS;HSBUA2;Yrkesfaglig;Helse- og oppvekstfag;HSBUA2 - Barne- og ungdomsarbeiderfag;Vg2;2019;86,3;0;50,5;32,1;3,7;0
3;YRK;HS;HSHEA2;Yrkesfaglig;Helse- og oppvekstfag;HSHEA2 - Helsearbeiderfag;Vg2;2019;72,7;0;38,1;31,3;3,4;0
3;YRK;HS;HSHES2;Yrkesfaglig;Helse- og oppvekstfag;HSHES2 - Helseservicefag;Vg2;2019;82,9;0;22,9;2,9;2,9;54,3
2;YRK;NA;NA;Yrkesfaglig;Naturbruk;Naturbruk;Vg2;2019;83,7;0;44,9;18,4;0;20,4
