ProgramomraadeNivaa;UtdanningstypeKode;Utdanningsprogramkode;Programomraadekode;UtdanningstypeNavn;UtdanningsprogramNavn;ProgramomraadeNavn;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til påbygg;Overgang til opplæring i bedrift;Overgang til alternativt Vg3 i skole;Overgang til yrkesfaglig utdanningsprogram
0;Alle;;Alle;Alle utdanningsprogram;Alle utdanningsprogram;Alle programområder;Vg2;2025;87;50,9;12,4;20,6;0,3;2,7
1;SFB;;SFB;Studieforberedende;Alle utdanningsprogram;Alle programområder;Vg2;2025;95,1;94,8;0,2;0,1;0;0
2;SFB;ID;ID;Studieforberedende;Idrettsfag;Alle programområder;Vg2;2025;96,8;96,8;0;0;0;0
3;SFB;ID;IDIDR2;Studieforberedende;Idrettsfag;IDIDR2 - Idrettsfag vg2;Vg2;2025;96,8;96,8;0;0;0;0
2;SFB;KD;KD;Studieforberedende;Kunst, design og arkitektur;Alle programområder;Vg2;2025;95,8;93,8;2,1;0;0;0
3;SFB;KD;KDKDA2;Studieforberedende;Kunst, design og arkitektur;KDKDA2 - Kunst, design og arkitektur vg2;Vg2;2025;95,8;93,8;2,1;0;0;0
2;SFB;ME;ME;Studieforberedende;Medier og kommunikasjon;Alle programområder;Vg2;2025;87,8;87,8;0;0;0;0
3;SFB;ME;MEMOK2;Studieforberedende;Medier og kommunikasjon;MEMOK2 - Medier og kommunikasjon vg2;Vg2;2025;87,8;87,8;0;0;0;0
2;SFB;MD;MD;Studieforberedende;Musikk, dans og drama;Alle programområder;Vg2;2025;97,6;97,6;0;0;0;0
3;SFB;MD;MDDAN2;Studieforberedende;Musikk, dans og drama;MDDAN2 - Dans vg2;Vg2;2025;100;100;0;0;0;0
3;SFB;MD;MDDRA2;Studieforberedende;Musikk, dans og drama;MDDRA2 - Drama vg2;Vg2;2025;100;100;0;0;0;0
3;SFB;MD;MDMUS2;Studieforberedende;Musikk, dans og drama;MDMUS2 - Musikk vg2;Vg2;2025;96,9;96,9;0;0;0;0
2;SFB;ST;ST;Studieforberedende;Studiespesialisering;Alle programområder;Vg2;2025;95;94,6;0,2;0,2;0;0
3;SFB;ST;STREA2;Studieforberedende;Studiespesialisering;STREA2 - Realfag vg2;Vg2;2025;97,4;97,4;0;0;0;0
3;SFB;ST;STSSA2;Studieforberedende;Studiespesialisering;STSSA2 - Språk, samfunnsfag og økonomi vg2;Vg2;2025;94,5;93,9;0,3;0,3;0;0
