År,Fylke,Kommune,Grovfor antall dekar,Grovfor antall søkere,Korn antall dekar,Korn antall søkere,Potet antall dekar,Potet antall søkere,Grønnsaker antall dekar,Grønnsaker antall søkere,Frukt antall dekar,Frukt antall søkere,Bær antall dekar,Bær antall søkere
2023,Agder (42),Arendal (4203),14 676 ,91 ,2 299 ,13 ,6 ,3 ,119 ,1 ,3 ,1 ,0 ,0 
2023,Agder (42),Birkenes (4216),10 468 ,59 ,657 ,4 ,248 ,2 ,88 ,2 ,8 ,1 ,102 ,2 
2023,Agder (42),Bygland (4220),7 224 ,40 ,0 ,0 ,10 ,1 ,0 ,0 ,8 ,2 ,0 ,0 
2023,Agder (42),Bykle (4222),1 671 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Agder (42),Evje og Hornnes (4219),10 771 ,53 ,330 ,2 ,0 ,0 ,0 ,0 ,13 ,3 ,32 ,3 
2023,Agder (42),Farsund (4206),28 188 ,141 ,2 773 ,23 ,55 ,4 ,18 ,3 ,0 ,0 ,6 ,1 
2023,Agder (42),Flekkefjord (4207),14 447 ,74 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Agder (42),Froland (4214),4 967 ,40 ,751 ,4 ,0 ,0 ,2 ,1 ,18 ,1 ,0 ,0 
2023,Agder (42),Gjerstad (4211),4 263 ,14 ,590 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Agder (42),Grimstad (4202),10 441 ,71 ,2 756 ,28 ,1 804 ,19 ,894 ,16 ,12 ,3 ,401 ,15 
2023,Agder (42),Hægebostad (4226),14 605 ,57 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Agder (42),Iveland (4218),3 820 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Agder (42),Kristiansand (4204),15 437 ,112 ,1 354 ,15 ,750 ,8 ,39 ,6 ,64 ,5 ,400 ,13 
2023,Agder (42),Kvinesdal (4227),21 350 ,119 ,0 ,0 ,26 ,2 ,0 ,0 ,12 ,2 ,6 ,1 
2023,Agder (42),Lillesand (4215),4 687 ,31 ,684 ,4 ,12 ,1 ,85 ,2 ,2 ,1 ,4 ,1 
2023,Agder (42),Lindesnes (4205),34 612 ,229 ,183 ,4 ,90 ,6 ,88 ,5 ,17 ,2 ,101 ,8 
2023,Agder (42),Lyngdal (4225),24 264 ,125 ,178 ,4 ,65 ,4 ,1 ,1 ,8 ,3 ,26 ,2 
2023,Agder (42),Risør (4201),2 296 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Agder (42),Sirdal (4228),11 834 ,63 ,0 ,0 ,10 ,2 ,0 ,0 ,0 ,0 ,9 ,1 
2023,Agder (42),Tvedestrand (4213),5 962 ,31 ,208 ,2 ,0 ,0 ,0 ,0 ,7 ,1 ,0 ,0 
2023,Agder (42),Valle (4221),8 294 ,47 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,7 ,1 
2023,Agder (42),Vegårshei (4212),1 638 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Agder (42),Vennesla (4223),11 924 ,69 ,60 ,1 ,0 ,0 ,0 ,0 ,10 ,1 ,39 ,1 
2023,Agder (42),Åmli (4217),9 879 ,41 ,777 ,6 ,120 ,1 ,1 ,1 ,4 ,1 ,8 ,1 
2023,Agder (42),Åseral (4224),9 711 ,44 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 
2023,Innlandet (34),Alvdal (3428),29 125 ,115 ,1 814 ,15 ,283 ,12 ,0 ,0 ,0 ,0 ,5 ,1 
2023,Innlandet (34),Dovre (3431),27 229 ,95 ,292 ,2 ,7 ,1 ,2 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Eidskog (3416),7 610 ,48 ,25 135 ,89 ,30 ,4 ,10 ,2 ,12 ,1 ,0 ,0 
2023,Innlandet (34),Elverum (3420),16 255 ,47 ,20 538 ,59 ,2 793 ,10 ,0 ,0 ,0 ,0 ,348 ,2 
2023,Innlandet (34),Engerdal (3425),8 783 ,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Etnedal (3450),14 715 ,57 ,54 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Folldal (3429),27 736 ,105 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Gausdal (3441),61 421 ,237 ,2 030 ,13 ,3 ,3 ,3 ,3 ,0 ,0 ,7 ,1 
2023,Innlandet (34),Gjøvik (3407),60 913 ,229 ,11 397 ,42 ,8 ,4 ,5 ,2 ,15 ,1 ,68 ,1 
2023,Innlandet (34),Gran (3446),36 182 ,163 ,32 701 ,167 ,1 288 ,26 ,49 ,5 ,53 ,3 ,119 ,5 
2023,Innlandet (34),Grue (3417),7 305 ,46 ,47 085 ,103 ,11 451 ,48 ,831 ,5 ,6 ,2 ,11 ,1 
2023,Innlandet (34),Hamar (3403),5 831 ,39 ,37 978 ,77 ,783 ,6 ,958 ,5 ,0 ,0 ,135 ,5 
2023,Innlandet (34),Kongsvinger (3401),12 634 ,61 ,31 058 ,82 ,1 922 ,8 ,200 ,1 ,5 ,1 ,8 ,1 
2023,Innlandet (34),Lesja (3432),43 764 ,156 ,0 ,0 ,17 ,4 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Lillehammer (3405),28 962 ,124 ,3 128 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 
2023,Innlandet (34),Lom (3434),22 569 ,123 ,186 ,1 ,8 ,3 ,16 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Løten (3412),16 212 ,62 ,26 388 ,64 ,332 ,3 ,149 ,3 ,0 ,0 ,18 ,2 
2023,Innlandet (34),Nord-Aurdal (3451),32 670 ,168 ,84 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,1 
2023,Innlandet (34),Nord-Fron (3436),38 266 ,172 ,2 521 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Nord-Odal (3414),6 825 ,40 ,16 518 ,64 ,187 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Nordre Land (3448),40 224 ,186 ,2 044 ,10 ,18 ,5 ,0 ,0 ,2 ,1 ,7 ,2 
2023,Innlandet (34),Os (3430),31 598 ,104 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Rendalen (3424),15 768 ,55 ,4 499 ,18 ,981 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Ringebu (3439),46 200 ,197 ,880 ,9 ,30 ,3 ,3 ,2 ,0 ,0 ,68 ,2 
2023,Innlandet (34),Ringsaker (3411),93 078 ,339 ,91 447 ,245 ,2 932 ,25 ,473 ,9 ,102 ,4 ,798 ,15 
2023,Innlandet (34),Sel (3437),29 166 ,139 ,3 254 ,23 ,371 ,6 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Skjåk (3433),21 923 ,127 ,960 ,15 ,64 ,5 ,14 ,2 ,0 ,0 ,5 ,3 
2023,Innlandet (34),Stange (3413),20 339 ,99 ,63 695 ,175 ,2 781 ,21 ,2 455 ,18 ,8 ,1 ,375 ,8 
2023,Innlandet (34),Stor-Elvdal (3423),15 837 ,48 ,3 888 ,15 ,1 043 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Søndre Land (3447),15 001 ,80 ,7 935 ,44 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,1 
2023,Innlandet (34),Sør-Aurdal (3449),21 833 ,102 ,281 ,3 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Sør-Fron (3438),34 743 ,143 ,3 159 ,22 ,4 ,2 ,2 ,1 ,0 ,0 ,3 ,1 
2023,Innlandet (34),Sør-Odal (3415),4 938 ,34 ,49 906 ,103 ,5 657 ,23 ,2 ,1 ,0 ,0 ,1 ,1 
2023,Innlandet (34),Tolga (3426),35 292 ,92 ,330 ,9 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Trysil (3421),15 143 ,44 ,220 ,1 ,8 ,3 ,0 ,0 ,0 ,0 ,3 ,1 
2023,Innlandet (34),Tynset (3427),58 987 ,189 ,331 ,5 ,1 317 ,15 ,2 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Vang (3454),17 254 ,97 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68 ,1 
2023,Innlandet (34),Vestre Slidre (3452),27 289 ,160 ,266 ,3 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Vestre Toten (3443),23 299 ,109 ,28 647 ,119 ,155 ,4 ,2 ,2 ,0 ,0 ,64 ,3 
2023,Innlandet (34),Vågå (3435),37 907 ,165 ,169 ,3 ,802 ,2 ,19 ,3 ,0 ,0 ,3 ,2 
2023,Innlandet (34),Våler (Hedm.) (3419),7 248 ,40 ,36 904 ,78 ,6 512 ,17 ,135 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Østre Toten (3442),37 858 ,176 ,61 887 ,215 ,6 053 ,36 ,9 842 ,33 ,16 ,2 ,405 ,9 
2023,Innlandet (34),Øyer (3440),29 813 ,136 ,1 260 ,14 ,3 ,2 ,8 ,1 ,0 ,0 ,18 ,2 
2023,Innlandet (34),Øystre Slidre (3453),26 803 ,142 ,37 ,2 ,7 ,2 ,1 ,1 ,0 ,0 ,0 ,0 
2023,Innlandet (34),Åmot (3422),11 583 ,32 ,6 546 ,17 ,919 ,2 ,0 ,0 ,3 ,1 ,121 ,2 
2023,Innlandet (34),Åsnes (3418),12 786 ,59 ,76 106 ,168 ,9 361 ,50 ,164 ,3 ,11 ,1 ,59 ,2 
