Knr,Kommunenavn,Tid,Gruppe,Forbruk (kWh),Antall målere
3901.0,Horten,2021-01-01 00:00:00+01:00,Næring (unntatt industri),9952.06,999.0
3901.0,Horten,2021-01-01 01:00:00+01:00,Næring (unntatt industri),9955.356,999.0
3901.0,Horten,2021-01-01 02:00:00+01:00,Næring (unntatt industri),9926.24,999.0
3901.0,Horten,2021-01-01 03:00:00+01:00,Næring (unntatt industri),9889.273,999.0
3901.0,Horten,2021-01-01 04:00:00+01:00,Næring (unntatt industri),10081.968,999.0
3901.0,Horten,2021-01-01 05:00:00+01:00,Næring (unntatt industri),10533.393,999.0
3901.0,Horten,2021-01-01 06:00:00+01:00,Næring (unntatt industri),11275.815,999.0
3901.0,Horten,2021-01-01 07:00:00+01:00,Næring (unntatt industri),11948.05,999.0
3901.0,Horten,2021-01-01 08:00:00+01:00,Næring (unntatt industri),12485.205,999.0
3901.0,Horten,2021-01-01 09:00:00+01:00,Næring (unntatt industri),12088.023,999.0
3901.0,Horten,2021-01-01 10:00:00+01:00,Næring (unntatt industri),11935.132,999.0
3901.0,Horten,2021-01-01 11:00:00+01:00,Næring (unntatt industri),12099.507,999.0
3901.0,Horten,2021-01-01 12:00:00+01:00,Næring (unntatt industri),12178.214,999.0
3901.0,Horten,2021-01-01 13:00:00+01:00,Næring (unntatt industri),12262.781,999.0
3901.0,Horten,2021-01-01 14:00:00+01:00,Næring (unntatt industri),12138.277,999.0
3901.0,Horten,2021-01-01 15:00:00+01:00,Næring (unntatt industri),12430.433,999.0
3901.0,Horten,2021-01-01 16:00:00+01:00,Næring (unntatt industri),12752.805,999.0
3901.0,Horten,2021-01-01 17:00:00+01:00,Næring (unntatt industri),12174.04,999.0
3901.0,Horten,2021-01-01 18:00:00+01:00,Næring (unntatt industri),11914.634,999.0
3901.0,Horten,2021-01-01 19:00:00+01:00,Næring (unntatt industri),11525.056,999.0
3901.0,Horten,2021-01-01 20:00:00+01:00,Næring (unntatt industri),11120.571,999.0
3901.0,Horten,2021-01-01 21:00:00+01:00,Næring (unntatt industri),10871.69,999.0
3901.0,Horten,2021-01-01 22:00:00+01:00,Næring (unntatt industri),10427.001,999.0
3901.0,Horten,2021-01-01 23:00:00+01:00,Næring (unntatt industri),10080.338,999.0
3901.0,Horten,2021-01-01 00:00:00+01:00,Industri,7054.287,303.0
3901.0,Horten,2021-01-01 01:00:00+01:00,Industri,6744.282,303.0
3901.0,Horten,2021-01-01 02:00:00+01:00,Industri,6715.167,303.0
3901.0,Horten,2021-01-01 03:00:00+01:00,Industri,6743.777,303.0
3901.0,Horten,2021-01-01 04:00:00+01:00,Industri,6908.705,303.0
3901.0,Horten,2021-01-01 05:00:00+01:00,Industri,7312.695,303.0
3901.0,Horten,2021-01-01 06:00:00+01:00,Industri,7671.656,303.0
3901.0,Horten,2021-01-01 07:00:00+01:00,Industri,7894.488,303.0
3901.0,Horten,2021-01-01 08:00:00+01:00,Industri,7959.444,303.0
3901.0,Horten,2021-01-01 09:00:00+01:00,Industri,7948.803,303.0
3901.0,Horten,2021-01-01 10:00:00+01:00,Industri,7925.341,303.0
3901.0,Horten,2021-01-01 11:00:00+01:00,Industri,7934.765,303.0
3901.0,Horten,2021-01-01 12:00:00+01:00,Industri,7957.755,303.0
3901.0,Horten,2021-01-01 13:00:00+01:00,Industri,8023.086,303.0
3901.0,Horten,2021-01-01 14:00:00+01:00,Industri,7923.411,303.0
3901.0,Horten,2021-01-01 15:00:00+01:00,Industri,8108.442,303.0
3901.0,Horten,2021-01-01 16:00:00+01:00,Industri,7940.85,303.0
3901.0,Horten,2021-01-01 17:00:00+01:00,Industri,8035.025,303.0
3901.0,Horten,2021-01-01 18:00:00+01:00,Industri,7365.704,303.0
3901.0,Horten,2021-01-01 19:00:00+01:00,Industri,7373.912,303.0
3901.0,Horten,2021-01-01 20:00:00+01:00,Industri,7644.558,303.0
3901.0,Horten,2021-01-01 21:00:00+01:00,Industri,7624.953,303.0
