Fylke;Kommune;År;Antall nye anlegg over valgt tidsperiode;Kumulativ antall anlegg;Ny installert effekt over valgt periode (kW);Kumulativ Installert effekt (kW);Estimert produksjon over valgt periode (MWh)
Vestfold;Total;;2 855;2 855;68 158;68 158;154 942
Vestfold;Færder;Total;375;375;4 723;4 723;12 905
Vestfold;Færder;2015;;;;;0
Vestfold;Færder;2016;2;2;14;14;5
Vestfold;Færder;2017;5;7;25;39;18
Vestfold;Færder;2018;12;19;90;129;51
Vestfold;Færder;2019;35;54;300;429;245
Vestfold;Færder;2020;34;88;261;690;468
Vestfold;Færder;2021;20;108;177;867;623
Vestfold;Færder;2022;65;173;1 365;2 232;1 304
Vestfold;Færder;2023;146;319;1 722;3 954;2 877
Vestfold;Færder;2024;42;361;543;4 497;3 570
Vestfold;Færder;2025;14;375;226;4 723;3 743
Vestfold;Holmestrand;Total;299;299;8 801;8 801;20 152
Vestfold;Holmestrand;2015;;;;;0
Vestfold;Holmestrand;2016;1;1;4;4;2
Vestfold;Holmestrand;2017;3;4;31;35;6
Vestfold;Holmestrand;2018;6;10;42;77;44
Vestfold;Holmestrand;2019;23;33;230;307;132
Vestfold;Holmestrand;2020;20;53;247;554;349
Vestfold;Holmestrand;2021;21;74;1 809;2 363;1 199
Vestfold;Holmestrand;2022;50;124;916;3 279;2 062
Vestfold;Holmestrand;2023;109;233;3 631;6 910;3 965
Vestfold;Holmestrand;2024;50;283;1 599;8 509;5 862
Vestfold;Holmestrand;2025;16;299;292;8 801;6 530
Vestfold;Horten;Total;274;274;5 818;5 818;17 123
Vestfold;Horten;2015;;;;;0
Vestfold;Horten;2016;;;;;0
Vestfold;Horten;2017;5;5;53;53;14
Vestfold;Horten;2018;8;13;444;497;76
Vestfold;Horten;2019;30;43;1 159;1 656;787
Vestfold;Horten;2020;19;62;204;1 860;1 378
Vestfold;Horten;2021;15;77;176;2 036;1 466
Vestfold;Horten;2022;54;131;1 086;3 122;1 858
Vestfold;Horten;2023;100;231;1 680;4 802;3 171
Vestfold;Horten;2024;29;260;843;5 645;4 122
Vestfold;Horten;2025;14;274;173;5 818;4 253
Vestfold;Larvik;Total;551;551;15 780;15 780;30 961
Vestfold;Larvik;2015;;;;;0
Vestfold;Larvik;2016;3;3;23;23;7
Vestfold;Larvik;2017;4;7;23;46;30
Vestfold;Larvik;2018;9;16;101;147;96
Vestfold;Larvik;2019;49;65;422;569;259
Vestfold;Larvik;2020;28;93;599;1 168;816
Vestfold;Larvik;2021;40;133;723;1 891;1 163
Vestfold;Larvik;2022;123;256;2 785;4 676;2 599
Vestfold;Larvik;2023;218;474;3 726;8 402;5 733
Vestfold;Larvik;2024;62;536;7 053;15 455;7 749
Vestfold;Larvik;2025;15;551;325;15 780;12 508
Vestfold;Sandefjord;Total;791;791;19 558;19 558;43 324
Vestfold;Sandefjord;2015;1;1;7;7;0
Vestfold;Sandefjord;2016;1;2;25;32;6
Vestfold;Sandefjord;2017;8;10;59;91;38
Vestfold;Sandefjord;2018;17;27;179;270;136
Vestfold;Sandefjord;2019;60;87;1 569;1 839;709
Vestfold;Sandefjord;2020;37;124;349;2 188;1 608
Vestfold;Sandefjord;2021;43;167;896;3 084;2 096
Vestfold;Sandefjord;2022;223;390;3 717;6 801;3 447
Vestfold;Sandefjord;2023;294;684;6 993;13 794;8 269
Vestfold;Sandefjord;2024;80;764;3 980;17 774;12 657
Vestfold;Sandefjord;2025;27;791;1 784;19 558;14 358
Vestfold;Tønsberg;Total;565;565;13 478;13 478;30 477
Vestfold;Tønsberg;2015;;;;;0
Vestfold;Tønsberg;2016;2;2;17;17;1
Vestfold;Tønsberg;2017;5;7;25;42;15
Vestfold;Tønsberg;2018;6;13;53;95;48
Vestfold;Tønsberg;2019;33;46;408;503;216
Vestfold;Tønsberg;2020;39;85;532;1 035;691
Vestfold;Tønsberg;2021;23;108;472;1 507;978
Vestfold;Tønsberg;2022;132;240;3 170;4 677;2 420
Vestfold;Tønsberg;2023;217;457;6 627;11 304;6 504
Vestfold;Tønsberg;2024;74;531;1 544;12 848;9 484
Vestfold;Tønsberg;2025;34;565;630;13 478;10 119
