Fylke;Kommune;År;Ny_kum;0-20 kW;20-50 kW;50-100 kW;100-1000 kW;>1000 kW;Total
Vestfold;Total;;Ny;2 326;327;141;60;1;2 855
Vestfold;Færder;Total;Ny;350;21;2;2;;375
Vestfold;Færder;2016;Ny;2;;;;;2
Vestfold;Færder;2017;Ny;5;;;;;5
Vestfold;Færder;2018;Ny;12;;;;;12
Vestfold;Færder;2019;Ny;34;1;;;;35
Vestfold;Færder;2020;Ny;33;1;;;;34
Vestfold;Færder;2021;Ny;20;;;;;20
Vestfold;Færder;2022;Ny;60;2;1;2;;65
Vestfold;Færder;2023;Ny;134;11;1;;;146
Vestfold;Færder;2024;Ny;38;4;;;;42
Vestfold;Færder;2025;Ny;12;2;;;;14
Vestfold;Holmestrand;Total;Ny;236;35;20;8;;299
Vestfold;Holmestrand;2016;Ny;1;;;;;1
Vestfold;Holmestrand;2017;Ny;3;;;;;3
Vestfold;Holmestrand;2018;Ny;6;;;;;6
Vestfold;Holmestrand;2019;Ny;21;2;;;;23
Vestfold;Holmestrand;2020;Ny;19;1;;;;20
Vestfold;Holmestrand;2021;Ny;15;2;1;3;;21
Vestfold;Holmestrand;2022;Ny;40;6;4;;;50
Vestfold;Holmestrand;2023;Ny;82;13;11;3;;109
Vestfold;Holmestrand;2024;Ny;35;10;3;2;;50
Vestfold;Holmestrand;2025;Ny;14;1;1;;;16
Vestfold;Horten;Total;Ny;230;26;14;4;;274
Vestfold;Horten;2017;Ny;4;1;;;;5
Vestfold;Horten;2018;Ny;7;;;1;;8
Vestfold;Horten;2019;Ny;26;1;2;1;;30
Vestfold;Horten;2020;Ny;18;;1;;;19
Vestfold;Horten;2021;Ny;14;1;;;;15
Vestfold;Horten;2022;Ny;45;6;2;1;;54
Vestfold;Horten;2023;Ny;84;11;5;;;100
Vestfold;Horten;2024;Ny;20;4;4;1;;29
Vestfold;Horten;2025;Ny;12;2;;;;14
Vestfold;Larvik;Total;Ny;446;71;23;10;1;551
Vestfold;Larvik;2016;Ny;3;;;;;3
Vestfold;Larvik;2017;Ny;4;;;;;4
Vestfold;Larvik;2018;Ny;6;3;;;;9
Vestfold;Larvik;2019;Ny;46;3;;;;49
Vestfold;Larvik;2020;Ny;25;2;;1;;28
Vestfold;Larvik;2021;Ny;31;6;3;;;40
Vestfold;Larvik;2022;Ny;96;19;6;2;;123
Vestfold;Larvik;2023;Ny;183;27;6;2;;218
Vestfold;Larvik;2024;Ny;41;9;7;4;1;62
Vestfold;Larvik;2025;Ny;11;2;1;1;;15
Vestfold;Sandefjord;Total;Ny;635;87;44;25;;791
Vestfold;Sandefjord;2015;Ny;1;;;;;1
Vestfold;Sandefjord;2016;Ny;;1;;;;1
Vestfold;Sandefjord;2017;Ny;8;;;;;8
Vestfold;Sandefjord;2018;Ny;17;;;;;17
Vestfold;Sandefjord;2019;Ny;50;6;1;3;;60
Vestfold;Sandefjord;2020;Ny;35;2;;;;37
Vestfold;Sandefjord;2021;Ny;37;3;2;1;;43
Vestfold;Sandefjord;2022;Ny;190;26;6;1;;223
Vestfold;Sandefjord;2023;Ny;231;36;19;8;;294
Vestfold;Sandefjord;2024;Ny;51;11;10;8;;80
Vestfold;Sandefjord;2025;Ny;15;2;6;4;;27
Vestfold;Tønsberg;Total;Ny;429;87;38;11;;565
Vestfold;Tønsberg;2016;Ny;2;;;;;2
Vestfold;Tønsberg;2017;Ny;5;;;;;5
Vestfold;Tønsberg;2018;Ny;6;;;;;6
Vestfold;Tønsberg;2019;Ny;27;5;1;;;33
Vestfold;Tønsberg;2020;Ny;33;4;2;;;39
Vestfold;Tønsberg;2021;Ny;18;2;3;;;23
Vestfold;Tønsberg;2022;Ny;107;13;8;4;;132
Vestfold;Tønsberg;2023;Ny;148;45;18;6;;217
Vestfold;Tønsberg;2024;Ny;55;14;4;1;;74
Vestfold;Tønsberg;2025;Ny;28;4;2;;;34
Vestfold;Vestfold;2015;Ny;1;0;0;0;0;1
Vestfold;Vestfold;2016;Ny;8;1;0;0;0;9
Vestfold;Vestfold;2017;Ny;29;1;0;0;0;30
Vestfold;Vestfold;2018;Ny;54;3;0;1;0;58
Vestfold;Vestfold;2019;Ny;204;18;4;4;0;230
Vestfold;Vestfold;2020;Ny;163;10;3;1;0;177
Vestfold;Vestfold;2021;Ny;135;14;9;4;0;162
Vestfold;Vestfold;2022;Ny;538;72;27;10;0;647
Vestfold;Vestfold;2023;Ny;862;143;60;19;0;1084
Vestfold;Vestfold;2024;Ny;240;52;28;16;1;337
Vestfold;Vestfold;2025;Ny;92;13;10;5;0;120
Vestfold;Færder;Total;Kum;350;21;2;2;0;375
Vestfold;Færder;2016;Kum;2;0;0;0;0;2
Vestfold;Færder;2017;Kum;7;0;0;0;0;7
Vestfold;Færder;2018;Kum;19;0;0;0;0;19
Vestfold;Færder;2019;Kum;53;1;0;0;0;54
Vestfold;Færder;2020;Kum;86;2;0;0;0;88
Vestfold;Færder;2021;Kum;106;2;0;0;0;108
Vestfold;Færder;2022;Kum;166;4;1;2;0;173
Vestfold;Færder;2023;Kum;300;15;2;2;0;319
Vestfold;Færder;2024;Kum;338;19;2;2;0;361
Vestfold;Færder;2025;Kum;350;21;2;2;0;375
Vestfold;Holmestrand;Total;Kum;236;35;20;8;0;299
Vestfold;Holmestrand;2016;Kum;1;0;0;0;0;1
Vestfold;Holmestrand;2017;Kum;4;0;0;0;0;4
Vestfold;Holmestrand;2018;Kum;10;0;0;0;0;10
Vestfold;Holmestrand;2019;Kum;31;2;0;0;0;33
Vestfold;Holmestrand;2020;Kum;50;3;0;0;0;53
Vestfold;Holmestrand;2021;Kum;65;5;1;3;0;74
Vestfold;Holmestrand;2022;Kum;105;11;5;3;0;124
Vestfold;Holmestrand;2023;Kum;187;24;16;6;0;233
Vestfold;Holmestrand;2024;Kum;222;34;19;8;0;283
Vestfold;Holmestrand;2025;Kum;236;35;20;8;0;299
Vestfold;Horten;Total;Kum;230;26;14;4;0;274
Vestfold;Horten;2017;Kum;4;1;0;0;0;5
Vestfold;Horten;2018;Kum;11;1;0;1;0;13
Vestfold;Horten;2019;Kum;37;2;2;2;0;43
Vestfold;Horten;2020;Kum;55;2;3;2;0;62
Vestfold;Horten;2021;Kum;69;3;3;2;0;77
Vestfold;Horten;2022;Kum;114;9;5;3;0;131
Vestfold;Horten;2023;Kum;198;20;10;3;0;231
Vestfold;Horten;2024;Kum;218;24;14;4;0;260
Vestfold;Horten;2025;Kum;230;26;14;4;0;274
Vestfold;Larvik;Total;Kum;446;71;23;10;1;551
Vestfold;Larvik;2016;Kum;3;0;0;0;0;3
Vestfold;Larvik;2017;Kum;7;0;0;0;0;7
Vestfold;Larvik;2018;Kum;13;3;0;0;0;16
Vestfold;Larvik;2019;Kum;59;6;0;0;0;65
Vestfold;Larvik;2020;Kum;84;8;0;1;0;93
Vestfold;Larvik;2021;Kum;115;14;3;1;0;133
Vestfold;Larvik;2022;Kum;211;33;9;3;0;256
Vestfold;Larvik;2023;Kum;394;60;15;5;0;474
Vestfold;Larvik;2024;Kum;435;69;22;9;1;536
Vestfold;Larvik;2025;Kum;446;71;23;10;1;551
Vestfold;Sandefjord;Total;Kum;635;87;44;25;0;791
Vestfold;Sandefjord;2015;Kum;1;0;0;0;0;1
Vestfold;Sandefjord;2016;Kum;1;1;0;0;0;2
Vestfold;Sandefjord;2017;Kum;9;1;0;0;0;10
Vestfold;Sandefjord;2018;Kum;26;1;0;0;0;27
Vestfold;Sandefjord;2019;Kum;76;7;1;3;0;87
Vestfold;Sandefjord;2020;Kum;111;9;1;3;0;124
Vestfold;Sandefjord;2021;Kum;148;12;3;4;0;167
Vestfold;Sandefjord;2022;Kum;338;38;9;5;0;390
Vestfold;Sandefjord;2023;Kum;569;74;28;13;0;684
Vestfold;Sandefjord;2024;Kum;620;85;38;21;0;764
Vestfold;Sandefjord;2025;Kum;635;87;44;25;0;791
Vestfold;Tønsberg;Total;Kum;429;87;38;11;0;565
Vestfold;Tønsberg;2016;Kum;2;0;0;0;0;2
Vestfold;Tønsberg;2017;Kum;7;0;0;0;0;7
Vestfold;Tønsberg;2018;Kum;13;0;0;0;0;13
Vestfold;Tønsberg;2019;Kum;40;5;1;0;0;46
Vestfold;Tønsberg;2020;Kum;73;9;3;0;0;85
Vestfold;Tønsberg;2021;Kum;91;11;6;0;0;108
Vestfold;Tønsberg;2022;Kum;198;24;14;4;0;240
Vestfold;Tønsberg;2023;Kum;346;69;32;10;0;457
Vestfold;Tønsberg;2024;Kum;401;83;36;11;0;531
Vestfold;Tønsberg;2025;Kum;429;87;38;11;0;565
Vestfold;Vestfold;2015;Kum;1;0;0;0;0;1
Vestfold;Vestfold;2016;Kum;9;1;0;0;0;10
Vestfold;Vestfold;2017;Kum;38;2;0;0;0;40
Vestfold;Vestfold;2018;Kum;92;5;0;1;0;98
Vestfold;Vestfold;2019;Kum;296;23;4;5;0;328
Vestfold;Vestfold;2020;Kum;459;33;7;6;0;505
Vestfold;Vestfold;2021;Kum;594;47;16;10;0;667
Vestfold;Vestfold;2022;Kum;1132;119;43;20;0;1314
Vestfold;Vestfold;2023;Kum;1994;262;103;39;0;2398
Vestfold;Vestfold;2024;Kum;2234;314;131;55;1;2735
Vestfold;Vestfold;2025;Kum;2326;327;141;60;1;2855
