Fylke;Kommune;År;0-20 kW;20-50 kW;50-100 kW;100-1000 kW;>1000 kW;Total
Vestfold;Total;;23 948;10 604;11 516;17 690;4 400;68 158
Vestfold;Færder;Total;3 322;660;141;600;0;4 723
Vestfold;Færder;2015;0;0;0;0;0;0
Vestfold;Færder;2016;14;0;0;0;0;14
Vestfold;Færder;2017;25;0;0;0;0;25
Vestfold;Færder;2018;90;0;0;0;0;90
Vestfold;Færder;2019;270;30;0;0;0;300
Vestfold;Færder;2020;237;24;0;0;0;261
Vestfold;Færder;2021;177;0;0;0;0;177
Vestfold;Færder;2022;637;67;61;600;0;1 365
Vestfold;Færder;2023;1 337;305;80;0;0;1 722
Vestfold;Færder;2024;394;149;0;0;0;543
Vestfold;Færder;2025;141;85;0;0;0;226
Vestfold;Holmestrand;Total;2 583;1 101;1 645;3 472;0;8 801
Vestfold;Holmestrand;2015;0;0;0;0;0;0
Vestfold;Holmestrand;2016;4;0;0;0;0;4
Vestfold;Holmestrand;2017;31;0;0;0;0;31
Vestfold;Holmestrand;2018;42;0;0;0;0;42
Vestfold;Holmestrand;2019;175;55;0;0;0;230
Vestfold;Holmestrand;2020;226;21;0;0;0;247
Vestfold;Holmestrand;2021;158;65;100;1 486;0;1 809
Vestfold;Holmestrand;2022;416;168;332;0;0;916
Vestfold;Holmestrand;2023;940;402;934;1 355;0;3 631
Vestfold;Holmestrand;2024;437;351;180;631;0;1 599
Vestfold;Holmestrand;2025;154;39;99;0;0;292
Vestfold;Horten;Total;2 223;871;1 119;1 605;0;5 818
Vestfold;Horten;2015;0;0;0;0;0;0
Vestfold;Horten;2016;0;0;0;0;0;0
Vestfold;Horten;2017;23;30;0;0;0;53
Vestfold;Horten;2018;62;0;0;382;0;444
Vestfold;Horten;2019;171;25;158;805;0;1 159
Vestfold;Horten;2020;143;0;61;0;0;204
Vestfold;Horten;2021;138;38;0;0;0;176
Vestfold;Horten;2022;493;205;120;268;0;1 086
Vestfold;Horten;2023;879;381;420;0;0;1 680
Vestfold;Horten;2024;204;129;360;150;0;843
Vestfold;Horten;2025;110;63;0;0;0;173
Vestfold;Larvik;Total;4 435;2 224;1 889;2 832;4 400;15 780
Vestfold;Larvik;2015;0;0;0;0;0;0
Vestfold;Larvik;2016;23;0;0;0;0;23
Vestfold;Larvik;2017;23;0;0;0;0;23
Vestfold;Larvik;2018;28;73;0;0;0;101
Vestfold;Larvik;2019;343;79;0;0;0;422
Vestfold;Larvik;2020;222;77;0;300;0;599
Vestfold;Larvik;2021;252;214;257;0;0;723
Vestfold;Larvik;2022;1 130;574;515;566;0;2 785
Vestfold;Larvik;2023;1 894;857;524;451;0;3 726
Vestfold;Larvik;2024;421;304;533;1 395;4 400;7 053
Vestfold;Larvik;2025;99;46;60;120;0;325
Vestfold;Sandefjord;Total;6 928;2 796;3 687;6 147;0;19 558
Vestfold;Sandefjord;2015;7;0;0;0;0;7
Vestfold;Sandefjord;2016;0;25;0;0;0;25
Vestfold;Sandefjord;2017;59;0;0;0;0;59
Vestfold;Sandefjord;2018;179;0;0;0;0;179
Vestfold;Sandefjord;2019;419;199;100;851;0;1 569
Vestfold;Sandefjord;2020;277;72;0;0;0;349
Vestfold;Sandefjord;2021;370;76;200;250;0;896
Vestfold;Sandefjord;2022;2 253;812;452;200;0;3 717
Vestfold;Sandefjord;2023;2 717;1 197;1 529;1 550;0;6 993
Vestfold;Sandefjord;2024;503;340;900;2 237;0;3 980
Vestfold;Sandefjord;2025;144;75;506;1 059;0;1 784
Vestfold;Tønsberg;Total;4 457;2 952;3 035;3 034;0;13 478
Vestfold;Tønsberg;2015;0;0;0;0;0;0
Vestfold;Tønsberg;2016;17;0;0;0;0;17
Vestfold;Tønsberg;2017;25;0;0;0;0;25
Vestfold;Tønsberg;2018;53;0;0;0;0;53
Vestfold;Tønsberg;2019;208;132;68;0;0;408
Vestfold;Tønsberg;2020;263;140;129;0;0;532
Vestfold;Tønsberg;2021;155;69;248;0;0;472
Vestfold;Tønsberg;2022;1 195;401;532;1 042;0;3 170
Vestfold;Tønsberg;2023;1 624;1 647;1 540;1 816;0;6 627
Vestfold;Tønsberg;2024;635;415;318;176;0;1 544
Vestfold;Tønsberg;2025;282;148;200;0;0;630
