VEGOBJEKT-ID;TYPE-ID;VERSJON;FØRSTE FOREKOMST;STARTDATO;SLUTTDATO;SIST MODIFISERT;ALVORLIGHETSGRAD;ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;MÅNED (NY);ULYKKESKODE;ANTALL ENHETER (STK);ANTALL DREPTE I ULYKKEN (STK);ANTALL MEGET ALVORLIG SKADET (STK);ANTALL ALVORLIG SKADET (STK);ANTALL LETTERE SKADET (STK);VEGTYPE;STEDSFORHOLD;FYSISK MIDTDELER/MIDTREKKVERK;FORSTERKET VEGOPPMERKING;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT (STK);TETTSTED;VEGBREDDE (M);FARTSGRENSE (KM/H);VINTERDRIFTSKLASSE (NY);TEMPERATUR (ºC);HISTORISK VEGSTATUS;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;HISTORISK HP;HISTORISK KILOMETERVERDI;STEDFESTINGENS NØYAKTIGHET;GEOMETRI, PUNKT;REGULERING GANGFELT (NY);REGULERING VEGKRYSS (NY);UID (NY);UKEDAGSTYPE (NY);ULYKKESTYPE (NY);ULYKKESTYPE UNDERKATEGORI (NY);ÅR (NY);ANTALL ANDRE ENHETER (NY) (STK);ANTALL BUSS (NY) (STK);ANTALL FOTGJENGERE (NY) (STK);ANTALL LASTEBIL (NY) (STK);ANTALL LETT MC (NY) (STK);ANTALL MC (NY) (STK);ANTALL MOPED (NY) (STK);ANTALL PERSONBIL (NY) (STK);ANTALL SKINNEGÅENDE MATERIELL (NY) (STK);ANTALL LITEN ELEKTRISK MOTORVOGN (STK);ANTALL SYKKEL (NY) (STK);ANTALL TRAKTOR (NY) (STK);ANTALL UKJENTE ENHETER (NY) (STK);ANTALL VAREBIL (NY) (STK);ÅDT (NY);ATK, INFLUENSSTREKNING (NY);FARTSDEMPENDE TILTAK (NY);MC-SKINNE (NY);VEGBELYSNING (NY);FYLKENAVN (NY);FYLKENUMMER (NY);KOMMUNENAVN (NY);KOMMUNENUMMER (NY);HISTORISK VEGFASE (NY);HISTORISK TRAFIKANTGRUPPE (NY);HISTORISK ARM (NY);HISTORISK VEGSTREKNING (NY);HISTORISK VEGDELSTREKNING (NY);HISTORISK METERVERDI (NY);HISTORISK KRYSSDEL (NY);HISTORISK KRYSSDEL METERVERDI (NY);HISTORISK SIDEANLEGGSDEL (NY);HISTORISK SIDEANLEGGSDEL METERVERDI (NY);LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;LOK.FYLKESNUMMER;LOK.RIKSVEGRUTE;LOK.KONTRAKTSOMRÅDE;LOK.VEGSYSTEMREFERANSE;LOK.VEGKATEGORI;LOK.FASE;LOK.VEGNUMMER;LOK.STREKNING;LOK.DELSTREKNING;FRA METER;TIL METER;VEGLENKESEKVENSID;STARTPOSISJON;SLUTTPOSISJON;STREKNING.RETNING;SIDEPOSISJON;KJØREFELT;TYPEVEG;LENGDE;MOR;BARN;GEOMETRI;GEOMETRI_2;GEOMETRI_3
1019204131;570;1;1;09.01.2023;;2024-06-03T19:14:49;;09.01.2023;17:43:00;Mandag;1;Fotgjenger påkjørt på fortau;2;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Ukjent;Våt, bar veg;God sikt, nedbør;Mørkt uten vegbelysning;Vanlig kjørefelt;2;Tettsted;;50;;;;Kommunal veg;12200;;;;POINT (238378 6578665);Gangfelt utenfor kryss, ukjent regulering;Ukjent;UID2006150416;Yrkesdøgn;Fotgjenger/akende;Fotgjenger langs vegen eller i kjørebanen;2023;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;Nei;Nei;;Nei;Vestfold;39;Tønsberg;3905;V;K;Nei;1;1;106;;;;;Tønsberg;3905;Vestfold;39;;;KV12200 S1D1 m106;Kommunal veg;Eksisterende;12200;1;1;105,785;105,785;1148465;0,57492064;0,57492064;;;;enkelBilveg;0;;571:1019204132,571:1019204138;238378,75;6578666,25;3.579
1019204212;570;1;1;16.01.2023;;2024-06-03T19:15:16;;16.01.2023;17:31:00;Mandag;1;Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning;1;;;;;Motorveg;Tunnel (primært for motorkjøretøy);Ja;Kantoppmerking;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, nedbør;Mørkt med vegbelysning;Forbikjøringsfelt;4;Ikke tettsted;18;110;Vinterdriftsklasse A;-1;;Europaveg;18;;;;POINT (210825 6558426);Ikke gangfelt;Ikke i vegkryss;UID0909443569;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2023;0;0;0;0;0;0;0;1;0;0;0;0;0;0;19989;Nei;Nei;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;29;1;6140;;;;;Larvik;3909;Vestfold;39;RUTE3 2014-2023 / 2018-2029;9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025;EV18 S29D1 m6140;Europaveg;Eksisterende;18;29;1;6140,186;6140,186;2014294;0,2171646;0,2171646;;;;kanalisertVeg;0;;571:1019204226;210816,26;6558419,48;91.992
1019204246;570;1;1;12.01.2023;;2024-06-03T19:15:16;;12.01.2023;14:32:00;Torsdag;1;Møting på rett vegstrekning;2;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;Tettsted;8,6;60;Vinterdriftsklasse C;5;;Fylkesveg;303;;;;POINT (217234 6555401);Gangfelt utenfor kryss, ukjent regulering;Ikke i vegkryss;UID9738891244;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2023;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10693;Nei;Nei;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;1;1;3642;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030;FV303 S1D1 m3642;Fylkesveg;Eksisterende;303;1;1;3641,537;3641,537;1175506;0,37367513;0,37367513;;;;enkelBilveg;0;;571:1019204247,571:1019204248;217233,80;6555398,77;15.639
1019204301;570;1;1;18.01.2023;;2024-06-03T19:15:43;;18.01.2023;09:45:00;Onsdag;1;Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning;1;;;;;Motorveg;Vegstrekning utenfor kryss/avkjørsel;Ja;Både midt- og kantoppmerking;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, nedbør;Dagslys;Forbikjøringsfelt;4;Ikke tettsted;25,8;100;Vinterdriftsklasse A;;;Europaveg;18;;;;POINT (236834 6599187);Ikke gangfelt;Ikke i vegkryss;UID4343022013;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2023;0;0;0;0;0;0;0;1;0;0;0;0;0;0;28000;Nei;Nei;;Ja;Vestfold;39;Holmestrand;3903;V;K;Nei;41;1;2937;;;;;Holmestrand;3903;Vestfold;39;RUTE3 2014-2023 / 2018-2029;9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025;EV18 S41D1 m2937;Europaveg;Eksisterende;18;41;1;2936,752;2936,752;2172094;0,64848469;0,64848469;;;;kanalisertVeg;0;;571:1019204302;236834,65;6599189,15;52.21
1019204376;570;1;1;23.07.2023;;2024-06-03T19:16:09;;23.07.2023;18:42:00;Søndag;7;Påkjøring av forankjørende ved skifte av felt til venstre;2;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;9;70;;18;;Fylkesveg;40;;;;POINT (210081 6588915);Ukjent;Vikepliktsregulert kryss (skilt 202, 204, 210);UID1538000770;Helgedøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2023;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3657;Nei;Nei;;Nei;Vestfold;39;Larvik;3909;V;K;Nei;5;1;3442;;;;;Larvik;3909;Vestfold;39;;3801 Vestfold nord 2021-2026,3820 Elektro øst 2021-2026,3850 Grønt Vestfold nord 2022-2026;FV40 S5D1 m3442;Fylkesveg;Eksisterende;40;5;1;3442,318;3442,318;1175832;0,36482643;0,36482643;;;;enkelBilveg;0;;571:1019204368,571:1019204397;210083,88;6588918,07;63.396
1019204479;570;1;1;28.07.2023;;2024-06-03T19:16:34;;28.07.2023;12:17:00;Fredag;7;Venstresving foran kjørende i motsatt retning;2;;;;;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Tettsted;8,9;30;Vinterdriftsklasse D;18;;Fylkesveg;3106;;;;POINT (242404 6587632);Ukjent;Uregulert kryss, generell høyreregel (uten skilting);UID8187474626;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2023;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1000;Nei;Ja;;Ja;Vestfold;39;Horten;3901;V;K;Nei;2;1;520;;;;;Horten;3901;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3902 Vestfold øst vei 2025-2030,3952 Grønt Vestfold øst 2025-2030;FV3106 S2D1 m520;Fylkesveg;Eksisterende;3106;2;1;520,016;520,016;1175879;0,99472048;0,99472048;;;;enkelBilveg;0;;571:1019204480,571:1019204489;242401,57;6587635,50;22.718
1019204854;570;1;1;09.07.2023;;2024-06-03T19:18:31;;09.07.2023;22:10:00;Søndag;7;Enslig kjøretøy kjørte på trafikkøy eller ende av midtdeler;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;Tettsted;6,2;50;Vinterdriftsklasse A;;;Fylkesveg;3056;;;;POINT (227773 6563054);Skiltet gangfelt utenfor kryss;Ikke i vegkryss;UID4248158763;Helgedøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2023;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6200;Nei;Nei;;Ja;Vestfold;39;Sandefjord;3907;V;K;Nei;1;1;1283;;;;;Sandefjord;3907;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030;FV3056 S1D1 m1283;Fylkesveg;Eksisterende;3056;1;1;1283,298;1283,298;1175655;0,16006431;0,16006431;;;;enkelBilveg;0;;571:1019204855;227774,03;6563054,01;31.172
1019204902;570;1;1;03.07.2023;;2024-06-03T19:18:31;;03.07.2023;16:48:00;Mandag;7;Kryssende kjøreretninger (uten avsvinging);2;;;;;Vanlig veg/gate;4 armet kryss (X-kryss);Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Tettsted;6,7;40;Vinterdriftsklasse D;17;;Fylkesveg;3000;;;;POINT (215968 6556684);Gangfelt i kryss;Vikepliktsregulert kryss (skilt 202, 204, 210);UID4330755532;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2023;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4000;Nei;Ja;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;1;1;877;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030;FV3000 S1D1 m877;Fylkesveg;Eksisterende;3000;1;1;877,359;877,359;1175617;0,38535751;0,38535751;;;;enkelBilveg;0;;571:1019204907,571:1019204919;215968,34;6556678,74;49.729
1019205093;570;1;1;09.01.2023;;2024-06-03T19:19:26;;09.01.2023;00:00:00;Mandag;1;Fotgjenger krysset kjørebanen på bortsiden av krysset;3;;;;;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Mørkt med vegbelysning;Vanlig kjørefelt;2;Tettsted;6,6;40;Vinterdriftsklasse C;3;;Fylkesveg;3116;;;;POINT (239361 6582196);Gangfelt i kryss;Vikepliktsregulert kryss (skilt 202, 204, 210);UID6018651007;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;2023;0;0;2;0;0;0;0;1;0;0;0;0;0;0;3800;Nei;Nei;;Ja;Vestfold;39;Tønsberg;3905;V;K;Nei;2;1;1493;;;;;Tønsberg;3905;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2026,3902 Vestfold øst vei 2025-2030,3952 Grønt Vestfold øst 2025-2030;FV3116 S2D1 m1493;Fylkesveg;Eksisterende;3116;2;1;1493,206;1493,206;1175880;0,47271573;0,47271573;;;;enkelBilveg;0;;571:1019205094,571:1019205096,571:1019205103;239359,32;6582196,95;45.898
1019205800;570;1;1;14.09.2023;;2024-06-03T19:22:49;;14.09.2023;19:02:00;Torsdag;9;Enslig kjøretøy veltet i kjørebanen;1;;;;;Vanlig veg/gate;Rundkjøring;Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Tettsted;;40;;12;;Kommunal veg;31500;;;;POINT (225525 6564713);Gangfelt i kryss;Vikepliktsregulert kryss (skilt 202, 204, 210);UID3051115749;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2023;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;Nei;Nei;;Nei;Vestfold;39;Sandefjord;3907;V;K;Nei;1;1;6;;;;;Sandefjord;3907;Vestfold;39;;;KV31500 S1D1 m6;Kommunal veg;Eksisterende;31500;1;1;6,37;6,37;1149100;0,00626525;0,00626525;;;;enkelBilveg;0;;571:1019205801;225528,26;6564714,54;35.336
