OBJ.VEGOBJEKT-ID;OBJ.TYPE-ID;OBJ.VERSJON;MET.FØRSTE FOREKOMST;MET.OPPRETTET DATO;OBJ.STARTDATO;OBJ.SLUTTDATO;OBJ.SIST MODIFISERT;EGS.ALVORLIGHETSGRAD.5074;EGS.ULYKKESDATO.5055;EGS.ULYKKESKLOKKESLETT.5056;EGS.UKEDAG.5054;EGS.MÅNED (NY).11898;EGS.ULYKKESKODE.5066;EGS.ANTALL ENHETER (STK).5069;EGS.ANTALL DREPTE I ULYKKEN (STK).5070;EGS.ANTALL MEGET ALVORLIG SKADET (STK).5071;EGS.ANTALL ALVORLIG SKADET (STK).5072;EGS.ANTALL LETTERE SKADET (STK).5073;EGS.VEGTYPE.5075;EGS.STEDSFORHOLD.5076;EGS.FYSISK MIDTDELER/MIDTREKKVERK.5758;EGS.FORSTERKET VEGOPPMERKING.10736;EGS.DEKKETYPE.5077;EGS.FØREFORHOLD.5078;EGS.VÆRFORHOLD.5079;EGS.LYSFORHOLD.5080;EGS.KJØREFELTTYPE.5081;EGS.ANTALL KJØREFELT (STK).5082;EGS.TETTSTED.5083;EGS.VEGBREDDE (M).5084;EGS.FARTSGRENSE (KM/H).5085;EGS.VINTERDRIFTSKLASSE (NY).11899;EGS.TEMPERATUR (ºC).5086;EGS.HISTORISK VEGSTATUS.5163;EGS.HISTORISK VEGKATEGORI.5115;EGS.HISTORISK VEGNUMMER.5116;EGS.HISTORISK HP.5117;EGS.HISTORISK KILOMETERVERDI.5118;EGS.STEDFESTINGENS NØYAKTIGHET.5120;EGS.GEOMETRI, PUNKT.5123;EGS.REGULERING GANGFELT (NY).11904;EGS.REGULERING VEGKRYSS (NY).11905;EGS.UID (NY).11906;EGS.UKEDAGSTYPE (NY).11907;EGS.ULYKKESTYPE (NY).11908;EGS.ULYKKESTYPE UNDERKATEGORI (NY).11909;EGS.ÅR (NY).11910;EGS.ANTALL ANDRE ENHETER (NY) (STK).11911;EGS.ANTALL BUSS (NY) (STK).11912;EGS.ANTALL FOTGJENGERE (NY) (STK).11913;EGS.ANTALL LASTEBIL (NY) (STK).11914;EGS.ANTALL LETT MC (NY) (STK).11915;EGS.ANTALL MC (NY) (STK).11916;EGS.ANTALL MOPED (NY) (STK).11917;EGS.ANTALL PERSONBIL (NY) (STK).11918;EGS.ANTALL SKINNEGÅENDE MATERIELL (NY) (STK).11919;EGS.ANTALL LITEN ELEKTRISK MOTORVOGN (STK).12625;EGS.ANTALL SYKKEL (NY) (STK).11920;EGS.ANTALL TRAKTOR (NY) (STK).11921;EGS.ANTALL UKJENTE ENHETER (NY) (STK).11922;EGS.ANTALL VAREBIL (NY) (STK).11923;EGS.ÅDT (NY).11924;EGS.ATK, INFLUENSSTREKNING (NY).11925;EGS.FARTSDEMPENDE TILTAK (NY).11926;EGS.MC-SKINNE (NY).11927;EGS.VEGBELYSNING (NY).11928;EGS.FYLKENAVN (NY).11900;EGS.FYLKENUMMER (NY).11901;EGS.KOMMUNENAVN (NY).11902;EGS.KOMMUNENUMMER (NY).11903;EGS.HISTORISK VEGFASE (NY).11937;EGS.HISTORISK TRAFIKANTGRUPPE (NY).11935;EGS.HISTORISK ARM (NY).11929;EGS.HISTORISK VEGSTREKNING (NY).11938;EGS.HISTORISK VEGDELSTREKNING (NY).11936;EGS.HISTORISK METERVERDI (NY).11932;EGS.HISTORISK KRYSSDEL (NY).11930;EGS.HISTORISK KRYSSDEL METERVERDI (NY).11931;EGS.HISTORISK SIDEANLEGGSDEL (NY).11933;EGS.HISTORISK SIDEANLEGGSDEL METERVERDI (NY).11934;LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;LOK.FYLKESNUMMER;LOK.RIKSVEGRUTE;LOK.KONTRAKTSOMRÅDE;VSR.VEGSYSTEMREFERANSE;VSR.VEGKATEGORI;VSR.FASE;VSR.VEGNUMMER;VSR.STREKNING;VSR.DELSTREKNING;VSR.FRA_METER;VSR.TIL_METER;LOK.VEGLENKESEKVENSID;LOK.STARTPOSISJON;LOK.SLUTTPOSISJON;LOK.RETNING;LOK.SIDEPOSISJON;LOK.KJØREFELT;LOK.TYPEVEG;LOK.LENGDE;REL.FORELDER;REL.BARN;GEOMETRI_1;GEOMETRI_2
1024071668;570;1;1;;04.05.2024;;2025-06-06T12:03:14;;04.05.2024;15:35:00;Lørdag;5;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;6,1;80;Vinterdriftsklasse D;24;;Fylkesveg;314;;;;POINT (233776 6602116);Ikke gangfelt;Ikke i vegkryss;UID1466800774;Helgedøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2024;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1400;Nei;Nei;;Nei;Vestfold;39;Holmestrand;3903;V;K;Nei;1;1;1322;;;;;Holmestrand;3903;Vestfold;39;;3801 Vestfold nord 2021-2026,3820 Elektro øst 2021-2025,3850 Grønt Vestfold nord 2022-2026,3920 Elektro Vestfold 2025-2030;FV314 S1D1 m1322;Fylkesveg;Eksisterende;314;1;1;1321,694;1321,694;1175859;0,13255737;0,13255737;;;;enkelBilveg;0;;571:1024071672;233775,125;6602110,482
1024071669;570;1;1;;18.06.2024;;2025-06-06T12:03:14;;18.06.2024;19:46:00;Tirsdag;6;Venstresving foran kjørende i motsatt retning;2;;;;;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;5,7;80;Vinterdriftsklasse D;18;;Fylkesveg;2968;;;;POINT (211088 6554056);Ikke gangfelt;Vikepliktsregulert kryss (skilt 202, 204, 210);UID4770962177;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2024;0;0;0;0;0;0;0;2;0;0;0;0;0;0;792;Nei;Nei;;Nei;Vestfold;39;Larvik;3909;V;K;Nei;1;1;6138;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV2968 S1D1 m6138;Fylkesveg;Eksisterende;2968;1;1;6137,858;6137,858;1175595;1;1;;;;enkelBilveg;0;;571:1024071670,571:1024071671;211084,5;6554058,1
1024071701;570;1;1;;11.05.2024;;2025-06-06T12:03:14;;11.05.2024;16:40:00;Lørdag;5;Påkjøring bakfra;2;;;;;Motorveg;Tunnel (primært for motorkjøretøy);Ja;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;4;Ikke tettsted;16,8;110;Vinterdriftsklasse A;;;Europaveg;18;;;;POINT (237367 6587643);Ikke gangfelt;Ikke i vegkryss;UID2023970446;Helgedøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2024;0;0;0;0;0;0;0;1;0;0;0;0;0;1;31664;Nei;Nei;;Ja;Vestfold;39;Tønsberg;3905;V;K;Nei;39;1;4450;;;;;Tønsberg;3905;Vestfold;39;RUTE3;9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025;EV18 S39D1 m4450;Europaveg;Eksisterende;18;39;1;4449,852;4449,852;1669517;0,46228353;0,46228353;;;;kanalisertVeg;0;;571:1024071703,571:1024071705;237369,513;6587638,711
1024071728;570;1;1;;10.06.2024;;2025-06-06T12:03:51;;10.06.2024;15:56:00;Mandag;6;Enslig kjøretøy veltet i kjørebanen;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;5,6;60;Vinterdriftsklasse D;22;;Fylkesveg;3172;;;;POINT (225675 6584271);Ikke gangfelt;Ikke i vegkryss;UID6689721345;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2024;0;0;0;0;0;0;1;0;0;0;0;0;0;0;500;Nei;Nei;;Nei;Vestfold;39;Sandefjord;3907;V;K;Nei;1;1;7461;;;;;Sandefjord;3907;Vestfold;39;;3801 Vestfold nord 2021-2026,3820 Elektro øst 2021-2025,3850 Grønt Vestfold nord 2022-2026,3920 Elektro Vestfold 2025-2030;FV3172 S1D1 m7461;Fylkesveg;Eksisterende;3172;1;1;7460,778;7460,778;1175744;0,9639893;0,9639893;;;;enkelBilveg;0;;571:1024071729;225674,667;6584269,18
1024071793;570;1;1;;13.05.2024;;2025-06-06T12:03:51;;13.05.2024;14:07:00;Mandag;5;Påkjøring bakfra;2;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;6,7;60;;20;;Fylkesveg;301;;;;POINT (214696 6551898);Ikke gangfelt;Ikke i vegkryss;UID8459094877;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2024;0;0;0;0;1;0;0;1;0;0;0;0;0;0;7400;Nei;Nei;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;2;1;1042;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV301 S2D1 m1042;Fylkesveg;Eksisterende;301;2;1;1041,683;1041,683;1175835;0,08231097;0,08231097;;;;enkelBilveg;0;;571:1024071795,571:1024071797;214693,794;6551897,778
1024071867;570;1;1;;12.06.2024;;2025-06-06T12:04:20;;12.06.2024;18:00:00;Onsdag;6;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;6,6;80;Vinterdriftsklasse D;18;;Fylkesveg;304;;;;POINT (219556 6569188);Ukjent;Ikke i vegkryss;UID2373685476;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2024;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1000;Nei;Nei;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;1;1;6795;;;;;Larvik;3909;Vestfold;39;;3803 Vestfold syd 2022-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV304 S1D1 m6795;Fylkesveg;Eksisterende;304;1;1;6794,708;6794,708;1175522;0,79703834;0,79703834;;;;enkelBilveg;0;;571:1024071868;219556,573;6569187,52
1024071943;570;1;1;;11.06.2024;;2025-06-06T12:04:48;;11.06.2024;08:08:00;Tirsdag;6;Kjørende fra fortau eller G/S-veg krysset kjørebanen på hitsiden av krysset;2;;;;;Gang- / sykkelveg;Avkjørsel;;Ukjent;Ukjent;Ukjent;God sikt, opphold;Dagslys;Vanlig kjørefelt;;Tettsted;;50;;;;Kommunal veg;3202;;;;POINT (244186 6596024);Gangfelt i kryss;Uregulert kryss, generell høyreregel (uten skilting);UID9039994640;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2024;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;Nei;Ja;;Nei;Vestfold;39;Horten;3901;V;G;Nei;1;110;423;;;;;Horten;3901;Vestfold;39;;;KV3202 S1D110 m423;Kommunal veg;Eksisterende;3202;1;110;423,237;423,237;2664191;0,62183244;0,62183244;;;;gangOgSykkelveg;0;;571:1024071944,571:1024071946;244184,661;6596025,008
1024071966;570;1;1;;13.06.2024;;2025-06-06T12:04:48;;13.06.2024;21:58:00;Torsdag;6;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;5,5;50;Vinterdriftsklasse D;15;;Fylkesveg;2978;;;;POINT (213668 6552980);Ikke gangfelt;Ikke i vegkryss;UID1805753676;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2024;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1100;Nei;Nei;;Nei;Vestfold;39;Larvik;3909;V;K;Nei;1;1;423;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV2978 S1D1 m423;Fylkesveg;Eksisterende;2978;1;1;422,789;422,789;1175600;0,21485704;0,21485704;;;;enkelBilveg;0;;571:1024071967;213673,03;6552987,358
1024072188;570;1;1;;22.06.2024;;2025-06-06T12:05:53;;22.06.2024;11:00:00;Lørdag;6;Enslig kjøretøy veltet i kjørebanen;1;;;;;Vanlig veg/gate;Rundkjøring;Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;3;Ikke tettsted;;60;Vinterdriftsklasse A;15;;Fylkesveg;308;;;;POINT (237934 6580443);Ikke gangfelt;Ukjent;UID4361688458;Helgedøgn;Andre ulykker;Andre ulykker(parkering o.l);2024;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;Nei;Nei;;Nei;Vestfold;39;Tønsberg;3905;V;K;Nei;2;1;1251;1;25;;;Tønsberg;3905;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3902 Vestfold øst vei 2025-2030,3952 Grønt Vestfold øst 2025-2030,3920 Elektro Vestfold 2025-2030;FV308 S2D1 m1251 KD1 m26;Fylkesveg;Eksisterende;308;2;1;25,9;25,9;1672112;0,22228876;0,22228876;;;;rundkjøring;0;;571:1024072189;237933,349;6580443,351
1024072191;570;1;1;;21.06.2024;;2025-06-06T12:05:53;;21.06.2024;14:10:00;Fredag;6;Venstresving foran kjørende i motsatt retning;2;;;;;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;16,3;80;Vinterdriftsklasse A;20;;Riksveg;19;;;;POINT (239660 6591342);Ukjent;Vikepliktsregulert kryss (skilt 202, 204, 210);UID2909075073;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2024;0;0;0;0;0;0;0;2;0;0;0;0;0;0;12000;Nei;Nei;;Ja;Vestfold;39;Horten;3901;V;K;Nei;4;1;5990;;;;;Horten;3901;Vestfold;39;RUTE3;9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025;RV19 S4D1 m5990;Riksveg;Eksisterende;19;4;1;5989,506;5989,506;1827265;0,98979857;0,98979857;;;;kanalisertVeg;0;;571:1024072162,571:1024072192;239665,79;6591335,3
