OBJ_VEGOBJEKT_ID;OBJ_TYPE_ID;OBJ_VERSJON;MET_FØRSTE_FOREKOMST;OBJ_STARTDATO;OBJ_SLUTTDATO;OBJ_SIST_MODIFISERT;EGS_ALVORLIGHETSGRAD_5074;EGS_ULYKKESDATO_5055;EGS_ULYKKESKLOKKESLETT_5056;EGS_UKEDAG_5054;EGS_MÅNED__NY__11898;EGS_ULYKKESKODE_5066;EGS_ANTALL_ENHETER__STK__5069;EGS_ANTALL_DREPTE_I_ULYKKEN__STK__5070;EGS_ANTALL_MEGET_ALVORLIG_SKADET__STK__5071;EGS_ANTALL_ALVORLIG_SKADET__STK__5072;EGS_ANTALL_LETTERE_SKADET__STK__5073;EGS_VEGTYPE_5075;EGS_STEDSFORHOLD_5076;EGS_FYSISK_MIDTDELER_MIDTREKKVERK_5758;EGS_FORSTERKET_VEGOPPMERKING_10736;EGS_DEKKETYPE_5077;EGS_FØREFORHOLD_5078;EGS_VÆRFORHOLD_5079;EGS_LYSFORHOLD_5080;EGS_KJØREFELTTYPE_5081;EGS_ANTALL_KJØREFELT__STK__5082;EGS_TETTSTED_5083;EGS_VEGBREDDE__M__5084;EGS_FARTSGRENSE__KM_H__5085;EGS_VINTERDRIFTSKLASSE__NY__11899;EGS_TEMPERATUR__ºC__5086;EGS_HISTORISK_VEGSTATUS_5163;EGS_HISTORISK_VEGKATEGORI_5115;EGS_HISTORISK_VEGNUMMER_5116;EGS_HISTORISK_HP_5117;EGS_HISTORISK_KILOMETERVERDI_5118;EGS_STEDFESTINGENS_NØYAKTIGHET_5120;EGS_GEOMETRI__PUNKT_5123;EGS_REGULERING_GANGFELT__NY__11904;EGS_REGULERING_VEGKRYSS__NY__11905;EGS_UID__NY__11906;EGS_UKEDAGSTYPE__NY__11907;EGS_ULYKKESTYPE__NY__11908;EGS_ULYKKESTYPE_UNDERKATEGORI__NY__11909;EGS_ÅR__NY__11910;EGS_ANTALL_ANDRE_ENHETER__NY___STK__11911;EGS_ANTALL_BUSS__NY___STK__11912;EGS_ANTALL_FOTGJENGERE__NY___STK__11913;EGS_ANTALL_LASTEBIL__NY___STK__11914;EGS_ANTALL_LETT_MC__NY___STK__11915;EGS_ANTALL_MC__NY___STK__11916;EGS_ANTALL_MOPED__NY___STK__11917;EGS_ANTALL_PERSONBIL__NY___STK__11918;EGS_ANTALL_SKINNEGÅENDE_MATERIELL__NY___STK__11919;EGS_ANTALL_LITEN_ELEKTRISK_MOTORVOGN__STK__12625;EGS_ANTALL_SYKKEL__NY___STK__11920;EGS_ANTALL_TRAKTOR__NY___STK__11921;EGS_ANTALL_UKJENTE_ENHETER__NY___STK__11922;EGS_ANTALL_VAREBIL__NY___STK__11923;EGS_ÅDT__NY__11924;EGS_ATK__INFLUENSSTREKNING__NY__11925;EGS_FARTSDEMPENDE_TILTAK__NY__11926;EGS_MC_SKINNE__NY__11927;EGS_VEGBELYSNING__NY__11928;EGS_FYLKENAVN__NY__11900;EGS_FYLKENUMMER__NY__11901;EGS_KOMMUNENAVN__NY__11902;EGS_KOMMUNENUMMER__NY__11903;EGS_HISTORISK_VEGFASE__NY__11937;EGS_HISTORISK_TRAFIKANTGRUPPE__NY__11935;EGS_HISTORISK_ARM__NY__11929;EGS_HISTORISK_VEGSTREKNING__NY__11938;EGS_HISTORISK_VEGDELSTREKNING__NY__11936;EGS_HISTORISK_METERVERDI__NY__11932;EGS_HISTORISK_KRYSSDEL__NY__11930;EGS_HISTORISK_KRYSSDEL_METERVERDI__NY__11931;EGS_HISTORISK_SIDEANLEGGSDEL__NY__11933;EGS_HISTORISK_SIDEANLEGGSDEL_METERVERDI__NY__11934;LOK_KOMMUNE;LOK_KOMMUNENUMMER;LOK_FYLKE;LOK_FYLKESNUMMER;LOK_RIKSVEGRUTE;LOK_KONTRAKTSOMRÅDE;VSR_VEGSYSTEMREFERANSE;VSR_VEGKATEGORI;VSR_FASE;VSR_VEGNUMMER;VSR_STREKNING;VSR_DELSTREKNING;VSR_FRA_METER;VSR_TIL_METER;LOK_VEGLENKESEKVENSID;LOK_STARTPOSISJON;LOK_SLUTTPOSISJON;LOK_RETNING;LOK_SIDEPOSISJON;LOK_KJØREFELT;LOK_TYPEVEG;LOK_LENGDE;REL_FORELDER;REL_BARN;GEOMETRI_1;GEOMETRI_2;GEO3;DDLat;DDLon;ORIG_OID
1024071668;570;1;1;04.05.2024;;06.06.2025 12:03;;04.05.2024;15:35:00;Lørdag;5;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;6,100000000000000;80;Vinterdriftsklasse D;24;;Fylkesveg;314;;;;POINT (233776 6602116);Ikke gangfelt;Ikke i vegkryss;UID1466800774;Helgedøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2024;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1400;Nei;Nei;;Nei;Vestfold;39;Holmestrand;3903;V;K;Nei;1;1;1322;;;;;Holmestrand;3903;Vestfold;39;;3801 Vestfold nord 2021-2026,3820 Elektro øst 2021-2025,3850 Grønt Vestfold nord 2022-2026,3920 Elektro Vestfold 2025-2030;FV314 S1D1 m1322;Fylkesveg;Eksisterende;314;1;1;1321,693999999999960;1321,693999999999960;1175859;0,13255737;0,13255737;;;;enkelBilveg;0;;571:1024071672;233775,125000000000000;6602110,481999999843538;;59,47274891N;010,29903930E;1
1024071669;570;1;1;18.06.2024;;06.06.2025 12:03;;18.06.2024;19:46:00;Tirsdag;6;Venstresving foran kjørende i motsatt retning;2;;;;;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;5,700000000000000;80;Vinterdriftsklasse D;18;;Fylkesveg;2968;;;;POINT (211088 6554056);Ikke gangfelt;Vikepliktsregulert kryss (skilt 202, 204, 210);UID4770962177;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2024;0;0;0;0;0;0;0;2;0;0;0;0;0;0;792;Nei;Nei;;Nei;Vestfold;39;Larvik;3909;V;K;Nei;1;1;6138;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV2968 S1D1 m6138;Fylkesveg;Eksisterende;2968;1;1;6137,858000000000175;6137,858000000000175;1175595;1,000000000000000;1,000000000000000;;;;enkelBilveg;0;;571:1024071670,571:1024071671;211084,500000000000000;6554058,099999999627471;;59,02791899N;009,96408378E;2
1024071701;570;1;1;11.05.2024;;06.06.2025 12:03;;11.05.2024;16:40:00;Lørdag;5;Påkjøring bakfra;2;;;;;Motorveg;Tunnel (primært for motorkjøretøy);Ja;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;4;Ikke tettsted;16,800000000000001;110;Vinterdriftsklasse A;;;Europaveg;18;;;;POINT (237367 6587643);Ikke gangfelt;Ikke i vegkryss;UID2023970446;Helgedøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2024;0;0;0;0;0;0;0;1;0;0;0;0;0;1;31664;Nei;Nei;;Ja;Vestfold;39;Tønsberg;3905;V;K;Nei;39;1;4450;;;;;Tønsberg;3905;Vestfold;39;RUTE3;9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025;EV18 S39D1 m4450;Europaveg;Eksisterende;18;39;1;4449,851999999999862;4449,851999999999862;1669517;0,46228353;0,46228353;;;;kanalisertVeg;0;;571:1024071703,571:1024071705;237369,513000000006286;6587638,711000000126660;;59,34547877N;010,37997566E;3
1024071728;570;1;1;10.06.2024;;06.06.2025 12:03;;10.06.2024;15:56:00;Mandag;6;Enslig kjøretøy veltet i kjørebanen;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;5,600000000000000;60;Vinterdriftsklasse D;22;;Fylkesveg;3172;;;;POINT (225675 6584271);Ikke gangfelt;Ikke i vegkryss;UID6689721345;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2024;0;0;0;0;0;0;1;0;0;0;0;0;0;0;500;Nei;Nei;;Nei;Vestfold;39;Sandefjord;3907;V;K;Nei;1;1;7461;;;;;Sandefjord;3907;Vestfold;39;;3801 Vestfold nord 2021-2026,3820 Elektro øst 2021-2025,3850 Grønt Vestfold nord 2022-2026,3920 Elektro Vestfold 2025-2030;FV3172 S1D1 m7461;Fylkesveg;Eksisterende;3172;1;1;7460,778000000000247;7460,778000000000247;1175744;0,9639893;0,9639893;;;;enkelBilveg;0;;571:1024071729;225674,666999999986729;6584269,179999999701977;;59,30788906N;010,17935638E;4
1024071793;570;1;1;13.05.2024;;06.06.2025 12:03;;13.05.2024;14:07:00;Mandag;5;Påkjøring bakfra;2;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;6,700000000000000;60;;20;;Fylkesveg;301;;;;POINT (214696 6551898);Ikke gangfelt;Ikke i vegkryss;UID8459094877;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2024;0;0;0;0;1;0;0;1;0;0;0;0;0;0;7400;Nei;Nei;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;2;1;1042;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV301 S2D1 m1042;Fylkesveg;Eksisterende;301;2;1;1041,682999999999993;1041,682999999999993;1175835;0,08231097;0,08231097;;;;enkelBilveg;0;;571:1024071795,571:1024071797;214693,793999999994412;6551897,777999999932945;;59,01101549N;010,02951519E;5
1024071867;570;1;1;12.06.2024;;06.06.2025 12:04;;12.06.2024;18:00:00;Onsdag;6;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;6,600000000000000;80;Vinterdriftsklasse D;18;;Fylkesveg;304;;;;POINT (219556 6569188);Ukjent;Ikke i vegkryss;UID2373685476;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2024;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1000;Nei;Nei;;Ja;Vestfold;39;Larvik;3909;V;K;Nei;1;1;6795;;;;;Larvik;3909;Vestfold;39;;3803 Vestfold syd 2022-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV304 S1D1 m6795;Fylkesveg;Eksisterende;304;1;1;6794,707999999999629;6794,707999999999629;1175522;0,79703834;0,79703834;;;;enkelBilveg;0;;571:1024071868;219556,573000000003958;6569187,519999999552965;;59,16893554N;010,09177219E;6
1024071943;570;1;1;11.06.2024;;06.06.2025 12:04;;11.06.2024;08:08:00;Tirsdag;6;Kjørende fra fortau eller G/S-veg krysset kjørebanen på hitsiden av krysset;2;;;;;Gang- / sykkelveg;Avkjørsel;;Ukjent;Ukjent;Ukjent;God sikt, opphold;Dagslys;Vanlig kjørefelt;;Tettsted;;50;;;;Kommunal veg;3202;;;;POINT (244186 6596024);Gangfelt i kryss;Uregulert kryss, generell høyreregel (uten skilting);UID9039994640;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2024;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;Nei;Ja;;Nei;Vestfold;39;Horten;3901;V;G;Nei;1;110;423;;;;;Horten;3901;Vestfold;39;;;KV3202 S1D110 m423;Kommunal veg;Eksisterende;3202;1;110;423,237000000000023;423,237000000000023;2664191;0,62183244;0,62183244;;;;gangOgSykkelveg;0;;571:1024071944,571:1024071946;244184,660999999992782;6596025,008000000379980;;59,42474188N;010,48944779E;7
1024071966;570;1;1;13.06.2024;;06.06.2025 12:04;;13.06.2024;21:58:00;Torsdag;6;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;;;;;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;5,500000000000000;50;Vinterdriftsklasse D;15;;Fylkesveg;2978;;;;POINT (213668 6552980);Ikke gangfelt;Ikke i vegkryss;UID1805753676;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2024;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1100;Nei;Nei;;Nei;Vestfold;39;Larvik;3909;V;K;Nei;1;1;423;;;;;Larvik;3909;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3903 Vestfold syd vei 2025-2030,3953 Grønt Vestfold syd 2025-2030,3920 Elektro Vestfold 2025-2030;FV2978 S1D1 m423;Fylkesveg;Eksisterende;2978;1;1;422,788999999999987;422,788999999999987;1175600;0,21485704;0,21485704;;;;enkelBilveg;0;;571:1024071967;213673,029999999998836;6552987,358000000007451;;59,02008141N;010,01039511E;8
1024072188;570;1;1;22.06.2024;;06.06.2025 12:05;;22.06.2024;11:00:00;Lørdag;6;Enslig kjøretøy veltet i kjørebanen;1;;;;;Vanlig veg/gate;Rundkjøring;Nei;Ukjent;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;3;Ikke tettsted;;60;Vinterdriftsklasse A;15;;Fylkesveg;308;;;;POINT (237934 6580443);Ikke gangfelt;Ukjent;UID4361688458;Helgedøgn;Andre ulykker;Andre ulykker(parkering o.l);2024;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;Nei;Nei;;Nei;Vestfold;39;Tønsberg;3905;V;K;Nei;2;1;1251;1;25;;;Tønsberg;3905;Vestfold;39;;0701 Vestfold øst 2019-2025,3820 Elektro øst 2021-2025,3902 Vestfold øst vei 2025-2030,3952 Grønt Vestfold øst 2025-2030,3920 Elektro Vestfold 2025-2030;FV308 S2D1 m1251 KD1 m26;Fylkesveg;Eksisterende;308;2;1;25,899999999999999;25,899999999999999;1672112;0,22228876;0,22228876;;;;rundkjøring;0;;571:1024072189;237933,348999999987427;6580443,350999999791384;;59,28142216N;010,39858508E;9
1024072191;570;1;1;21.06.2024;;06.06.2025 12:05;;21.06.2024;14:10:00;Fredag;6;Venstresving foran kjørende i motsatt retning;2;;;;;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Nei;Ukjent;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;Ikke tettsted;16,300000000000001;80;Vinterdriftsklasse A;20;;Riksveg;19;;;;POINT (239660 6591342);Ukjent;Vikepliktsregulert kryss (skilt 202, 204, 210);UID2909075073;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2024;0;0;0;0;0;0;0;2;0;0;0;0;0;0;12000;Nei;Nei;;Ja;Vestfold;39;Horten;3901;V;K;Nei;4;1;5990;;;;;Horten;3901;Vestfold;39;RUTE3;9201 Vestfold og Telemark øst 2023-2028,9254 Vestfold og Telemark Øst Elektro 2023-2028,Vegoppmerking Sør 2023-2025;RV19 S4D1 m5990;Riksveg;Eksisterende;19;4;1;5989,506000000000313;5989,506000000000313;1827265;0,98979857;0,98979857;;;;kanalisertVeg;0;;571:1024072162,571:1024072192;239665,790000000008149;6591335,299999999813735;;59,37999117N;010,41575022E;10
