Kommune	Period	År	Måned	Antall
Drammen	2023/01	2023	1	10 548
Færder	2023/01	2023	1	97 510
Holmestrand	2023/01	2023	1	70 025
Horten	2023/01	2023	1	96 451
Larvik	2023/01	2023	1	127 054
Sandefjord	2023/01	2023	1	166 991
Tønsberg	2023/01	2023	1	368 856
Drammen	2023/02	2023	2	9 686
Færder	2023/02	2023	2	83 955
Holmestrand	2023/02	2023	2	55 370
Horten	2023/02	2023	2	85 868
Larvik	2023/02	2023	2	111 199
Sandefjord	2023/02	2023	2	138 446
Tønsberg	2023/02	2023	2	311 712
Drammen	2023/03	2023	3	11 859
Færder	2023/03	2023	3	104 422
Holmestrand	2023/03	2023	3	76 846
Horten	2023/03	2023	3	105 018
Larvik	2023/03	2023	3	141 910
Sandefjord	2023/03	2023	3	175 493
Tønsberg	2023/03	2023	3	389 404
Drammen	2023/04	2023	4	9 328
Færder	2023/04	2023	4	79 418
Holmestrand	2023/04	2023	4	50 321
Horten	2023/04	2023	4	75 088
Larvik	2023/04	2023	4	97 574
Sandefjord	2023/04	2023	4	114 179
Tønsberg	2023/04	2023	4	278 514
Drammen	2023/05	2023	5	10 495
Færder	2023/05	2023	5	88 783
Holmestrand	2023/05	2023	5	56 953
Horten	2023/05	2023	5	81 339
Larvik	2023/05	2023	5	106 589
Sandefjord	2023/05	2023	5	122 786
Tønsberg	2023/05	2023	5	313 271
Drammen	2023/06	2023	6	9 424
Færder	2023/06	2023	6	82 017
Holmestrand	2023/06	2023	6	42 832
Horten	2023/06	2023	6	70 261
Larvik	2023/06	2023	6	95 206
Sandefjord	2023/06	2023	6	102 112
Tønsberg	2023/06	2023	6	285 854
Drammen	2023/07	2023	7	6 408
Færder	2023/07	2023	7	58 956
Holmestrand	2023/07	2023	7	17 433
Horten	2023/07	2023	7	44 811
Larvik	2023/07	2023	7	70 154
Sandefjord	2023/07	2023	7	66 023
Tønsberg	2023/07	2023	7	183 643
Drammen	2023/08	2023	8	9 670
Færder	2023/08	2023	8	76 774
Holmestrand	2023/08	2023	8	42 728
Horten	2023/08	2023	8	76 049
Larvik	2023/08	2023	8	90 012
Sandefjord	2023/08	2023	8	104 017
Tønsberg	2023/08	2023	8	274 450
Drammen	2023/09	2023	9	12 159
Færder	2023/09	2023	9	99 756
Holmestrand	2023/09	2023	9	72 412
Horten	2023/09	2023	9	93 627
Larvik	2023/09	2023	9	123 160
Sandefjord	2023/09	2023	9	146 209
Tønsberg	2023/09	2023	9	358 676
Drammen	2023/10	2023	10	11 591
Færder	2023/10	2023	10	93 128
Holmestrand	2023/10	2023	10	66 502
Horten	2023/10	2023	10	88 759
Larvik	2023/10	2023	10	114 372
Sandefjord	2023/10	2023	10	143 505
Tønsberg	2023/10	2023	10	341 269
Drammen	2023/11	2023	11	11 786
Færder	2023/11	2023	11	106 027
Holmestrand	2023/11	2023	11	77 670
Horten	2023/11	2023	11	99 223
Larvik	2023/11	2023	11	137 281
Sandefjord	2023/11	2023	11	177 139
Tønsberg	2023/11	2023	11	391 617
Drammen	2023/12	2023	12	8 910
Færder	2023/12	2023	12	82 319
Holmestrand	2023/12	2023	12	56 111
Horten	2023/12	2023	12	74 812
Larvik	2023/12	2023	12	104 831
Sandefjord	2023/12	2023	12	135 603
Tønsberg	2023/12	2023	12	309 688
Drammen	2022/01	2022	1	10 107
Færder	2022/01	2022	1	75 101
Holmestrand	2022/01	2022	1	55 247
Horten	2022/01	2022	1	68 225
Larvik	2022/01	2022	1	100 740
Sandefjord	2022/01	2022	1	127 891
Tønsberg	2022/01	2022	1	264 158
Drammen	2022/02	2022	2	10 619
Færder	2022/02	2022	2	68 061
Holmestrand	2022/02	2022	2	47 287
Horten	2022/02	2022	2	65 262
Larvik	2022/02	2022	2	83 309
Sandefjord	2022/02	2022	2	112 716
Tønsberg	2022/02	2022	2	242 417
Drammen	2022/03	2022	3	12 103
Færder	2022/03	2022	3	93 538
Holmestrand	2022/03	2022	3	71 588
Horten	2022/03	2022	3	89 648
Larvik	2022/03	2022	3	117 631
Sandefjord	2022/03	2022	3	153 436
Tønsberg	2022/03	2022	3	330 545
Drammen	2022/04	2022	4	9 528
Færder	2022/04	2022	4	68 734
Holmestrand	2022/04	2022	4	45 782
Horten	2022/04	2022	4	62 936
Larvik	2022/04	2022	4	82 837
Sandefjord	2022/04	2022	4	102 873
Tønsberg	2022/04	2022	4	234 764
Drammen	2022/05	2022	5	9 560
Færder	2022/05	2022	5	76 938
Holmestrand	2022/05	2022	5	50 757
Horten	2022/05	2022	5	68 884
Larvik	2022/05	2022	5	93 525
Sandefjord	2022/05	2022	5	113 351
Tønsberg	2022/05	2022	5	269 739
Drammen	2022/06	2022	6	9 895
Færder	2022/06	2022	6	79 896
Holmestrand	2022/06	2022	6	41 248
Horten	2022/06	2022	6	67 751
Larvik	2022/06	2022	6	88 643
Sandefjord	2022/06	2022	6	99 629
Tønsberg	2022/06	2022	6	268 440
Drammen	2022/07	2022	7	6 693
Færder	2022/07	2022	7	56 559
Holmestrand	2022/07	2022	7	15 664
Horten	2022/07	2022	7	43 871
Larvik	2022/07	2022	7	64 065
Sandefjord	2022/07	2022	7	60 875
Tønsberg	2022/07	2022	7	171 478
Drammen	2022/08	2022	8	10 171
Færder	2022/08	2022	8	75 320
Holmestrand	2022/08	2022	8	43 117
Horten	2022/08	2022	8	72 905
Larvik	2022/08	2022	8	84 737
Sandefjord	2022/08	2022	8	100 651
Tønsberg	2022/08	2022	8	257 799
Drammen	2022/09	2022	9	12 020
Færder	2022/09	2022	9	91 967
Holmestrand	2022/09	2022	9	67 830
Horten	2022/09	2022	9	88 503
Larvik	2022/09	2022	9	114 018
Sandefjord	2022/09	2022	9	137 003
Tønsberg	2022/09	2022	9	325 821
Drammen	2022/10	2022	10	11 986
Færder	2022/10	2022	10	90 775
Holmestrand	2022/10	2022	10	62 442
Horten	2022/10	2022	10	90 509
Larvik	2022/10	2022	10	110 398
Sandefjord	2022/10	2022	10	139 431
Tønsberg	2022/10	2022	10	328 694
Drammen	2022/11	2022	11	11 291
Færder	2022/11	2022	11	101 192
Holmestrand	2022/11	2022	11	73 440
Horten	2022/11	2022	11	95 919
Larvik	2022/11	2022	11	127 572
Sandefjord	2022/11	2022	11	167 124
Tønsberg	2022/11	2022	11	366 868
Drammen	2022/12	2022	12	8 253
Færder	2022/12	2022	12	75 019
Holmestrand	2022/12	2022	12	50 394
Horten	2022/12	2022	12	69 853
Larvik	2022/12	2022	12	93 940
Sandefjord	2022/12	2022	12	122 970
Tønsberg	2022/12	2022	12	281 924
Drammen	2024/01	2024	1	10 635
Færder	2024/01	2024	1	88 905
Holmestrand	2024/01	2024	1	64 228
Horten	2024/01	2024	1	86 162
Larvik	2024/01	2024	1	112 362
Sandefjord	2024/01	2024	1	146 381
Tønsberg	2024/01	2024	1	332 944
Drammen	2024/02	2024	2	10 250
Færder	2024/02	2024	2	89 333
Holmestrand	2024/02	2024	2	60 795
Horten	2024/02	2024	2	90 154
Larvik	2024/02	2024	2	112 612
Sandefjord	2024/02	2024	2	145 486
Tønsberg	2024/02	2024	2	338 590

