Stop	StopName	Kommunenavn	Lon	Lat	PublicLineNo	Reisende	År
107554	Tønsberg rutebilstasjon 17	Tønsberg	10,412142	59,27018	02	165 692	2023
107538	Tønsberg rutebilstasjon 16	Tønsberg	10,412491	59,26981	02	131 665	2023
107544	Tønsberg rutebilstasjon 6	Tønsberg	10,411902	59,269714	116A	96 984	2023
107548	Tønsberg rutebilstasjon 10	Tønsberg	10,41214	59,269597	130	95 414	2023
105825	Horten rutebilstasjon 2	Horten	10,485758	59,415039	02	90 034	2023
107538	Tønsberg rutebilstasjon 16	Tønsberg	10,412491	59,26981	113B	88 698	2023
107551	Tønsberg rutebilstasjon 13	Tønsberg	10,412318	59,26951	01	88 283	2023
107544	Tønsberg rutebilstasjon 6	Tønsberg	10,411902	59,269714	116B	87 732	2023
107554	Tønsberg rutebilstasjon 17	Tønsberg	10,412142	59,27018	113A	86 172	2023
107554	Tønsberg rutebilstasjon 17	Tønsberg	10,412142	59,27018	113B	85 577	2023
107547	Tønsberg rutebilstasjon 9	Tønsberg	10,41208	59,269626	116A	74 549	2023
107552	Tønsberg rutebilstasjon 14	Tønsberg	10,412377	59,26948	01	69 287	2023
33977	Borgheim	Færder	10,407674	59,225875	02	63 785	2023
107540	Tønsberg rutebilstasjon 2	Tønsberg	10,411665	59,269831	111	57 679	2023
105698	Sandefjord rutebilstasjon 2	Sandefjord	10,222156	59,134422	01	57 077	2023
104982	Larvik sentrumsterminal 3	Larvik	10,029542	59,053889	03	53 967	2023
107538	Tønsberg rutebilstasjon 16	Tønsberg	10,412491	59,26981	113A	53 345	2023
107542	Tønsberg rutebilstasjon 4	Tønsberg	10,411784	59,269772	115	48 502	2023
29303	Drammen busstasjon F	Drammen	10,20093	59,74052	96	45 717	2023
107543	Tønsberg rutebilstasjon 5	Tønsberg	10,411843	59,269743	120	44 822	2023
102458	Holmestrand stasjon 2	Holmestrand	10,312087	59,492495	02	40 208	2023
32738	Horten rutebilstasjon 1	Horten	10,485774	59,415163	71	39 098	2023
105828	Horten rutebilstasjon 5	Horten	10,485638	59,415262	01	37 717	2023
30927	Tønsberg stasjon	Tønsberg	10,410007	59,27144	01	37 154	2023
30495	Torggata	Horten	10,48248	59,41765	02	34 764	2023
