Stop;StopName;Kommunenavn;Lon;Lat;PublicLineNo;Reisende;Year;Month
33333;Kilen øst;Tønsberg;10,430800;59,273626;1656;1,004453;2023;8
33312;Andebu skole;Sandefjord;10,172605;59,305631;1558;85,233667;2023;6
32909;Tønsberg sykehus;Tønsberg;10,417558;59,272913;110;29,230791;2023;2
32221;Sletten;Holmestrand;10,244560;59,503753;1919;2,029373;2023;6
31445;Heimdal;Sandefjord;10,138973;59,363115;1559;1,043957;2023;2
33077;Indre havn;Sandefjord;10,240130;59,128108;1233;13,571439;2023;2
31235;Vear skole;Tønsberg;10,360893;59,260197;1707;136,339733;2023;9
31355;Skjeggerød Kodal;Sandefjord;10,144444;59,203116;1215;10,04453;2023;8
30895;Tårnegården;Horten;10,465848;59,423923;1902;4,175827;2023;2
32460;Stangeby;Færder;10,405928;59,216108;2;192,653971;2023;9
32234;Kleivbrottet;Holmestrand;10,319175;59,478931;47;5,022265;2023;8
32150;Skreppestad;Larvik;10,071220;59,044287;1121;0,948732;2023;5
32626;Fredrik Stangsgate vest;Sandefjord;10,296094;59,223277;1733;1,043957;2023;2
30503;Ramnes Tingvoll;Tønsberg;10,251682;59,347134;121;11,855629;2023;9
33952;Gran Sande;Holmestrand;10,233333;59,603657;97;14,205611;2023;6
31804;Hjertnespromenaden;Sandefjord;10,223849;59,129735;139;25,367163;2023;6
33924;Bommestad;Larvik;10,072145;59,088904;1283;4,99713;2023;4
33376;Dronningens gate;Sandefjord;10,220464;59,132023;138;8,891722;2023;9
33718;Bergan;Larvik;10,009830;59,183275;215;23,736365;2023;4
33986;Borgheim ungdomsskole;Færder;10,406426;59,225812;1552;264,159402;2023;3
31309;Verdens Ende;Færder;10,406384;59,061509;1572;1,033062;2023;12
31151;Hallevannet;Larvik;9,912567;59,017225;1304;18,013267;2023;10
32785;Sundby;Sandefjord;10,285204;59,237915;1159;16,795474;2023;9
31095;Valleåsen;Tønsberg;10,265055;59,364167;1506;2,846196;2023;5
32939;Søndersrød;Larvik;9,870017;58,989053;208;56,217708;2023;4
32416;Sommero;Holmestrand;10,300074;59,493179;45;99,059776;2023;3
32851;Husvik skole;Tønsberg;10,472473;59,258300;115;97,48356;2023;10
31966;Løve bru;Larvik;10,153998;59,063217;1134;0,948732;2023;5
34069;Brekkebakken;Holmestrand;10,256445;59,571200;1823;5,219784;2023;2
31742;Åsenveien;Tønsberg;10,441228;59,275518;118;50,854976;2023;11
32120;Kjelle;Tønsberg;10,403776;59,279683;1504;1,004453;2023;8
33080;Teiehøyden;Færder;10,414790;59,251970;1671;3,747847;2023;4
31094;Sem skole;Tønsberg;10,332746;59,285219;1701;208,791363;2023;2
33684;Ekeberg Lærumveien;Holmestrand;10,234043;59,642752;1832;4,175827;2023;2
33390;Dunihagen;Holmestrand;10,222939;59,582710;96;125,274818;2023;2
30527;Ranvik ungdomsskole;Sandefjord;10,214549;59,116409;1229;37,543401;2023;6
32959;Hvålsåsen;Sandefjord;10,306461;59,215992;1636;12,885825;2023;3
32182;Skånesvingen;Horten;10,394793;59,430687;2;38,405288;2023;1
31246;Vearveien;Tønsberg;10,361258;59,253228;1635;46,057337;2023;11
107553;Tønsberg rutebilstasjon 15;Tønsberg;10,410546;59,270342;1580;323,179193;2023;10
33112;Peder Bogensgate;Sandefjord;10,208726;59,135944;1250;1,004453;2023;8
32456;Stadion;Holmestrand;10,302325;59,484191;42;66,293899;2023;8
33205;Kaldnes;Tønsberg;10,403509;59,263179;116B;1718,619119;2023;8
107360;Gleaveien;Sandefjord;10,322554;59,171868;1258;2,029373;2023;6
30509;Ramnes skole;Tønsberg;10,244603;59,355956;1522;34,499341;2023;6
31682;Lindås;Larvik;9,988308;59,179540;1360;7,031171;2023;8
32773;Sukkeskogen;Sandefjord;10,140362;59,357670;124;18,080154;2023;8
31942;Østli;Larvik;10,049226;59,071391;214;4,017812;2023;8
31958;Holmestrandtoppen;Holmestrand;10,297328;59,488921;46;49,705745;2023;7
32386;Kolberg;Færder;10,410691;59,244594;2;109,766855;2023;7
32591;Stokke ungdomsskole snuplass;Sandefjord;10,276667;59,220078;1654;74,94984;2023;5
32985;Hystad;Sandefjord;10,223095;59,106267;1;209,394648;2023;3
31457;Heimdalkrysset;Tønsberg;10,424320;59,273896;118;125,000482;2023;12
32933;Søbyholmen;Tønsberg;10,289652;59,420891;1182;21,109613;2023;11
31445;Heimdal;Sandefjord;10,138973;59,363115;1564;8,351655;2023;2
33861;Alfred Engnes vei;Holmestrand;10,324872;59,536546;1830;1,610728;2023;3
31967;Løve bru;Larvik;10,154178;59,063115;1135;2,087914;2023;2
33521;Fritzøe Brygge;Larvik;10,020730;59,050435;208;455,453747;2023;9
32716;Stubberød;Larvik;10,060209;59,078984;3;102,307768;2023;2
33248;Kamfjordåsen;Sandefjord;10,254516;59,124048;168;38,381114;2023;11
30988;Undrumsdal kirke;Tønsberg;10,367642;59,371645;1184;159,091523;2023;12
30863;Sagmyra;Sandefjord;10,137902;59,214706;1220;108,676599;2023;9
31367;Havna;Færder;10,406504;59,082631;1572;1,249282;2023;4
32108;Kjeldåstoppen;Holmestrand;10,241320;59,657684;96;4,02682;2023;3
32646;Strand 1;Larvik;9,908161;59,114656;207;23,028668;2023;11
31988;Løveskogen idrettsplass;Larvik;10,135674;59,059936;1135;9,879691;2023;9
30927;Tønsberg stasjon;Tønsberg;10,410007;59,271440;1155;25,687196;2023;9
103559;Solsikken;Holmestrand;10,281977;59,514648;1906;179,810373;2023;9
33391;Dunihagen;Holmestrand;10,222211;59,582853;93;14,497509;2023;7
32909;Tønsberg sykehus;Tønsberg;10,417558;59,272913;118;28,733495;2023;4
32037;Marumveien;Sandefjord;10,206937;59,104850;1234;13,571439;2023;2
32839;Svartsrød;Sandefjord;10,134509;59,208841;1216;36,229189;2023;4
33287;Amundrødveien Fugleveien;Færder;10,387725;59,242639;100;4,797639;2023;11
32499;Krokenskogen Sørvil;Sandefjord;10,184345;59,130924;3;193,824625;2023;11
33287;Amundrødveien Fugleveien;Færder;10,387725;59,242639;116B;26,490098;2023;10
31344;Haukerød;Sandefjord;10,191681;59,147346;150;39,173668;2023;8
33831;Engebukta;Holmestrand;10,273687;59,561541;96;14,230982;2023;5
32346;Solhøy;Horten;10,464073;59,400241;2;1791,429898;2023;2
33048;Tassebekk;Sandefjord;10,240754;59,207473;1161;0,959528;2023;11
33536;From;Sandefjord;10,264097;59,158877;1239;11,514334;2023;11
30516;Ramsum skole;Sandefjord;10,290575;59,239953;1648;179,431707;2023;11
31887;Holm;Larvik;10,114667;59,107299;1361;10,04453;2023;8
32205;Moloveien;Tønsberg;10,492315;59,278558;116B;1128,331397;2023;6
30491;Ramberg;Holmestrand;10,297290;59,500474;1931;1,249282;2023;4
33337;Kilgata;Sandefjord;10,232914;59,127802;1288;3,221456;2023;3
30893;Tårnegården;Horten;10,467506;59,423446;1950;0,805364;2023;3
33221;Agerup;Færder;10,447706;59,185969;113B;244,285895;2023;2
104115;Nyveien;Holmestrand;10,321965;59,481167;45;24,352476;2023;6
30930;Guslandsvingen;Larvik;9,912187;58,990772;1100;2,498565;2023;4
30487;Rakkås;Tønsberg;10,406689;59,321317;2;181,818883;2023;12
32582;Kvelde bil og traktor;Larvik;9,969948;59,201547;214;46,057337;2023;11
32120;Kjelle;Tønsberg;10,403776;59,279683;117;24,852873;2023;7
33585;Bekkestranda kapell;Holmestrand;10,307257;59,541636;93;8,538589;2023;5
32852;Olsrødkrysset;Tønsberg;10,451598;59,274725;116A;1106,226485;2023;10
32386;Kolberg;Færder;10,410691;59,244594;1622;73,076977;2023;2
31426;Langvika;Færder;10,387107;59,116953;22;55,785339;2023;12
31784;Åskollen Gilde;Tønsberg;10,344934;59,296196;1506;3,951876;2023;9
30833;Gudruns vei;Tønsberg;10,457563;59,277608;118;28,651103;2023;9
34067;Brekke Åsgårdstrandveien;Tønsberg;10,483620;59,295436;1170;66,755047;2023;10
31320;Verningen;Larvik;10,101266;59,092013;1366;102,441156;2023;4
32553;Stenmalen;Tønsberg;10,411638;59,275457;21;29,230791;2023;2
31202;Ve;Holmestrand;10,229763;59,564291;94;1,004453;2023;8
30985;Sandskje;Sandefjord;10,311272;59,202828;1239;14,991389;2023;4
31235;Vear skole;Tønsberg;10,360893;59,260197;1708;220,274888;2023;2
32215;Kjøpmannskjær syd;Færder;10,381635;59,169803;1577;9,297557;2023;12
32271;Smørstein;Sandefjord;10,266108;59,090410;168;1,004453;2023;8
32380;Sollisvingen;Færder;10,419921;59,215811;1553;2,029373;2023;6
32357;Myrvang;Sandefjord;10,288087;59,226543;1628;1,897464;2023;5
29630;Sagatun;Drammen;10,249200;59,680500;96;19,923375;2023;5
31791;Lundebakken;Larvik;10,070069;59,031652;210;10,439568;2023;2
31132;Vammen skole;Holmestrand;10,346227;59,535205;1810;3,031996;2023;1
31160;Vardeveien;Larvik;10,034643;59,003253;1102;18,974643;2023;5
33909;Bokerøya;Drammen;10,399201;59,594691;93;1,249282;2023;4
32145;Mileveien;Larvik;10,123746;59,052256;1119;13,429804;2023;12
32234;Kleivbrottet;Holmestrand;10,319175;59,478931;42;8,284291;2023;7
31013;Sandviken;Holmestrand;10,367129;59,538300;93;14,205611;2023;6
33529;Barlin;Holmestrand;10,314462;59,479814;42;18,025911;2023;5
32426;Spellemannsvingen;Larvik;9,858569;58,979955;1308;45,562968;2023;10
31244;Hauan;Sandefjord;10,177795;59,326754;124;29,309299;2023;1
31619;Wingejordet;Holmestrand;10,209657;59,583512;94;11,514334;2023;11
31143;Varden ungdomsskole;Sandefjord;10,255275;59,121459;1269;92,409678;2023;8
33139;Thor Heyerdahl vgs.;Larvik;10,053735;59,050051;1282;306,089383;2023;11
33643;Føyka;Larvik;10,038417;59,048352;1134;4,939845;2023;9
33535;Barlindveien;Tønsberg;10,439455;59,278787;118;13,831567;2023;9
30502;Granly;Horten;10,462088;59,395571;N02;2,071073;2023;7
33925;Gogstadhaugen;Sandefjord;10,253050;59,140222;1202;1,919056;2023;11
32131;Kjelleparken legevakt;Tønsberg;10,397438;59,283292;;5,29802;2023;10
30939;Sandefjord vgs.;Sandefjord;10,203786;59,133438;1285;130,494602;2023;2
102166;Skallevoldveien;Tønsberg;10,495961;59,295175;116A;89,23609;2023;11
32160;Kjæretoppen;Færder;10,407092;59,107361;22;9,040077;2023;8
30863;Sagmyra;Sandefjord;10,137902;59,214706;1257;10,469732;2023;3
33849;Gjøklep ungdomsskole;Holmestrand;10,295658;59,483168;1905;330,199253;2023;3
32832;Svartangveien;Larvik;9,895112;59,334481;1325;11,483525;2023;2
33531;Barlin;Holmestrand;10,313649;59,479627;1905;1,010665;2023;1
33189;Juveveien;Drammen;10,402042;59,617390;1821;0,959528;2023;11
32663;Norenberg;Sandefjord;10,317482;59,228083;129;0,987969;2023;9
30593;Gressbanen;Tønsberg;10,414224;59,282168;2;348,975755;2023;7
33574;Bekke;Holmestrand;10,290742;59,549153;93;9,132179;2023;6
31066;Klokkerjordet;Holmestrand;10,212430;59,588516;96;623,580604;2023;1
33192;Tjøllingvollen;Larvik;10,125323;59,055390;1142;1,059604;2023;10
32206;Moloveien;Tønsberg;10,492413;59,278493;116B;25,687196;2023;9
34077;Brendsrød;Tønsberg;10,311817;59,266953;1;76,101488;2023;6
32866;Omdal;Sandefjord;10,226550;59,235557;1650;3,221456;2023;3
107400;Rødsåsen;Tønsberg;10,370756;59,365151;126;2,021331;2023;1
102694;Horten vgs.;Horten;10,489056;59,420794;1595;20,132474;2023;10
32131;Kjelleparken legevakt;Tønsberg;10,397438;59,283292;117;25,111326;2023;8
30549;Revefaret;Drammen;10,390147;59,628969;1839;3,838111;2023;11
