Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
"Norge,,5 550 203,26 836 534,""4,8"",73 450,1 878 049,34,64 695,1 646 642,30,8 755,231 407,4"
"Østfold,31,312 152,990 100,""3,2"",3 670,88 322,28,3 182,75 952,24,488,12 370,4"
"Akershus,32,728 803,3 061 121,""4,2"",7 372,185 061,25,6 807,173 051,24,565,12 010,2"
Oslo,3,717 710,5 748 792,8,11 811,302 684,42,11 590,295 503,41,221,7 181,1
"Innlandet,34,376 304,1 526 375,""4,1"",5 556,140 657,37,4 895,128 115,34,661,12 542,3"
"Buskerud,33,269 819,1 689 030,""6,3"",4 491,107 952,40,3 977,94 358,35,514,13 594,5"
"Vestfold,39,256 432,1 077 497,""4,2"",2 529,64 111,25,1 959,51 015,20,570,13 096,5"
"Telemark,40,177 093,596 645,""3,4"",1 555,48 230,27,1 371,44 159,25,184,4 071,2"
"Agder,42,319 850,1 424 051,""4,5"",2 636,72 197,23,2 216,60 916,19,420,11 281,4"
"Rogaland,11,499 417,2 874 354,""5,8"",6 617,208 395,42,5 425,179 656,36,1 192,28 739,6"
"Vestland,46,651 299,2 432 422,""3,7"",8 557,198 366,30,7 367,173 213,27,1 190,25 153,4"
"Møre og Romsdal,15,270 624,846 646,""3,1"",3 366,72 326,27,2 921,63 547,23,445,8 779,3"
"Trøndelag,50,482 956,2 310 977,""4,8"",6 673,164 966,34,5 957,142 961,30,716,22 005,5"
"Nordland,18,243 081,1 158 113,""4,8"",4 261,116 449,48,3 520,90 560,37,741,25 889,11"
"Troms,55,169 610,824 932,""4,9"",2 801,76 568,45,2 319,46 861,28,482,29 707,18"
"Finnmark,56,75 053,244 290,""3,3"",1 364,26 645,36,1 042,21 992,29,322,4 653,6"
"Svalbard,21,2 617,31 189,""11,9"",191,5 120,196,147,4 783,183,44,337,13"
300 000 og over,,717 710,5 748 792,8,11 811,302 684,42,11 590,295 503,41,221,7 181,1
"50 000-299 999,,1 945 768,8 910 639,""4,6"",20 207,547 711,28,17 535,468 825,24,2 672,78 886,4"
30 000-49 999,,618 508,2 487 499,4,7 068,200 187,32,6 115,170 439,28,953,29 748,5
20 000-29 999,,710 935,3 524 618,5,8 762,246 168,35,7 473,201 021,28,1 289,45 147,6
"10 000-19 999,,658 525,2 739 236,""4,2"",7 896,208 238,32,6 729,183 413,28,1 167,24 825,4"
"5 000-9 999,,494 557,1 893 925,""3,8"",6 776,163 187,33,5 615,143 606,29,1 161,19 581,4"
2 000-4 999,,310 783,1 235 529,4,7 005,147 121,47,6 147,127 913,41,858,19 208,6
"Under 2000,,96 034,296 296,""3,1"",3 925,62 753,65,3 491,55 922,58,434,6 831,7"
"KOSTRA-gruppe 1,,278 426,916 248,""3,3"",3 648,85 731,31,2 987,74 538,27,661,11 193,4"
"KOSTRA-gruppe 2,,117 630,516 707,""4,4"",1 687,47 263,40,1 348,42 137,36,339,5 126,4"
"KOSTRA-gruppe 3,,48 095,195 557,""4,1"",1 040,26 969,56,899,18 630,39,141,8 339,17"
"KOSTRA-gruppe 4,,149 001,668 691,""4,5"",3 153,64 784,43,2 914,59 610,40,239,5 174,3"
"KOSTRA-gruppe 5,,117 172,500 372,""4,3"",2 140,40 999,35,1 916,38 182,33,224,2 817,2"
KOSTRA-gruppe 6,,88 701,261 807,3,1 587,34 497,39,1 300,29 515,33,287,4 982,6
KOSTRA-gruppe 7,,582 955,2 315 295,4,5 988,151 146,26,5 520,140 768,24,468,10 378,2
"KOSTRA-gruppe 8,,157 869,840 576,""5,3"",3 197,84 290,53,2 487,69 736,44,710,14 554,9"
"KOSTRA-gruppe 9,,658 781,3 187 983,""4,8"",7 741,226 387,34,6 401,179 765,27,1 340,46 622,7"
"KOSTRA-gruppe 10,,493 293,2 014 052,""4,1"",5 561,166 593,34,4 908,142 798,29,653,23 795,5"
"KOSTRA-gruppe 11,,592 198,2 230 772,""3,8"",5 856,162 798,27,4 769,138 336,23,1 087,24 462,4"
"KOSTRA-gruppe 12,,1 448 640,7 073 314,""4,9"",15 590,411 090,28,13 767,352 295,24,1 823,58 795,4"
KOSTRA-gruppe 13,,717 710,5 748 792,8,11 811,302 684,42,11 590,295 503,41,221,7 181,1
"KOSTRA-gruppe 14,,36 309,137 049,""3,8"",1 443,24 709,68,1 329,22 811,63,114,1 898,5"
"KOSTRA-gruppe 15,,45 360,120 685,""2,7"",2 008,31 434,69,1 790,27 943,62,218,3 491,8"
"KOSTRA-gruppe 16,,3 687,14 294,""3,9"",207,2 738,74,166,2 318,63,41,420,11"
"KOSTRA-gruppe 17,,14 376,63 151,""4,4"",602,8 817,61,457,6 974,49,145,1 843,13"
"Halden,3 101,31 935,145 875,""4,6"",439,9 915,31,300,7 643,24,139,2 272,7"
"Moss,3 103,52 051,180 000,""3,5"",673,15 330,29,438,13 410,26,235,1 920,4"
"Sarpsborg,3 105,59 771,89 072,""1,5"",339,8 491,14,310,7 799,13,29,692,1"
"Fredrikstad,3 107,85 230,239 337,""2,8"",788,23 391,27,747,16 626,20,41,6 765,8"
"Hvaler,3 110,4 787,10 509,""2,2"",15,1 680,35,15,1 680,35,,,"
"Råde,3 112,7 883,17 090,""2,2"",26,824,10,25,820,10,1,4,0"
"Våler (Østfold),3 114,6 145,3 890,""0,6"",1,,,1,,,,,"
"Skiptvet,3 116,3 919,12 781,""3,3"",171,2 809,72,153,2 485,63,18,324,8"
"Indre Østfold,3 118,47 006,239 003,""5,1"",994,20 051,43,991,19 948,42,3,103,0"
"Rakkestad,3 120,8 420,26 305,""3,1"",120,3 610,43,100,3 385,40,20,225,3"
"Marker,3 122,3 658,18 508,""5,1"",93,2 071,57,91,2 006,55,2,65,2"
"Aremark,3 124,1 347,7 730,""5,7"",11,150,11,11,150,11,,,"
"Bærum,3 201,130 921,507 509,""3,9"",651,18 736,14,635,17 990,14,16,746,1"
Asker,3 203,98 815,495 292,5,1 395,33 037,33,1 383,32 906,33,12,131,0
"Lillestrøm,3 205,94 201,459 470,""4,9"",1 160,29 446,31,1 053,25 871,27,107,3 575,4"
"Nordre Follo,3 207,63 560,289 794,""4,6"",765,16 792,26,603,14 339,23,162,2 453,4"
"Ullensaker,3 209,43 814,202 312,""4,6"",398,13 088,30,362,11 526,26,36,1 562,4"
"Nesodden,3 212,20 521,182 639,""8,9"",405,6 271,31,399,6 181,30,6,90,0"
"Frogn,3 214,16 244,40 007,""2,5"",95,1 360,8,73,1 109,7,22,251,2"
"Vestby,3 216,19 493,120 576,""6,2"",50,1 382,7,37,1 023,5,13,359,2"
"Ås,3 218,22 005,119 524,""5,4"",372,7 459,34,293,6 436,29,79,1 023,5"
"Enebakk,3 220,11 482,10 482,""0,9"",164,2 003,17,164,2 003,17,,,"
"Lørenskog,3 222,48 188,149 183,""3,1"",344,7 074,15,344,7 074,15,,,"
"Rælingen,3 224,20 099,70 846,""3,5"",94,2 762,14,94,2 762,14,,,"
"Aurskog-Høland,3 226,18 058,40 314,""2,2"",47,1 119,6,47,1 119,6,,,"
"Nes,3 228,24 645,66 894,""2,7"",163,11 582,47,156,11 442,46,7,140,1"
Gjerdrum,3 230,7 398,,,76,1 740,24,63,1 554,21,13,186,3
"Nittedal,3 232,25 882,92 130,""3,6"",330,9 485,37,258,8 456,33,72,1 029,4"
"Lunner,3 234,9 357,29 019,""3,1"",58,1 524,16,54,1 424,15,4,100,1"
"Jevnaker,3 236,7 037,17 726,""2,5"",55,2 378,34,46,2 294,33,9,84,1"
"Nannestad,3 238,16 126,73 435,""4,6"",167,6 035,37,167,6 035,37,,,"
"Eidsvoll,3 240,27 916,68 969,""2,5"",65,2 849,10,62,2 672,10,3,177,1"
"Hurdal,3 242,3 041,25 000,""8,2"",518,8 939,294,514,8 835,291,4,104,3"
Oslo kommune,301,717 710,5 748 792,8,11 811,302 684,42,11 590,295 503,41,221,7 181,1
"Kongsvinger,3 401,18 058,103 761,""5,7"",186,2 438,14,122,1 698,9,64,740,4"
"Hamar,3 403,32 879,179 708,""5,5"",228,9 685,29,219,7 579,23,9,2 106,6"
"Lillehammer,3 405,28 768,171 041,""5,9"",368,12 487,43,368,12 484,43,,3,0"
