Geografi;År;Kjønn;Alder;Utdanningsnivå;leveår;FLAGG
Vestfold;1990-1996;kjønn samlet;30 år;grunnskole;76.57988;
Vestfold;1990-1996;kjønn samlet;30 år;videregående;79.597298;
Vestfold;1990-1996;kjønn samlet;30 år;universitet eller høgskole;81.67009;
Vestfold;1992-1998;kjønn samlet;30 år;grunnskole;76.572586;
Vestfold;1992-1998;kjønn samlet;30 år;videregående;79.886322;
Vestfold;1992-1998;kjønn samlet;30 år;universitet eller høgskole;81.838539;
Vestfold;1994-2000;kjønn samlet;30 år;grunnskole;76.686905;
Vestfold;1994-2000;kjønn samlet;30 år;videregående;80.095261;
Vestfold;1994-2000;kjønn samlet;30 år;universitet eller høgskole;82.062874;
Vestfold;1996-2002;kjønn samlet;30 år;grunnskole;77.016594;
Vestfold;1996-2002;kjønn samlet;30 år;videregående;80.341858;
Vestfold;1996-2002;kjønn samlet;30 år;universitet eller høgskole;82.645058;
Vestfold;1998-2004;kjønn samlet;30 år;grunnskole;76.974136;
Vestfold;1998-2004;kjønn samlet;30 år;videregående;80.556351;
Vestfold;1998-2004;kjønn samlet;30 år;universitet eller høgskole;83.134621;
Vestfold;2000-2006;kjønn samlet;30 år;grunnskole;77.383255;
Vestfold;2000-2006;kjønn samlet;30 år;videregående;80.944855;
Vestfold;2000-2006;kjønn samlet;30 år;universitet eller høgskole;83.59642;
Vestfold;2002-2008;kjønn samlet;30 år;grunnskole;77.985802;
Vestfold;2002-2008;kjønn samlet;30 år;videregående;81.259026;
Vestfold;2002-2008;kjønn samlet;30 år;universitet eller høgskole;84.010498;
Vestfold;2004-2010;kjønn samlet;30 år;grunnskole;78.20845;
Vestfold;2004-2010;kjønn samlet;30 år;videregående;81.807343;
Vestfold;2004-2010;kjønn samlet;30 år;universitet eller høgskole;84.659874;
Vestfold;2006-2012;kjønn samlet;30 år;grunnskole;78.703079;
Vestfold;2006-2012;kjønn samlet;30 år;videregående;82.12899;
Vestfold;2006-2012;kjønn samlet;30 år;universitet eller høgskole;84.909294;
Vestfold;2008-2014;kjønn samlet;30 år;grunnskole;78.805588;
Vestfold;2008-2014;kjønn samlet;30 år;videregående;82.487648;
Vestfold;2008-2014;kjønn samlet;30 år;universitet eller høgskole;85.440392;
Vestfold;2010-2016;kjønn samlet;30 år;grunnskole;79.019669;
Vestfold;2010-2016;kjønn samlet;30 år;videregående;82.915199;
Vestfold;2010-2016;kjønn samlet;30 år;universitet eller høgskole;85.66861;
Vestfold;2012-2018;kjønn samlet;30 år;grunnskole;79.354362;
Vestfold;2012-2018;kjønn samlet;30 år;videregående;83.170303;
Vestfold;2012-2018;kjønn samlet;30 år;universitet eller høgskole;86.027802;
Vestfold;2014-2020;kjønn samlet;30 år;grunnskole;79.816551;
Vestfold;2014-2020;kjønn samlet;30 år;videregående;83.679077;
Vestfold;2014-2020;kjønn samlet;30 år;universitet eller høgskole;86.478371;
Vestfold;2016-2022;kjønn samlet;30 år;grunnskole;79.832474;
Vestfold;2016-2022;kjønn samlet;30 år;videregående;83.829735;
Vestfold;2016-2022;kjønn samlet;30 år;universitet eller høgskole;86.725533;
Vestfold;2018-2024;kjønn samlet;30 år;grunnskole;80.00116;
Vestfold;2018-2024;kjønn samlet;30 år;videregående;83.94574;
Vestfold;2018-2024;kjønn samlet;30 år;universitet eller høgskole;87.081078;
