Kommunenummer;Kommune;Kjønn;År;Innvandringsgrunn;Enhet;Antall
3437;Sel;Alle;2025;Familieinnvandrede;Personer;69
3427;Tynset;Kvinner;2025;Uoppgitt;Prosent;4.0
4616;Tysnes;Menn;2025;Arbeidsinnvandrere;Prosent;21.2
5027;Midtre Gauldal;Alle;2025;Familieinnvandrede;Prosent;17.3
1517;Hareid;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;217
3901;Horten;Alle;2025;Familieinnvandrede;Personer;979
3903;Holmestrand (f.o.m. 2020);Kvinner;2025;Arbeidsinnvandrere;Personer;414
4626;Øygarden (f.o.m. 2020);Menn;2025;Flyktninger og deres familieinnvandrede;Personer;753
4631;Alver;Alle;2025;Uoppgitt;Personer;219
3205;Lillestrøm;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.7
3453;Øystre Slidre;Kvinner;2025;Uoppgitt;Prosent;6.5
1520;Ørsta;Kvinner;2025;Arbeidsinnvandrere;Personer;78
3447;Søndre Land;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;10
4621;Voss (f.o.m. 2020);Alle;2025;Uoppgitt;Personer;174
4636;Solund;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;14
1848;Steigen;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;81
3218;Ås;Menn;2025;Alle;Personer;2636
3448;Nordre Land;Kvinner;2025;Uoppgitt;Personer;22
5036;Frosta;Kvinner;2025;Arbeidsinnvandrere;Personer;59
5524;Målselv;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;178
1875;Hamarøy (f.o.m. 2020);Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;21.3
3451;Nord-Aurdal;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;18.5
4611;Etne;Menn;2025;Arbeidsinnvandrere;Prosent;29.2
5043;Røyrvik;Menn;2025;Uoppgitt;Prosent;10.1
3438;Sør-Fron;Kvinner;2025;Arbeidsinnvandrere;Personer;35
4003;Skien;Menn;2025;Alle;Personer;4471
4005;Notodden;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;0.9
3338;Nore og Uvdal;Alle;2025;Uoppgitt;Personer;14
4217;Åmli;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;50
4633;Fedje;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;3
4648;Bremanger;Alle;2025;Alle;Personer;496
1836;Rødøy;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;11
3421;Trysil;Kvinner;2025;Uoppgitt;Personer;132
3903;Holmestrand (f.o.m. 2020);Menn;2025;Familieinnvandrede;Personer;331
4623;Samnanger;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;7
1573;Smøla;Kvinner;2025;Uoppgitt;Prosent;2.5
3320;Flå;Menn;2025;Familieinnvandrede;Prosent;10.4
3303;Kongsberg;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;1662
4205;Lindesnes (f.o.m. 2020);Alle;2025;Uoppgitt;Personer;332
4216;Birkenes;Kvinner;2025;Alle;Personer;322
4601;Bergen;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;2514
5001;Trondheim (f.o.m. 2020);Alle;2025;Uoppgitt;Personer;3070
1525;Stranda;Kvinner;2025;Alle;Prosent;45.5
4220;Bygland;Menn;2025;Arbeidsinnvandrere;Prosent;15.6
4636;Solund;Alle;2025;Uoppgitt;Prosent;0.0
1836;Rødøy;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;43
4215;Lillesand;Menn;2025;Uoppgitt;Personer;120
1804;Bodø;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;18.8
3452;Vestre Slidre;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;16.8
4626;Øygarden (f.o.m. 2020);Menn;2025;Uoppgitt;Prosent;3.6
5601;Alta;Alle;2025;Alle;Prosent;100.0
3312;Lier;Kvinner;2025;Alle;Personer;2852
3451;Nord-Aurdal;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;20
4611;Etne;Menn;2025;Arbeidsinnvandrere;Personer;140
3338;Nore og Uvdal;Kvinner;2025;Familieinnvandrede;Prosent;11.7
4207;Flekkefjord;Alle;2025;Familieinnvandrede;Prosent;23.2
4601;Bergen;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;16.3
4636;Solund;Menn;2025;Uoppgitt;Prosent;0.0
5542;Skjervøy;Menn;2025;Alle;Prosent;51.4
3432;Lesja;Menn;2025;Arbeidsinnvandrere;Personer;42
3442;Østre Toten;Menn;2025;Alle;Personer;760
3453;Øystre Slidre;Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;89
5636;Nesseby;Kvinner;2025;Alle;Personer;71
3107;Fredrikstad;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;25.3
3905;Tønsberg (f.o.m. 2020);Kvinner;2025;Familieinnvandrede;Prosent;15.0
4226;Hægebostad;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;0.0
4621;Voss (f.o.m. 2020);Alle;2025;Uoppgitt;Prosent;9.3
4217;Åmli;Alle;2025;Familieinnvandrede;Personer;54
3322;Nesbyen;Menn;2025;Arbeidsinnvandrere;Prosent;21.4
4216;Birkenes;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.2
5634;Vardø;Menn;2025;Uoppgitt;Prosent;5.3
3322;Nesbyen;Kvinner;2025;Familieinnvandrede;Personer;77
4631;Alver;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;37
5036;Frosta;Menn;2025;Familieinnvandrede;Personer;17
1160;Vindafjord;Alle;2025;Arbeidsinnvandrere;Prosent;40.6
4219;Evje og Hornnes;Kvinner;2025;Arbeidsinnvandrere;Personer;13
4621;Voss (f.o.m. 2020);Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;35
5524;Målselv;Alle;2025;Familieinnvandrede;Personer;124
4226;Hægebostad;Alle;2025;Alle;Personer;172
3322;Nesbyen;Alle;2025;Alle;Prosent;100.0
3403;Hamar;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.4
3442;Østre Toten;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.6
4626;Øygarden (f.o.m. 2020);Alle;2025;Uoppgitt;Prosent;7.3
1114;Bjerkreim;Menn;2025;Familieinnvandrede;Personer;32
1517;Hareid;Alle;2025;Familieinnvandrede;Personer;266
1563;Sunndal;Alle;2025;Arbeidsinnvandrere;Personer;107
1825;Grane;Menn;2025;Familieinnvandrede;Personer;4
1853;Evenes;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.9
5006;Steinkjer (f.o.m. 2020);Alle;2025;Flyktninger og deres familieinnvandrede;Prosent;51.9
1848;Steigen;Alle;2025;Arbeidsinnvandrere;Personer;105
3236;Jevnaker;Menn;2025;Alle;Personer;476
3338;Nore og Uvdal;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;3
4213;Tvedestrand;Menn;2025;Arbeidsinnvandrere;Personer;124
4616;Tysnes;Kvinner;2025;Familieinnvandrede;Personer;74
5520;Bardu;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;270
4627;Askøy;Alle;2025;Alle;Prosent;100.0
5542;Skjervøy;Kvinner;2025;Arbeidsinnvandrere;Prosent;14.3
3905;Tønsberg (f.o.m. 2020);Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;151
4627;Askøy;Alle;2025;Familieinnvandrede;Personer;914
3122;Marker;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.7
4637;Hyllestad;Alle;2025;Alle;Prosent;100.0
4637;Hyllestad;Alle;2025;Familieinnvandrede;Personer;29
4615;Fitjar;Menn;2025;Uoppgitt;Prosent;4.1
4202;Grimstad;Kvinner;2025;Uoppgitt;Personer;205
4213;Tvedestrand;Alle;2025;Uoppgitt;Personer;98
4226;Hægebostad;Kvinner;2025;Alle;Personer;97
5020;Osen;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;33
5058;Åfjord (f.o.m. 2020);Menn;2025;Familieinnvandrede;Personer;29
5540;Kåfjord;Menn;2025;Alle;Personer;55
5605;Sør-Varanger;Alle;2025;Familieinnvandrede;Personer;536
1812;Sømna;Kvinner;2025;Alle;Prosent;47.5
3203;Asker (f.o.m. 2020);Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.5
4631;Alver;Alle;2025;Uoppgitt;Prosent;6.8
5056;Hitra (f.o.m. 2020);Alle;2025;Familieinnvandrede;Prosent;21.6
3452;Vestre Slidre;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;33
4625;Austevoll;Kvinner;2025;Uoppgitt;Personer;31
1824;Vefsn;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.1
3903;Holmestrand (f.o.m. 2020);Menn;2025;Familieinnvandrede;Prosent;8.2
5518;Lavangen;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;0.0
5524;Målselv;Alle;2025;Alle;Prosent;100.0
1839;Beiarn;Menn;2025;Arbeidsinnvandrere;Personer;4
4635;Gulen;Kvinner;2025;Uoppgitt;Personer;7
1851;Lødingen;Menn;2025;Uoppgitt;Personer;8
3112;Råde;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;22
1517;Hareid;Alle;2025;Alle;Prosent;100.0
3240;Eidsvoll;Alle;2025;Alle;Prosent;100.0
3435;Vågå;Alle;2025;Arbeidsinnvandrere;Personer;34
3435;Vågå;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;13
1515;Herøy (Møre og Romsdal);Menn;2025;Uoppgitt;Prosent;3.3
3453;Øystre Slidre;Menn;2025;Alle;Prosent;49.8
4036;Vinje;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.8
4227;Kvinesdal;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.5
4621;Voss (f.o.m. 2020);Menn;2025;Arbeidsinnvandrere;Prosent;16.1
4643;Årdal;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.6
5524;Målselv;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;26.6
1804;Bodø;Menn;2025;Uoppgitt;Prosent;4.6
3328;Ål;Kvinner;2025;Arbeidsinnvandrere;Personer;63
3438;Sør-Fron;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;144
4014;Kragerø;Menn;2025;Arbeidsinnvandrere;Personer;151
5056;Hitra (f.o.m. 2020);Kvinner;2025;Flyktninger og deres familieinnvandrede;Personer;122
1835;Træna;Kvinner;2025;Uoppgitt;Prosent;5.4
4224;Åseral;Alle;2025;Alle;Prosent;100.0
4601;Bergen;Kvinner;2025;Arbeidsinnvandrere;Prosent;8.0
4644;Luster;Menn;2025;Uoppgitt;Prosent;4.9
1506;Molde (f.o.m. 2020);Alle;2025;Familieinnvandrede;Personer;1069
5034;Meråker;Alle;2025;Alle;Personer;363
3322;Nesbyen;Kvinner;2025;Familieinnvandrede;Prosent;16.5
3425;Engerdal;Kvinner;2025;Alle;Prosent;61.6
4220;Bygland;Alle;2025;Uoppgitt;Prosent;10.2
5060;Nærøysund;Alle;2025;Familieinnvandrede;Prosent;26.3
1101;Eigersund;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;48
3426;Tolga;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;7
3453;Øystre Slidre;Alle;2025;Arbeidsinnvandrere;Personer;138
1120;Klepp;Alle;2025;Alle;Prosent;100.0
1506;Molde (f.o.m. 2020);Menn;2025;Uoppgitt;Prosent;3.8
4620;Ulvik;Menn;2025;Uoppgitt;Prosent;3.7
4627;Askøy;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;14.9
3122;Marker;Kvinner;2025;Alle;Personer;186
1573;Smøla;Menn;2025;Alle;Prosent;50.8
4227;Kvinesdal;Kvinner;2025;Alle;Prosent;53.0
4637;Hyllestad;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;22.9
5601;Alta;Kvinner;2025;Familieinnvandrede;Prosent;15.4
3310;Hole;Menn;2025;Alle;Personer;579
3433;Skjåk;Alle;2025;Flyktninger og deres familieinnvandrede;Personer;80
1517;Hareid;Kvinner;2025;Flyktninger og deres familieinnvandrede;Prosent;21.5
1825;Grane;Menn;2025;Familieinnvandrede;Prosent;2.2
3336;Rollag;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;7.2
3427;Tynset;Menn;2025;Alle;Prosent;48.9
4638;Høyanger;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;5.8
5001;Trondheim (f.o.m. 2020);Alle;2025;Uoppgitt;Prosent;9.2
5538;Storfjord;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;0.0
3301;Drammen (f.o.m. 2020);Menn;2025;Familieinnvandrede;Personer;2070
5046;Høylandet;Alle;2025;Alle;Personer;143
1580;Haram (t.o.m. 2019, f.o.m. 2024);Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.7
1860;Vestvågøy;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.5
3242;Hurdal;Alle;2025;Familieinnvandrede;Prosent;21.8
3316;Modum;Alle;2025;Alle;Prosent;100.0
3431;Dovre;Menn;2025;Familieinnvandrede;Prosent;3.4
4026;Tinn;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.2
4616;Tysnes;Kvinner;2025;Familieinnvandrede;Prosent;21.4
4628;Vaksdal;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;4.4
4631;Alver;Menn;2025;Arbeidsinnvandrere;Prosent;19.8
1106;Haugesund;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;344
1531;Sula;Kvinner;2025;Familieinnvandrede;Personer;263
5060;Nærøysund;Alle;2025;Arbeidsinnvandrere;Personer;313
4026;Tinn;Kvinner;2025;Familieinnvandrede;Prosent;14.5
5029;Skaun;Kvinner;2025;Uoppgitt;Prosent;4.9
5532;Balsfjord;Menn;2025;Flyktninger og deres familieinnvandrede;Prosent;15.9
4601;Bergen;Menn;2025;Familieinnvandrede;Personer;4120
5522;Salangen;Alle;2025;Uoppgitt;Personer;12
3449;Sør-Aurdal;Menn;2025;Alle;Prosent;52.4
4216;Birkenes;Kvinner;2025;Alle;Prosent;48.1
4627;Askøy;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.7
3452;Vestre Slidre;Kvinner;2025;Familieinnvandrede;Personer;26
4638;Høyanger;Alle;2025;Alle;Personer;463
1528;Sykkylven;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;5.3
1580;Haram (t.o.m. 2019, f.o.m. 2024);Alle;2025;Arbeidsinnvandrere;Prosent;35.4
3447;Søndre Land;Menn;2025;Familieinnvandrede;Prosent;7.5
4014;Kragerø;Kvinner;2025;Alle;Prosent;50.4
4637;Hyllestad;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;1.3
1160;Vindafjord;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;69
1580;Haram (t.o.m. 2019, f.o.m. 2024);Alle;2025;Alle;Personer;1611
3310;Hole;Alle;2025;Familieinnvandrede;Personer;231
4628;Vaksdal;Alle;2025;Alle;Personer;495
1811;Bindal;Kvinner;2025;Arbeidsinnvandrere;Prosent;6.9
3214;Frogn;Alle;2025;Alle;Prosent;100.0
4036;Vinje;Kvinner;2025;Familieinnvandrede;Prosent;9.5
5605;Sør-Varanger;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.6
5630;Berlevåg;Menn;2025;Uoppgitt;Prosent;4.6
3216;Vestby;Kvinner;2025;Arbeidsinnvandrere;Personer;240
3426;Tolga;Kvinner;2025;Alle;Personer;148
3439;Ringebu;Menn;2025;Flyktninger og deres familieinnvandrede;Personer;132
4018;Nome;Kvinner;2025;Familieinnvandrede;Personer;157
1106;Haugesund;Kvinner;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;2.2
1539;Rauma;Alle;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;3.6
3205;Lillestrøm;Alle;2025;Arbeidsinnvandrere;Prosent;23.2
3224;Rælingen;Alle;2025;Familieinnvandrede;Prosent;22.1
3909;Larvik (f.o.m. 2018);Alle;2025;Familieinnvandrede;Prosent;22.9
4028;Kviteseid;Alle;2025;Uoppgitt;Prosent;13.1
5027;Midtre Gauldal;Kvinner;2025;Uoppgitt;Prosent;2.3
1160;Vindafjord;Kvinner;2025;Alle;Personer;608
4205;Lindesnes (f.o.m. 2020);Menn;2025;Arbeidsinnvandrere;Personer;391
5001;Trondheim (f.o.m. 2020);Menn;2025;Arbeidsinnvandrere;Personer;5317
5528;Dyrøy;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Personer;0
1806;Narvik (f.o.m. 2020);Kvinner;2025;Familieinnvandrede;Prosent;15.7
3120;Rakkestad;Menn;2025;Utdanning (inkl. au pair) eller andre grunner;Prosent;0.5
