Kommunenummer;Kommune;Botid i Norge;År;Verdensregion;Enhet;Antall
4206;Farsund;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;63
4207;Flekkefjord;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;59
4211;Gjerstad;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;6
4212;Vegårshei;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;24
4213;Tvedestrand;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;43
4214;Froland;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;41
4215;Lillesand;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;81
4216;Birkenes;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;25
4217;Åmli;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;21
4218;Iveland;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;15
4219;Evje og Hornnes;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;19
4220;Bygland;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;17
4221;Valle;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;15
4222;Bykle;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;37
4223;Vennesla;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;145
4224;Åseral;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;9
4225;Lyngdal (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;103
4226;Hægebostad;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;5
4227;Kvinesdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;38
4228;Sirdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;37
4601;Bergen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;5540
4602;Kinn;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;212
4611;Etne;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;56
4612;Sveio;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;62
4613;Bømlo;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;111
4614;Stord;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;224
4615;Fitjar;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;33
4616;Tysnes;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;33
4617;Kvinnherad;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;71
4618;Ullensvang (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;103
4619;Eidfjord;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;26
4620;Ulvik;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;23
4621;Voss (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;178
4622;Kvam;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;69
4623;Samnanger;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;16
4624;Bjørnafjorden;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;310
4625;Austevoll;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;88
4626;Øygarden (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;398
4627;Askøy;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;254
4628;Vaksdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;27
4629;Modalen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;4
4630;Osterøy;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;78
4631;Alver;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;198
4632;Austrheim;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;15
4633;Fedje;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
4634;Masfjorden;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;12
4635;Gulen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;43
4636;Solund;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;25
4637;Hyllestad;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;14
4638;Høyanger;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;35
4639;Vik;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;26
4640;Sogndal (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;198
4641;Aurland;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;90
4642;Lærdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;45
4643;Årdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;43
4644;Luster;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;55
4645;Askvoll;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;34
4646;Fjaler;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;110
4647;Sunnfjord;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;186
4648;Bremanger;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;37
4649;Stad;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;117
4650;Gloppen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;94
4651;Stryn;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;250
5001;Trondheim (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;4451
5006;Steinkjer (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;125
5007;Namsos (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;98
5014;Frøya;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;371
5020;Osen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;6
5021;Oppdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;104
5022;Rennebu;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;14
5025;Røros;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;58
5026;Holtålen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;11
5027;Midtre Gauldal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;68
5028;Melhus;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;275
5029;Skaun;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;59
5031;Malvik;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;177
5032;Selbu;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;26
5033;Tydal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;4
5034;Meråker;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;15
5035;Stjørdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;156
5036;Frosta;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;65
5037;Levanger;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;177
5038;Verdal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;52
5041;Snåsa;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;8
5042;Lierne;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;8
5043;Røyrvik;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
5044;Namsskogan;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;5
5045;Grong;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;23
5046;Høylandet;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
5047;Overhalla;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;48
5049;Flatanger;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;22
5052;Leka;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;8
5053;Inderøy;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;35
5054;Indre Fosen;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;108
5055;Heim;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;39
5056;Hitra (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;194
5057;Ørland (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;100
5058;Åfjord (f.o.m. 2020);0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;54
5059;Orkland;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;176
5060;Nærøysund;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;148
5061;Rindal;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;0
5401;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;2037
5402;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;312
5403;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;292
5404;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;70
5405;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;35
5406;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;183
5411;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;26
5412;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;56
5413;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;20
5414;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;24
5415;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
5416;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;32
5417;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;21
5418;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;56
5419;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;36
5420;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;3
5421;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;237
5422;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;82
5423;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;70
5424;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;34
5425;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;24
5426;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;10
5427;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;90
5428;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;37
5429;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;14
5430;;0-4 år;2022;EU/EFTA-land, Nord-Amerika, Australia og New Zealand;Personer;33
