Enhet;År;Kommunenummer;Kommune;Kjønn;Antall
Personer;2021;1144;Kvitsøy;Alle;:
Personer;2021;1525;Stranda;Alle;:
Personer;2021;1557;Gjemnes;Alle;:
Personer;2021;1576;Aure;Alle;:
Personer;2021;1825;Grane;Alle;:
Personer;2021;3018;Våler (Østf.);Alle;:
Personer;2021;3045;Sigdal;Alle;:
Personer;2021;3051;Rollag;Alle;:
Personer;2021;3424;Rendalen;Alle;:
Personer;2021;3430;Os (Hedm.);Alle;:
Personer;2021;3432;Lesja;Alle;:
Personer;2021;3434;Lom;Alle;:
Personer;2021;3821;Kviteseid;Alle;:
Personer;2021;3822;Nissedal;Alle;:
Personer;2021;4221;Valle;Alle;:
Personer;2021;4628;Vaksdal;Alle;:
Personer;2021;4648;Bremanger;Alle;:
Personer;2021;5020;Osen;Alle;:
Personer;2021;5026;Holtålen;Alle;:
Personer;2021;5036;Frosta;Alle;:
Personer;2021;5043;Røyrvik;Alle;:
Personer;2021;5044;Namsskogan;Alle;:
Personer;2021;5049;Flatanger;Alle;:
Personer;2021;5411;Kvæfjord;Alle;:
Personer;2021;5415;Lavangen;Alle;:
Personer;2021;5423;Karlsøy;Alle;:
Personer;2021;5437;Karasjok;Alle;:
Personer;2021;5440;Berlevåg;Alle;:
Personer;2021;5441;Tana;Alle;:
Personer;2021;5442;Nesseby;Alle;:
Personer;2021;1811;Bindal;Alle;:
Personer;2021;1838;Gildeskål;Alle;:
Personer;2021;1867;Bø (Nordland);Alle;:
Personer;2021;3013;Marker;Alle;:
Personer;2021;3017;Råde;Alle;:
Personer;2021;3037;Hurdal;Alle;:
Personer;2021;3040;Nesbyen;Alle;:
Personer;2021;3044;Hol;Alle;:
Personer;2021;3417;Grue;Alle;:
Personer;2021;3422;Åmot;Alle;:
Personer;2021;3812;Siljan;Alle;:
Personer;2021;4616;Tysnes;Alle;:
Personer;2021;4623;Samnanger;Alle;:
Personer;2021;4632;Austrheim;Alle;:
Personer;2021;5042;Lierne;Alle;:
Personer;2021;5046;Høylandet;Alle;:
Personer;2021;5443;Båtsfjord;Alle;:
Personer;2021;1839;Beiarn;Alle;:
Personer;2021;3028;Enebakk;Alle;:
Personer;2021;3419;Våler (Hedm.);Alle;:
Personer;2021;3423;Stor-Elvdal;Alle;:
Personer;2021;3433;Skjåk;Alle;:
Personer;2021;4635;Gulen;Alle;:
Personer;2021;5041;Snåsa;Alle;:
Personer;2021;5061;Rindal;Alle;:
Personer;2021;5412;Tjeldsund (f.o.m. 2020);Alle;:
Personer;2021;5435;Nordkapp;Alle;:
Personer;2021;1832;Hemnes;Alle;4
Personer;2021;3050;Flesberg;Alle;4
Personer;2021;4641;Aurland;Alle;4
Personer;2021;5426;Kåfjord;Alle;4
Personer;2021;1135;Sauda;Alle;5
Personer;2021;1532;Giske;Alle;5
Personer;2021;3032;Gjerdrum;Alle;5
Personer;2021;3038;Hole;Alle;5
Personer;2021;3042;Hemsedal;Alle;5
Personer;2021;3438;Sør-Fron;Alle;5
Personer;2021;4212;Vegårshei;Alle;5
Personer;2021;5056;Hitra (f.o.m. 2020);Alle;5
Personer;2021;3015;Skiptvet;Alle;6
Personer;2021;3451;Nord-Aurdal;Alle;6
Personer;2021;3454;Vang;Alle;6
Personer;2021;4643;Årdal;Alle;6
Personer;2021;4645;Askvoll;Alle;6
Personer;2021;1539;Rauma;Alle;7
Personer;2021;1827;Dønna;Alle;7
Personer;2021;1875;Hamarøy (f.o.m. 2020);Alle;7
Personer;2021;3416;Eidskog;Alle;7
Personer;2021;3441;Gausdal;Alle;7
Personer;2021;3447;Søndre Land;Alle;7
Personer;2021;4218;Iveland;Alle;7
Personer;2021;4226;Hægebostad;Alle;7
Personer;2021;4611;Etne;Alle;7
Personer;2021;5424;Lyngen;Alle;7
Personer;2021;1134;Suldal;Alle;8
Personer;2021;1828;Nesna;Alle;8
Personer;2021;1868;Øksnes;Alle;8
Personer;2021;1112;Lund;Alle;9
Personer;2021;4630;Osterøy;Alle;9
Personer;2021;5427;Skjervøy;Alle;9
Personer;2021;1818;Herøy (Nordland);Alle;10
Personer;2021;1851;Lødingen;Alle;10
Personer;2021;3016;Rakkestad;Alle;10
Personer;2021;3428;Alvdal;Alle;10
Personer;2021;3439;Ringebu;Alle;10
Personer;2021;3819;Hjartdal;Alle;10
Personer;2021;4622;Kvam;Alle;10
Personer;2021;4646;Fjaler;Alle;10
Personer;2021;5045;Grong;Alle;10
Personer;2021;5053;Inderøy;Alle;10
Personer;2021;1560;Tingvoll;Alle;11
Personer;2021;1573;Smøla;Alle;11
Personer;2021;3453;Øystre Slidre;Alle;11
Personer;2021;4614;Stord;Alle;11
Personer;2021;4639;Vik;Alle;11
Personer;2021;5058;Åfjord (f.o.m. 2020);Alle;11
Personer;2021;1515;Herøy (Møre og Romsdal);Alle;12
Personer;2021;1554;Averøy;Alle;12
Personer;2021;3011;Hvaler;Alle;12
Personer;2021;3435;Vågå;Alle;12
Personer;2021;4642;Lærdal;Alle;12
Personer;2021;5418;Målselv;Alle;12
Personer;2021;1813;Brønnøy;Alle;13
Personer;2021;1822;Leirfjord;Alle;13
Personer;2021;1848;Steigen;Alle;13
Personer;2021;3052;Nore og Uvdal;Alle;13
Personer;2021;5014;Frøya;Alle;13
Personer;2021;1517;Hareid;Alle;14
Personer;2021;1531;Sula;Alle;14
Personer;2021;4211;Gjerstad;Alle;14
Personer;2021;4617;Kvinnherad;Alle;14
Personer;2021;4644;Luster;Alle;14
Personer;2021;3041;Gol;Alle;15
Personer;2021;3412;Løten;Alle;15
Personer;2021;3418;Åsnes;Alle;15
Personer;2021;3421;Trysil;Alle;15
Personer;2021;3426;Tolga;Alle;15
Personer;2021;3427;Tynset;Alle;15
Personer;2021;5047;Overhalla;Alle;15
Personer;2021;5055;Heim;Alle;15
Personer;2021;1840;Saltdal;Alle;16
Personer;2021;3436;Nord-Fron;Alle;16
Personer;2021;4214;Froland;Alle;16
Personer;2021;4625;Austevoll;Alle;16
Personer;2021;5022;Rennebu;Alle;16
Personer;2021;5419;Sørreisa;Alle;16
