Geografi;Alder;2015-2017;2016-2018;2017-2019;2018-2020;2019-2021;2020-2022
Hele landet;Alle aldre;9,8;10;10,2;10,2;10,1;9,8
Hele landet;0-17 år;11;11,5;11,8;11,8;11,5;10,8
Vestfold;Alle aldre;9;9,2;9,4;9,4;9,2;9
Vestfold;0-17 år;10,7;11,1;11,4;11,5;11,2;10,8
Horten;Alle aldre;9,1;9,5;9,5;9,2;9;8,6
Horten;0-17 år;11,2;12;11,7;11,3;11;10,3
Holmestrand;Alle aldre;7,6;7,7;8,1;7,8;7,6;7,9
Holmestrand;0-17 år;8,3;8,9;9,2;8,8;9;9,7
Tønsberg;Alle aldre;9,3;9,4;9,7;9,9;9,8;9,6
Tønsberg;0-17 år;9,7;10,2;10,6;11,1;11;10,4
Sandefjord;Alle aldre;9,2;9,2;9,4;9,6;9,4;9,3
Sandefjord;0-17 år;11,6;11,7;12,3;12,6;12;11,8
Larvik;Alle aldre;8,6;9;9,1;9;8,7;8,4
Larvik;0-17 år;11,1;11,6;11,7;11,5;11;10,7
Færder;Alle aldre;10,3;10,3;10,6;10,6;10,5;9,9
Færder;0-17 år;11,7;12;12,4;12,4;12,3;11
