Geografi;Alder;Utdanningsnivå;Kjønn;2002-2016;2003-2017;2004-2018;2005-2019;2006-2020;2007-2021;2008-2022
Hele landet;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,7;81,9;82,1;82,3;82,5;82,7;82,8
Hele landet;ved 30 års alder;Alle utdanningsnivåer;menn;79,7;80;80,2;80,5;80,7;80,9;81,1
Hele landet;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,7;83,9;84;84,2;84,3;84,4;84,5
Hele landet;ved 30 års alder;Grunnskole;kjønn samlet;78,9;79,1;79,3;79,4;79,5;79,6;79,7
Hele landet;ved 30 års alder;Grunnskole;menn;76,4;76,7;76,9;77,1;77,3;77,5;77,6
Hele landet;ved 30 års alder;Grunnskole;kvinner;81,4;81,5;81,6;81,7;81,8;81,8;81,8
Hele landet;ved 30 års alder;Videregående eller høyere;kjønn samlet;83,9;84,1;84,3;84,4;84,6;84,7;84,8
Hele landet;ved 30 års alder;Videregående eller høyere;menn;81,9;82,1;82,3;82,5;82,7;82,9;83
Hele landet;ved 30 års alder;Videregående eller høyere;kvinner;85,9;86,1;86,2;86,3;86,4;86,5;86,5
Vestfold;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,4;81,6;81,9;82,1;82,3;82,5;82,6
Vestfold;ved 30 års alder;Alle utdanningsnivåer;menn;79,5;79,7;80,1;80,3;80,6;80,8;80,9
Vestfold;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,3;83,5;83,7;83,9;84,1;84,3;84,4
Vestfold;ved 30 års alder;Grunnskole;kjønn samlet;78,4;78,5;78,8;79;79,2;79,3;79,3
Vestfold;ved 30 års alder;Grunnskole;menn;76,1;76,3;76,7;76,9;77,2;77,4;77,3
Vestfold;ved 30 års alder;Grunnskole;kvinner;80,7;80,8;80,9;81,1;81,2;81,2;81,2
Vestfold;ved 30 års alder;Videregående eller høyere;kjønn samlet;83,6;83,8;84;84,2;84,4;84,6;84,7
Vestfold;ved 30 års alder;Videregående eller høyere;menn;81,5;81,8;82;82,2;82,4;82,7;82,8
Vestfold;ved 30 års alder;Videregående eller høyere;kvinner;85,6;85,8;86;86,1;86,3;86,5;86,6
Horten;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;80,7;80,9;81,2;81,6;81,8;82;82,2
Horten;ved 30 års alder;Alle utdanningsnivåer;menn;78,7;78,9;79,4;79,8;79,9;80,2;80,3
Horten;ved 30 års alder;Alle utdanningsnivåer;kvinner;82,7;82,9;83,1;83,4;83,6;83,9;84,1
Horten;ved 30 års alder;Grunnskole;kjønn samlet;77,2;77,4;77,8;78,4;78,4;78,6;78,5
Horten;ved 30 års alder;Grunnskole;menn;74,5;74,7;75,6;76,1;76,2;76,5;76,3
Horten;ved 30 års alder;Grunnskole;kvinner;80;80,1;80,1;80,7;80,7;80,8;80,7
Horten;ved 30 års alder;Videregående eller høyere;kjønn samlet;82,5;82,7;83,1;83,3;83,6;83,9;84,1
Horten;ved 30 års alder;Videregående eller høyere;menn;80,5;80,7;80,9;81,2;81,4;81,6;81,9
Horten;ved 30 års alder;Videregående eller høyere;kvinner;84,6;84,8;85,2;85,4;85,7;86,2;86,3
Holmestrand;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,3;81,5;81,7;82;82,1;82,4;82,4
Holmestrand;ved 30 års alder;Alle utdanningsnivåer;menn;79,1;79,4;79,7;80;80,3;80,6;80,7
Holmestrand;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,4;83,7;83,7;83,9;83,9;84,1;84
Holmestrand;ved 30 års alder;Grunnskole;kjønn samlet;78,1;78,3;78,6;78,9;79,2;79,3;79,2
Holmestrand;ved 30 års alder;Grunnskole;menn;75,3;75,5;76,1;76,6;77;77,1;77,1
Holmestrand;ved 30 års alder;Grunnskole;kvinner;80,9;81,1;81,1;81,3;81,4;81,5;81,2
Holmestrand;ved 30 års alder;Videregående eller høyere;kjønn samlet;83,7;83,8;83,9;84,1;84,2;84,4;84,5
Holmestrand;ved 30 års alder;Videregående eller høyere;menn;81,5;81,8;81,9;81,9;82,3;82,7;82,8
Holmestrand;ved 30 års alder;Videregående eller høyere;kvinner;85,9;85,9;86;86,2;86,1;86,2;86,3
Tønsberg;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,5;81,7;82;82,3;82,4;82,6;82,7
Tønsberg;ved 30 års alder;Alle utdanningsnivåer;menn;79,7;80;80,4;80,7;80,9;81,1;81,1
Tønsberg;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,2;83,4;83,6;83,9;84;84,1;84,2
Tønsberg;ved 30 års alder;Grunnskole;kjønn samlet;78,3;78,5;78,8;79,1;79,1;78,9;78,8
Tønsberg;ved 30 års alder;Grunnskole;menn;76,3;76,7;77,2;77,4;77,5;77,4;77,1
Tønsberg;ved 30 års alder;Grunnskole;kvinner;80,3;80,3;80,5;80,8;80,6;80,5;80,5
Tønsberg;ved 30 års alder;Videregående eller høyere;kjønn samlet;83,6;83,8;84;84,2;84,4;84,6;84,8
Tønsberg;ved 30 års alder;Videregående eller høyere;menn;81,7;81,8;82,2;82,4;82,5;82,9;83
Tønsberg;ved 30 års alder;Videregående eller høyere;kvinner;85,6;85,8;85,8;86,1;86,2;86,4;86,5
Sandefjord;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,3;81,6;81,8;82,1;82,3;82,5;82,6
Sandefjord;ved 30 års alder;Alle utdanningsnivåer;menn;79,4;79,7;80;80,2;80,5;80,7;80,8
Sandefjord;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,2;83,5;83,7;83,9;84,1;84,3;84,4
Sandefjord;ved 30 års alder;Grunnskole;kjønn samlet;78,5;78,7;79,1;79,1;79,4;79,5;79,5
Sandefjord;ved 30 års alder;Grunnskole;menn;76,3;76,5;76,8;77;77,2;77,3;77,5
Sandefjord;ved 30 års alder;Grunnskole;kvinner;80,8;81;81,3;81,3;81,5;81,7;81,6
Sandefjord;ved 30 års alder;Videregående eller høyere;kjønn samlet;83,6;83,9;84,1;84,3;84,4;84,6;84,7
Sandefjord;ved 30 års alder;Videregående eller høyere;menn;81,6;81,9;82,2;82,4;82,6;82,7;82,8
Sandefjord;ved 30 års alder;Videregående eller høyere;kvinner;85,5;85,8;86;86,2;86,3;86,5;86,5
Larvik;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,7;82;82,1;82,4;82,6;82,8;82,9
Larvik;ved 30 års alder;Alle utdanningsnivåer;menn;79,7;79,9;80,1;80,5;80,8;81;81,1
Larvik;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,8;84;84,2;84,3;84,5;84,6;84,7
Larvik;ved 30 års alder;Grunnskole;kjønn samlet;79,1;79;79;79,4;79,6;79,7;79,7
Larvik;ved 30 års alder;Grunnskole;menn;76,9;76,8;76,8;77,2;77,7;77,9;78
Larvik;ved 30 års alder;Grunnskole;kvinner;81,2;81,3;81,2;81,5;81,5;81,5;81,5
Larvik;ved 30 års alder;Videregående eller høyere;kjønn samlet;84;84,3;84,5;84,7;84,8;85;85,1
Larvik;ved 30 års alder;Videregående eller høyere;menn;81,8;82,2;82,4;82,6;82,8;83;83,1
Larvik;ved 30 års alder;Videregående eller høyere;kvinner;86,3;86,4;86,6;86,7;86,8;87,1;87
Færder;ved 30 års alder;Alle utdanningsnivåer;kjønn samlet;81,7;81,9;82,1;82,3;82,6;82,8;83
Færder;ved 30 års alder;Alle utdanningsnivåer;menn;79,8;80,1;80,5;80,5;80,9;81,1;81,3
Færder;ved 30 års alder;Alle utdanningsnivåer;kvinner;83,6;83,7;83,8;84;84,3;84,5;84,7
Færder;ved 30 års alder;Grunnskole;kjønn samlet;78,3;78,4;78,5;78,5;79;79,3;79,4
Færder;ved 30 års alder;Grunnskole;menn;75,9;76,1;76,5;76,3;76,6;77,3;77,3
Færder;ved 30 års alder;Grunnskole;kvinner;80,7;80,6;80,6;80,7;81,3;81,2;81,5
Færder;ved 30 års alder;Videregående eller høyere;kjønn samlet;83,5;83,7;83,9;84;84,3;84,6;84,7
Færder;ved 30 års alder;Videregående eller høyere;menn;81,5;81,7;82,1;82,1;82,4;82,7;82,9
Færder;ved 30 års alder;Videregående eller høyere;kvinner;85,6;85,7;85,7;86;86,2;86,4;86,4
