Geografi;År;Kjønn;Alder;Utdanningsnivå;leveår;FLAGG
Hele landet;2010-2016;kjønn samlet;30 år;alle utdanningsnivåer;82.434296;
Hele landet;2010-2016;kjønn samlet;30 år;grunnskole;79.4366;
Hele landet;2010-2016;kjønn samlet;30 år;videregående eller høyere;84.50161;
Hele landet;2010-2016;menn;30 år;alle utdanningsnivåer;80.598862;
Hele landet;2010-2016;menn;30 år;grunnskole;77.160294;
Hele landet;2010-2016;menn;30 år;videregående eller høyere;82.595833;
Hele landet;2010-2016;kvinner;30 år;alle utdanningsnivåer;84.26973;
Hele landet;2010-2016;kvinner;30 år;grunnskole;81.712898;
Hele landet;2010-2016;kvinner;30 år;videregående eller høyere;86.407394;
Hele landet;2011-2017;kjønn samlet;30 år;alle utdanningsnivåer;82.62326;
Hele landet;2011-2017;kjønn samlet;30 år;grunnskole;79.596298;
Hele landet;2011-2017;kjønn samlet;30 år;videregående eller høyere;84.659386;
Hele landet;2011-2017;menn;30 år;alle utdanningsnivåer;80.860168;
Hele landet;2011-2017;menn;30 år;grunnskole;77.395294;
Hele landet;2011-2017;menn;30 år;videregående eller høyere;82.826523;
Hele landet;2011-2017;kvinner;30 år;alle utdanningsnivåer;84.386353;
Hele landet;2011-2017;kvinner;30 år;grunnskole;81.797302;
Hele landet;2011-2017;kvinner;30 år;videregående eller høyere;86.492249;
Hele landet;2012-2018;kjønn samlet;30 år;alle utdanningsnivåer;82.804703;
Hele landet;2012-2018;kjønn samlet;30 år;grunnskole;79.75177;
Hele landet;2012-2018;kjønn samlet;30 år;videregående eller høyere;84.772507;
Hele landet;2012-2018;menn;30 år;alle utdanningsnivåer;81.110191;
Hele landet;2012-2018;menn;30 år;grunnskole;77.654884;
Hele landet;2012-2018;menn;30 år;videregående eller høyere;83.013847;
Hele landet;2012-2018;kvinner;30 år;alle utdanningsnivåer;84.499222;
Hele landet;2012-2018;kvinner;30 år;grunnskole;81.848648;
Hele landet;2012-2018;kvinner;30 år;videregående eller høyere;86.531158;
Hele landet;2013-2019;kjønn samlet;30 år;alle utdanningsnivåer;83.018646;
Hele landet;2013-2019;kjønn samlet;30 år;grunnskole;79.940323;
Hele landet;2013-2019;kjønn samlet;30 år;videregående eller høyere;84.930756;
Hele landet;2013-2019;menn;30 år;alle utdanningsnivåer;81.366333;
Hele landet;2013-2019;menn;30 år;grunnskole;77.925346;
Hele landet;2013-2019;menn;30 år;videregående eller høyere;83.211266;
Hele landet;2013-2019;kvinner;30 år;alle utdanningsnivåer;84.670959;
Hele landet;2013-2019;kvinner;30 år;grunnskole;81.955292;
Hele landet;2013-2019;kvinner;30 år;videregående eller høyere;86.650253;
Hele landet;2014-2020;kjønn samlet;30 år;alle utdanningsnivåer;83.227768;
Hele landet;2014-2020;kjønn samlet;30 år;grunnskole;80.115639;
Hele landet;2014-2020;kjønn samlet;30 år;videregående eller høyere;85.123352;
Hele landet;2014-2020;menn;30 år;alle utdanningsnivåer;81.624802;
Hele landet;2014-2020;menn;30 år;grunnskole;78.143433;
Hele landet;2014-2020;menn;30 år;videregående eller høyere;83.459671;
Hele landet;2014-2020;kvinner;30 år;alle utdanningsnivåer;84.830727;
Hele landet;2014-2020;kvinner;30 år;grunnskole;82.087845;
Hele landet;2014-2020;kvinner;30 år;videregående eller høyere;86.787033;
Hele landet;2015-2021;kjønn samlet;30 år;alle utdanningsnivåer;83.365501;
Hele landet;2015-2021;kjønn samlet;30 år;grunnskole;80.177078;
Hele landet;2015-2021;kjønn samlet;30 år;videregående eller høyere;85.238113;
Hele landet;2015-2021;menn;30 år;alle utdanningsnivåer;81.830643;
Hele landet;2015-2021;menn;30 år;grunnskole;78.285126;
Hele landet;2015-2021;menn;30 år;videregående eller høyere;83.655693;
Hele landet;2015-2021;kvinner;30 år;alle utdanningsnivåer;84.90036;
