EnhetNivaa;Nasjonaltkode;Fylkekode;Kommunekode;Organisasjonsnummer;Nasjonalt;Fylke;Kommune;EnhetNavn;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2020-21.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2021-22.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5.Brudd;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5
1;I;;;I;Hele landet;Alle fylker;Alle kommuner;Alle skoler;50;0,1;60 222;9,4;17,4;41,6;22,1;9,6;50;0,1;61 538;9,8;17,2;41,3;21,8;9,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;0,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;57 393;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;9,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;20,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;38,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;21,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;10,6;49;0,1;61 904;12,5;22,1;37,5;19,5;8,4;49;0,1;60 348;11,7;22,6;38,8;19,4;7,5
2;I;39;0000;39;Hele landet;Vestfold;Alle kommuner;Alle skoler;;;;;;;;;;;;;;;;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;;;;;;;;;;49;0,3;2 833;11,2;22,6;39,8;19,6;6,8
3;I;39;3911;3911;Hele landet;Vestfold;Færder;Alle skoler;49;1,2;300;12,7;18,7;37;20;11,7;51;1,1;303;7,6;11,2;44,2;27,1;9,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;307;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;7,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;20,5;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;39,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;21,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;11,1;47;1;310;13,9;24,8;40,3;14,8;6,1;49;1,1;303;12,5;21,8;38;18,2;9,6
4;I;39;3911;975271250;Hele landet;Vestfold;Færder;Borgheim ungdomsskole;50;1,9;135;13,3;20;31,9;21,5;13,3;49;1,5;148;10,8;14,9;45,9;22,3;6,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;151;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;7,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;23,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;37,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;23,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;8,6;46;1,5;155;18,1;25,2;36,1;17,4;3,2;49;1,5;137;13,1;20,4;40,1;18,2;8
4;I;39;3911;973141791;Hele landet;Vestfold;Færder;Steinerskolen i Vestfold;48;2,7;23;*;*;*;*;*;55;3,3;24;*;*;*;*;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;49;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;2,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;23;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;47;3,8;22;*;*;*;*;*;48;4,1;24;*;*;*;*;*
4;I;39;3911;975271358;Hele landet;Vestfold;Færder;Teigar ungdomsskole;49;2,2;104;16,3;16,3;33,7;20,2;13,5;54;1,7;93;4,3;4,3;41,9;35,5;14;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,9;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;92;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;8,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;17,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;40,2;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;19,6;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;14,1;49;1,7;103;7,8;19,4;48,5;15,5;8,7;50;1,8;107;10,3;17,8;40,2;23,4;8,4
4;I;39;3911;874607592;Hele landet;Vestfold;Færder;Tjøme ungdomsskole;49;2,5;38;*;*;*;*;*;50;3,1;38;*;*;*;*;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;51;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;3,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;41;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;46;3,5;30;*;*;*;*;*;48;3,8;35;*;*;*;*;*
3;I;39;3903;3903;Hele landet;Vestfold;Holmestrand;Alle skoler;49;1,1;268;9;17,5;43,7;22,4;7,5;49;1,1;294;12,2;17;44,9;18,7;7,1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;300;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;24;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;38;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;21,3;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;8,7;48;1;282;11;25,2;44;15,6;4,3;48;1;260;8,8;29,6;37,7;18,8;5
4;I;39;3903;974542714;Hele landet;Vestfold;Holmestrand;Gjøklep ungdomsskole;48;1,7;98;10,2;23,5;38,8;21,4;6,1;47;1,6;138;18,1;16,7;44,2;15,2;5,8;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;48;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;1,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;134;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;47;1,6;135;18,5;22,2;41,5;14,1;3,7;48;1,6;136;13,2;25;34,6;22,1;5,1
4;I;39;3903;975268799;Hele landet;Vestfold;Holmestrand;Hof skole;49;2,9;37;13,5;8,1;54,1;18,9;5,4;49;2,6;37;2,7;24,3;45,9;24,3;2,7;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;50;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;3,4;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;29;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;Fra 2022 starter måling av utvikling over tid på nytt. Resultatene fra 2022 kan derfor ikke direkte sammenlignes med tidligere år.;*;49;2,4;38;2,6;28,9;52,6;10,5;5,3;50;3;36;5,6;25;33,3;25;11,1
