EnhetNivaa;Nasjonaltkode;Fylkekode;Kommunekode;Organisasjonsnummer;Nasjonalt;Fylke;Kommune;EnhetNavn;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 5;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Skalapoeng;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Usikkerhet;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Antall elever deltatt;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 1;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 2;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 3;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 4;2022-23.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 5;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Skalapoeng;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Usikkerhet;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Antall elever deltatt;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 1;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 2;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 3;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 4;2023-24.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 5;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Skalapoeng;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Usikkerhet;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Antall elever deltatt;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 1;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 2;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 3;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 4;2024-25.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 5;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 1;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 2;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 3;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 4;2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Mestringsnivå 5;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Skalapoeng;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Usikkerhet;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Antall elever deltatt;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 1;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 2;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 3;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 4;2025-26.Lesing.8. årstrinn.Alle eierformer.Gutt.Mestringsnivå 5;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Skalapoeng;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Usikkerhet;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Antall elever deltatt;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 1;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 2;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 3;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 4;2025-26.Lesing.8. årstrinn.Alle eierformer.Jente.Mestringsnivå 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;I;00;0000;I;Hele landet;Alle fylker;Alle kommuner;Alle skoler;50;0,1;57 393;9,3;20,3;38,5;21,4;10,6;49;0,1;29 226;10,6;21,4;38,6;20;9,4;51;0,1;28 167;8;19,1;38,3;22,8;11,9;49;0,1;61 904;12,5;22,1;37,5;19,5;8,4;48;0,1;31 408;15,6;24,2;35,7;17,6;7;50;0,1;30 496;9,2;19,9;39,4;21,6;9,8;49;0,1;60 348;11,7;22,6;38,8;19,4;7,5;48;0,1;30 690;14;24,1;37,1;18,5;6,4;50;0,1;29 658;9,2;21,2;40,6;20,4;8,6;49;0,1;60 410;10,3;24,3;39,4;18,1;7,8;48;0,1;30 696;12,7;27;38;15,9;6,4;50;0,1;29 714;7,9;21,6;40,8;20,5;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;I;39;0000;39;Hele landet;Vestfold;Alle kommuner;Alle skoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;0,3;2 833;11,2;22,6;39,8;19,6;6,8;48;0,5;1 455;12,6;24,4;37,4;19,5;6,1;49;0,5;1 378;9,7;20,6;42,4;19,7;7,6;48;0,3;2 778;10,9;24,9;38,6;18,8;6,7;47;0,5;1 375;12,7;27,3;37,8;16,7;5,5;49;0,5;1 403;9,2;22,6;39,4;20,9;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;39;3911;3911;Hele landet;Vestfold;Færder;Alle skoler;50;1,1;307;7,8;20,5;39,4;21,2;11,1;49;1,5;163;11;20,9;39,9;18,4;9,8;51;1,5;144;4,2;20,1;38,9;24,3;12,5;47;1;310;13,9;24,8;40,3;14,8;6,1;46;1,4;166;17,5;24,1;39,8;12,7;6;48;1,5;144;9,7;25,7;41;17,4;6,3;49;1,1;303;12,5;21,8;38;18,2;9,6;47;1,4;167;15;27,5;34,7;16,2;6,6;51;1,6;136;9,6;14,7;41,9;20,6;13,2;49;1;289;8,3;24,9;39,8;19,4;7,6;48;1,4;158;9,5;25,3;40,5;20,3;4,4;50;1,6;131;6,9;24,4;38,9;18,3;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3911;975271250;Hele landet;Vestfold;Færder;Borgheim ungdomsskole;50;1,6;151;7,9;23,2;37,1;23,2;8,6;48;2,1;86;12,8;19,8;39,5;20,9;7;52;2,2;65;1,5;27,7;33,8;26,2;10,8;46;1,5;155;18,1;25,2;36,1;17,4;3,2;46;1,9;80;21,3;18,8;41,3;17,5;1,3;47;2,2;75;14,7;32;30,7;17,3;5,3;49;1,5;137;13,1;20,4;40,1;18,2;8;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;48;1,6;136;11,8;23,5;43,4;14;7,4;47;1,9;72;12,5;26,4;48,6;11,1;1,4;50;2,5;64;10,9;20,3;37,5;17,2;14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3911;973141791;Hele landet;Vestfold;Færder;Steinerskolen i Vestfold;49;2,6;23;*;*;*;*;*;49;3,3;11;*;*;*;*;*;49;4,2;12;*;*;*;*;*;47;3,8;22;*;*;*;*;*;45;5,9;10;*;*;*;*;*;49;4,9;12;*;*;*;*;*;48;4,1;24;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3911;975271358;Hele landet;Vestfold;Færder;Teigar ungdomsskole;50;1,9;92;8,7;17,4;40,2;19,6;14,1;49;2,9;46;10,9;21,7;34,8;17,4;15,2;51;2,4;46;6,5;13;45,7;21,7;13;49;1,7;103;7,8;19,4;48,5;15,5;8,7;48;2,2;62;11,3;24,2;45,2;9,7;9,7;52;2,3;41;2,4;12,2;53,7;24,4;7,3;50;1,8;107;10,3;17,8;40,2;23,4;8,4;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3911;874607592;Hele landet;Vestfold;Færder;Tjøme ungdomsskole;51;3,3;41;*;*;*;*;*;49;4,8;20;*;*;*;*;*;53;4,5;21;*;*;*;*;*;46;3,5;30;*;*;*;*;*;45;6;14;*;*;*;*;*;46;4,2;16;*;*;*;*;*;48;3,8;35;*;*;*;*;*;45;4,7;19;*;*;*;*;*;51;5,9;16;*;*;*;*;*;50;2,8;41;*;*;*;*;*;49;3,9;24;*;*;*;*;*;51;4;17;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;I;39;3903;3903;Hele landet;Vestfold;Holmestrand;Alle skoler;50;1;300;8;24;38;21,3;8,7;49;1,4;160;9,4;26,3;38,8;17,5;8,1;51;1,4;140;6,4;21,4;37,1;25,7;9,3;48;1;282;11;25,2;44;15,6;4,3;47;1,4;155;14,2;28,4;39,4;13,5;4,5;49;1,4;127;7,1;21,3;49,6;18,1;3,9;48;1;260;8,8;29,6;37,7;18,8;5;48;1,5;131;9,9;29;33,6;22,1;5,3;48;1,4;129;7,8;30,2;41,9;15,5;4,7;46;1;275;13,8;32;34,9;16;3,3;45;1,5;142;19;34,5;28,9;14,1;3,5;48;1,3;133;8,3;29,3;41,4;18;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3903;974542714;Hele landet;Vestfold;Holmestrand;Gjøklep ungdomsskole;48;1,4;134;*;*;*;*;*;48;2;64;*;*;*;*;*;49;2,1;70;10;28,6;34,3;18,6;8,6;47;1,6;135;18,5;22,2;41,5;14,1;3,7;46;2,2;77;22,1;24,7;36,4;13;3,9;48;2,2;58;13,8;19;48,3;15,5;3,4;48;1,6;136;13,2;25;34,6;22,1;5,1;48;2,4;63;15,9;20,6;28,6;28,6;6,3;47;2;73;11;28,8;39,7;16,4;4,1;45;1,5;138;18,1;29,7;34,8;15,2;2,2;44;2,1;74;23;32,4;28,4;*;*;47;2;64;12,5;26,6;42,2;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3903;975268799;Hele landet;Vestfold;Holmestrand;Hof skole;50;3,4;29;*;*;*;*;*;52;5,5;15;*;*;*;*;*;48;3,8;14;*;*;*;*;*;49;2,4;38;2,6;28,9;52,6;10,5;5,3;49;3,3;23;*;*;*;*;*;49;3,4;15;*;*;*;*;*;50;3;36;5,6;25;33,3;25;11,1;47;3,5;20;*;*;*;*;*;53;4,6;16;*;*;*;*;*;47;3,8;23;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3903;887232482;Hele landet;Vestfold;Holmestrand;Holmestrand Internasjonale montessoriskole Sti ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;I;39;3903;931338854;Hele landet;Vestfold;Holmestrand;Klokkerjordet skole;;;;;;;;;;;;;;;;;;;;;;;;;48;1,4;109;4,6;27,5;44;19,3;4,6;47;2,2;55;*;*;*;*;*;49;1,9;54;*;*;*;*;*;47;1,4;88;3,4;38,6;44,3;11,4;2,3;47;2,1;48;*;*;*;*;*;46;1,9;40;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;49;2,1;55;5,5;29,1;41,8;18,2;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
