Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
01 Bolig eller sentrumsformål,10175,Bebyggelse/samferdsel
01 Bolig eller sentrumsformål,118,Dyrket mark
01 Bolig eller sentrumsformål,7,Grasmark
01 Bolig eller sentrumsformål,1758,Skog
01 Bolig eller sentrumsformål,211,Hei og åpen vegetasjon
01 Bolig eller sentrumsformål,148,Lite vegetert mark
01 Bolig eller sentrumsformål,3,Elver/bekker
01 Bolig eller sentrumsformål,3,Innsjøer/tjern
01 Bolig eller sentrumsformål,78,"Svaberg, kyststrender og dyner"
01 Bolig eller sentrumsformål,7,Åpent hav
02 Fritidsbebyggelse,1414,Bebyggelse/samferdsel
02 Fritidsbebyggelse,7,Dyrket mark
02 Fritidsbebyggelse,1,Grasmark
02 Fritidsbebyggelse,890,Skog
02 Fritidsbebyggelse,111,Hei og åpen vegetasjon
02 Fritidsbebyggelse,141,Lite vegetert mark
02 Fritidsbebyggelse,0,Elver/bekker
02 Fritidsbebyggelse,3,Innsjøer/tjern
02 Fritidsbebyggelse,123,"Svaberg, kyststrender og dyner"
02 Fritidsbebyggelse,16,Åpent hav
03 Tjenesteyting,493,Bebyggelse/samferdsel
03 Tjenesteyting,24,Dyrket mark
03 Tjenesteyting,149,Skog
03 Tjenesteyting,33,Hei og åpen vegetasjon
03 Tjenesteyting,1,Elver/bekker
03 Tjenesteyting,0,Innsjøer/tjern
03 Tjenesteyting,4,"Svaberg, kyststrender og dyner"
03 Tjenesteyting,0,Åpent hav
04 Handel,42,Bebyggelse/samferdsel
04 Handel,2,Dyrket mark
04 Handel,6,Skog
04 Handel,2,Hei og åpen vegetasjon
04 Handel,1,Lite vegetert mark
04 Handel,0,Innsjøer/tjern
04 Handel,1,"Svaberg, kyststrender og dyner"
04 Handel,0,Åpent hav
05 Turistformål,160,Bebyggelse/samferdsel
05 Turistformål,5,Dyrket mark
05 Turistformål,81,Skog
05 Turistformål,23,Hei og åpen vegetasjon
05 Turistformål,18,Lite vegetert mark
05 Turistformål,0,Elver/bekker
05 Turistformål,0,Innsjøer/tjern
05 Turistformål,1,"Svaberg, kyststrender og dyner"
05 Turistformål,0,Åpent hav
06 Næringsvirksomhet,431,Bebyggelse/samferdsel
06 Næringsvirksomhet,19,Dyrket mark
06 Næringsvirksomhet,212,Skog
06 Næringsvirksomhet,32,Hei og åpen vegetasjon
06 Næringsvirksomhet,2,Lite vegetert mark
06 Næringsvirksomhet,1,Elver/bekker
06 Næringsvirksomhet,14,Innsjøer/tjern
06 Næringsvirksomhet,7,"Svaberg, kyststrender og dyner"
06 Næringsvirksomhet,13,Åpent hav
07 Råstoffutvinning,8,Bebyggelse/samferdsel
07 Råstoffutvinning,1,Skog
07 Råstoffutvinning,1,Innsjøer/tjern
08 Kombinerte formål,377,Bebyggelse/samferdsel
08 Kombinerte formål,46,Dyrket mark
08 Kombinerte formål,135,Skog
08 Kombinerte formål,13,Hei og åpen vegetasjon
08 Kombinerte formål,7,Lite vegetert mark
08 Kombinerte formål,0,Elver/bekker
08 Kombinerte formål,0,Innsjøer/tjern
08 Kombinerte formål,9,"Svaberg, kyststrender og dyner"
08 Kombinerte formål,0,Åpent hav
09 Idrettsanlegg,987,Bebyggelse/samferdsel
09 Idrettsanlegg,3,Dyrket mark
09 Idrettsanlegg,0,Grasmark
09 Idrettsanlegg,317,Skog
09 Idrettsanlegg,10,Hei og åpen vegetasjon
