Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
01 Bolig eller sentrumsformål,16257,Bebyggelse/samferdsel
01 Bolig eller sentrumsformål,254,Dyrket mark
01 Bolig eller sentrumsformål,4,Grasmark
01 Bolig eller sentrumsformål,2448,Skog
01 Bolig eller sentrumsformål,319,Hei og åpen vegetasjon
01 Bolig eller sentrumsformål,48,Lite vegetert mark
01 Bolig eller sentrumsformål,3,Elver/bekker
01 Bolig eller sentrumsformål,2,Innsjøer/tjern
01 Bolig eller sentrumsformål,0,"Svaberg, kyststrender og dyner"
01 Bolig eller sentrumsformål,3,Åpent hav
02 Fritidsbebyggelse,1538,Bebyggelse/samferdsel
02 Fritidsbebyggelse,6,Dyrket mark
02 Fritidsbebyggelse,0,Grasmark
02 Fritidsbebyggelse,841,Skog
02 Fritidsbebyggelse,61,Hei og åpen vegetasjon
02 Fritidsbebyggelse,0,Elver/bekker
02 Fritidsbebyggelse,0,Innsjøer/tjern
02 Fritidsbebyggelse,0,"Svaberg, kyststrender og dyner"
03 Tjenesteyting,1213,Bebyggelse/samferdsel
03 Tjenesteyting,97,Dyrket mark
03 Tjenesteyting,1,Grasmark
03 Tjenesteyting,226,Skog
03 Tjenesteyting,67,Hei og åpen vegetasjon
03 Tjenesteyting,2,Elver/bekker
03 Tjenesteyting,0,Innsjøer/tjern
03 Tjenesteyting,0,Åpent hav
04 Handel,99,Bebyggelse/samferdsel
04 Handel,0,Dyrket mark
04 Handel,42,Skog
04 Handel,0,Hei og åpen vegetasjon
05 Turistformål,29,Bebyggelse/samferdsel
05 Turistformål,0,Dyrket mark
05 Turistformål,2,Skog
05 Turistformål,6,Hei og åpen vegetasjon
06 Næringsvirksomhet,3213,Bebyggelse/samferdsel
06 Næringsvirksomhet,26,Dyrket mark
06 Næringsvirksomhet,714,Skog
06 Næringsvirksomhet,342,Hei og åpen vegetasjon
06 Næringsvirksomhet,3,Lite vegetert mark
06 Næringsvirksomhet,6,Våtmark
06 Næringsvirksomhet,5,Elver/bekker
