Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
01 Bolig eller sentrumsformål,12350,Bebyggelse/samferdsel
01 Bolig eller sentrumsformål,137,Dyrket mark
01 Bolig eller sentrumsformål,0,Grasmark
01 Bolig eller sentrumsformål,1657,Skog
01 Bolig eller sentrumsformål,85,Hei og åpen vegetasjon
01 Bolig eller sentrumsformål,3,Lite vegetert mark
01 Bolig eller sentrumsformål,2,Elver/bekker
01 Bolig eller sentrumsformål,1,Innsjøer/tjern
01 Bolig eller sentrumsformål,0,Åpent hav
02 Fritidsbebyggelse,150,Bebyggelse/samferdsel
02 Fritidsbebyggelse,17,Skog
02 Fritidsbebyggelse,0,Innsjøer/tjern
03 Tjenesteyting,1438,Bebyggelse/samferdsel
03 Tjenesteyting,115,Dyrket mark
03 Tjenesteyting,9,Grasmark
03 Tjenesteyting,358,Skog
03 Tjenesteyting,41,Hei og åpen vegetasjon
03 Tjenesteyting,0,Elver/bekker
03 Tjenesteyting,0,Innsjøer/tjern
03 Tjenesteyting,0,Åpent hav
04 Handel,67,Bebyggelse/samferdsel
04 Handel,0,Dyrket mark
04 Handel,2,Skog
04 Handel,0,Hei og åpen vegetasjon
05 Turistformål,34,Bebyggelse/samferdsel
05 Turistformål,2,Dyrket mark
05 Turistformål,1,Skog
05 Turistformål,0,Hei og åpen vegetasjon
05 Turistformål,1,Åpent hav
06 Næringsvirksomhet,2633,Bebyggelse/samferdsel
06 Næringsvirksomhet,72,Dyrket mark
06 Næringsvirksomhet,4,Grasmark
06 Næringsvirksomhet,1377,Skog
06 Næringsvirksomhet,106,Hei og åpen vegetasjon
06 Næringsvirksomhet,6,Lite vegetert mark
06 Næringsvirksomhet,3,Elver/bekker
06 Næringsvirksomhet,5,Innsjøer/tjern
06 Næringsvirksomhet,1,"Svaberg, kyststrender og dyner"
06 Næringsvirksomhet,1,Åpent hav
07 Råstoffutvinning,456,Bebyggelse/samferdsel
07 Råstoffutvinning,74,Dyrket mark
07 Råstoffutvinning,194,Skog
07 Råstoffutvinning,4,Hei og åpen vegetasjon
07 Råstoffutvinning,0,Lite vegetert mark
08 Kombinerte formål,1488,Bebyggelse/samferdsel
08 Kombinerte formål,121,Dyrket mark
08 Kombinerte formål,1,Grasmark
08 Kombinerte formål,238,Skog
08 Kombinerte formål,75,Hei og åpen vegetasjon
08 Kombinerte formål,64,Lite vegetert mark
08 Kombinerte formål,1,Elver/bekker
08 Kombinerte formål,2,Innsjøer/tjern
08 Kombinerte formål,41,"Svaberg, kyststrender og dyner"
08 Kombinerte formål,0,Åpent hav
09 Idrettsanlegg,754,Bebyggelse/samferdsel
09 Idrettsanlegg,171,Dyrket mark
09 Idrettsanlegg,595,Skog
09 Idrettsanlegg,16,Hei og åpen vegetasjon
09 Idrettsanlegg,1,Elver/bekker
09 Idrettsanlegg,2,Innsjøer/tjern
09 Idrettsanlegg,0,Åpent hav
10 Andre formål,602,Bebyggelse/samferdsel
10 Andre formål,20,Dyrket mark
10 Andre formål,193,Skog
10 Andre formål,51,Hei og åpen vegetasjon
10 Andre formål,10,Lite vegetert mark
10 Andre formål,0,Elver/bekker
10 Andre formål,5,Innsjøer/tjern
10 Andre formål,9,"Svaberg, kyststrender og dyner"
10 Andre formål,1,Åpent hav
11 Samferdselsanlegg,7730,Bebyggelse/samferdsel
11 Samferdselsanlegg,448,Dyrket mark
11 Samferdselsanlegg,11,Grasmark
11 Samferdselsanlegg,885,Skog
11 Samferdselsanlegg,836,Hei og åpen vegetasjon
11 Samferdselsanlegg,17,Lite vegetert mark
11 Samferdselsanlegg,0,Våtmark
11 Samferdselsanlegg,6,Elver/bekker
