Arealformålsgruppe,ArealdekkekodeEnkel_navn,Dekar
01 Bolig eller sentrumsformål,Bebygd,58328
01 Bolig eller sentrumsformål,Ferskvann,36
01 Bolig eller sentrumsformål,Fulldyrka jord,700
01 Bolig eller sentrumsformål,Hav,12
01 Bolig eller sentrumsformål,Innmarksbeite,13
01 Bolig eller sentrumsformål,Myr,34
01 Bolig eller sentrumsformål,Overflatedyrka jord,34
01 Bolig eller sentrumsformål,Samferdsel,5013
01 Bolig eller sentrumsformål,Skog,9648
01 Bolig eller sentrumsformål,Åpen fastmark,1424
02 Fritidsbebyggelse,Bebygd,6717
02 Fritidsbebyggelse,Ferskvann,7
02 Fritidsbebyggelse,Fulldyrka jord,29
02 Fritidsbebyggelse,Hav,20
02 Fritidsbebyggelse,Innmarksbeite,0
02 Fritidsbebyggelse,Myr,77
02 Fritidsbebyggelse,Overflatedyrka jord,1
02 Fritidsbebyggelse,Samferdsel,553
02 Fritidsbebyggelse,Skog,4664
02 Fritidsbebyggelse,Åpen fastmark,754
03 Tjenesteyting,Bebygd,4888
03 Tjenesteyting,Ferskvann,10
03 Tjenesteyting,Fulldyrka jord,415
03 Tjenesteyting,Hav,4
03 Tjenesteyting,Innmarksbeite,6
03 Tjenesteyting,Myr,1
03 Tjenesteyting,Overflatedyrka jord,23
03 Tjenesteyting,Samferdsel,526
03 Tjenesteyting,Skog,1841
03 Tjenesteyting,Åpen fastmark,564
04 Handel,Bebygd,736
04 Handel,Ferskvann,0
04 Handel,Fulldyrka jord,22
04 Handel,Hav,0
04 Handel,Innmarksbeite,0
04 Handel,Samferdsel,30
04 Handel,Skog,69
04 Handel,Åpen fastmark,13
05 Turistformål,Bebygd,1209
05 Turistformål,Ferskvann,5
05 Turistformål,Fulldyrka jord,125
05 Turistformål,Hav,1
05 Turistformål,Myr,3
05 Turistformål,Overflatedyrka jord,16
05 Turistformål,Samferdsel,208
05 Turistformål,Skog,456
05 Turistformål,Åpen fastmark,242
06 Næringsvirksomhet,Bebygd,10567
06 Næringsvirksomhet,Ferskvann,54
06 Næringsvirksomhet,Fulldyrka jord,248
06 Næringsvirksomhet,Hav,47
06 Næringsvirksomhet,Innmarksbeite,1
06 Næringsvirksomhet,Myr,23
06 Næringsvirksomhet,Overflatedyrka jord,13
06 Næringsvirksomhet,Samferdsel,674
06 Næringsvirksomhet,Skog,4424
06 Næringsvirksomhet,Åpen fastmark,832
07 Råstoffutvinning,Bebygd,6328
07 Råstoffutvinning,Ferskvann,125
07 Råstoffutvinning,Fulldyrka jord,77
07 Råstoffutvinning,Myr,32
07 Råstoffutvinning,Overflatedyrka jord,0
07 Råstoffutvinning,Samferdsel,487
07 Råstoffutvinning,Skog,5428
07 Råstoffutvinning,Åpen fastmark,190
08 Kombinerte formål,Bebygd,5113
08 Kombinerte formål,Ferskvann,22
08 Kombinerte formål,Fulldyrka jord,595
08 Kombinerte formål,Hav,42
08 Kombinerte formål,Innmarksbeite,1
08 Kombinerte formål,Myr,18
08 Kombinerte formål,Overflatedyrka jord,6
