Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
01 Bolig eller sentrumsformål,63463,Bebyggelse/samferdsel
01 Bolig eller sentrumsformål,710,Dyrket mark
01 Bolig eller sentrumsformål,34,Grasmark
01 Bolig eller sentrumsformål,9677,Skog
01 Bolig eller sentrumsformål,924,Hei og åpen vegetasjon
01 Bolig eller sentrumsformål,289,Lite vegetert mark
01 Bolig eller sentrumsformål,0,Våtmark
01 Bolig eller sentrumsformål,13,Elver/bekker
01 Bolig eller sentrumsformål,23,Innsjøer/tjern
01 Bolig eller sentrumsformål,97,"Svaberg, kyststrender og dyner"
01 Bolig eller sentrumsformål,12,Åpent hav
02 Fritidsbebyggelse,7280,Bebyggelse/samferdsel
02 Fritidsbebyggelse,29,Dyrket mark
02 Fritidsbebyggelse,1,Grasmark
02 Fritidsbebyggelse,4686,Skog
02 Fritidsbebyggelse,296,Hei og åpen vegetasjon
02 Fritidsbebyggelse,221,Lite vegetert mark
02 Fritidsbebyggelse,55,Våtmark
02 Fritidsbebyggelse,3,Elver/bekker
02 Fritidsbebyggelse,5,Innsjøer/tjern
02 Fritidsbebyggelse,228,"Svaberg, kyststrender og dyner"
02 Fritidsbebyggelse,20,Åpent hav
03 Tjenesteyting,5624,Bebyggelse/samferdsel
03 Tjenesteyting,402,Dyrket mark
03 Tjenesteyting,16,Grasmark
03 Tjenesteyting,1833,Skog
03 Tjenesteyting,379,Hei og åpen vegetasjon
03 Tjenesteyting,4,Lite vegetert mark
03 Tjenesteyting,1,Våtmark
03 Tjenesteyting,8,Elver/bekker
03 Tjenesteyting,2,Innsjøer/tjern
03 Tjenesteyting,4,"Svaberg, kyststrender og dyner"
03 Tjenesteyting,4,Åpent hav
04 Handel,769,Bebyggelse/samferdsel
04 Handel,22,Dyrket mark
04 Handel,69,Skog
04 Handel,8,Hei og åpen vegetasjon
04 Handel,1,Lite vegetert mark
04 Handel,0,Elver/bekker
04 Handel,0,Innsjøer/tjern
04 Handel,1,"Svaberg, kyststrender og dyner"
04 Handel,0,Åpent hav
05 Turistformål,1499,Bebyggelse/samferdsel
05 Turistformål,120,Dyrket mark
05 Turistformål,16,Grasmark
05 Turistformål,447,Skog
05 Turistformål,153,Hei og åpen vegetasjon
05 Turistformål,19,Lite vegetert mark
05 Turistformål,2,Våtmark
05 Turistformål,3,Elver/bekker
05 Turistformål,2,Innsjøer/tjern
05 Turistformål,2,"Svaberg, kyststrender og dyner"
05 Turistformål,1,Åpent hav
06 Næringsvirksomhet,11353,Bebyggelse/samferdsel
06 Næringsvirksomhet,248,Dyrket mark
06 Næringsvirksomhet,13,Grasmark
06 Næringsvirksomhet,4433,Skog
06 Næringsvirksomhet,665,Hei og åpen vegetasjon
06 Næringsvirksomhet,48,Lite vegetert mark
06 Næringsvirksomhet,12,Våtmark
06 Næringsvirksomhet,12,Elver/bekker
06 Næringsvirksomhet,42,Innsjøer/tjern
06 Næringsvirksomhet,9,"Svaberg, kyststrender og dyner"
06 Næringsvirksomhet,47,Åpent hav
07 Råstoffutvinning,6938,Bebyggelse/samferdsel
07 Råstoffutvinning,77,Dyrket mark
07 Råstoffutvinning,0,Grasmark
07 Råstoffutvinning,5450,Skog
07 Råstoffutvinning,26,Hei og åpen vegetasjon
07 Råstoffutvinning,48,Lite vegetert mark
07 Råstoffutvinning,3,Våtmark
07 Råstoffutvinning,6,Elver/bekker
07 Råstoffutvinning,119,Innsjøer/tjern
08 Kombinerte formål,5868,Bebyggelse/samferdsel
08 Kombinerte formål,574,Dyrket mark
08 Kombinerte formål,5,Grasmark
08 Kombinerte formål,3768,Skog
08 Kombinerte formål,317,Hei og åpen vegetasjon
08 Kombinerte formål,114,Lite vegetert mark
08 Kombinerte formål,8,Våtmark
08 Kombinerte formål,4,Elver/bekker
08 Kombinerte formål,18,Innsjøer/tjern
08 Kombinerte formål,50,"Svaberg, kyststrender og dyner"
08 Kombinerte formål,42,Åpent hav
09 Idrettsanlegg,6892,Bebyggelse/samferdsel
09 Idrettsanlegg,956,Dyrket mark
09 Idrettsanlegg,28,Grasmark
09 Idrettsanlegg,3070,Skog
09 Idrettsanlegg,411,Hei og åpen vegetasjon
09 Idrettsanlegg,4,Lite vegetert mark
09 Idrettsanlegg,42,Våtmark
09 Idrettsanlegg,42,Elver/bekker
09 Idrettsanlegg,105,Innsjøer/tjern
09 Idrettsanlegg,2,"Svaberg, kyststrender og dyner"
09 Idrettsanlegg,2,Åpent hav
10 Andre formål,2946,Bebyggelse/samferdsel
10 Andre formål,239,Dyrket mark
10 Andre formål,9,Grasmark
10 Andre formål,1087,Skog
10 Andre formål,314,Hei og åpen vegetasjon
10 Andre formål,27,Lite vegetert mark
10 Andre formål,2,Våtmark
10 Andre formål,5,Elver/bekker
10 Andre formål,27,Innsjøer/tjern
10 Andre formål,12,"Svaberg, kyststrender og dyner"
10 Andre formål,21,Åpent hav
11 Samferdselsanlegg,31255,Bebyggelse/samferdsel
11 Samferdselsanlegg,1458,Dyrket mark
11 Samferdselsanlegg,45,Grasmark
11 Samferdselsanlegg,3939,Skog
11 Samferdselsanlegg,3671,Hei og åpen vegetasjon
11 Samferdselsanlegg,133,Lite vegetert mark
11 Samferdselsanlegg,4,Våtmark
11 Samferdselsanlegg,17,Elver/bekker
11 Samferdselsanlegg,10,Innsjøer/tjern
11 Samferdselsanlegg,4,"Svaberg, kyststrender og dyner"
11 Samferdselsanlegg,24,Åpent hav
12 Blå/grønnstruktur,7630,Bebyggelse/samferdsel
12 Blå/grønnstruktur,2179,Dyrket mark
12 Blå/grønnstruktur,408,Grasmark
12 Blå/grønnstruktur,44551,Skog
12 Blå/grønnstruktur,4522,Hei og åpen vegetasjon
12 Blå/grønnstruktur,899,Lite vegetert mark
12 Blå/grønnstruktur,361,Våtmark
12 Blå/grønnstruktur,96,Elver/bekker
12 Blå/grønnstruktur,177,Innsjøer/tjern
12 Blå/grønnstruktur,5379,"Svaberg, kyststrender og dyner"
12 Blå/grønnstruktur,320,Åpent hav
13 Forsvaret,176,Bebyggelse/samferdsel
13 Forsvaret,22,Dyrket mark
13 Forsvaret,1165,Skog
13 Forsvaret,81,Hei og åpen vegetasjon
13 Forsvaret,2,Lite vegetert mark
13 Forsvaret,1,Elver/bekker
13 Forsvaret,2,Innsjøer/tjern
13 Forsvaret,34,"Svaberg, kyststrender og dyner"
13 Forsvaret,2,Åpent hav
14 LNFR,60641,Bebyggelse/samferdsel
14 LNFR,396623,Dyrket mark
14 LNFR,10368,Grasmark
14 LNFR,1283883,Skog
14 LNFR,20395,Hei og åpen vegetasjon
14 LNFR,3235,Lite vegetert mark
14 LNFR,10701,Våtmark
14 LNFR,137,Elver/bekker
14 LNFR,126,Innsjøer/tjern
14 LNFR,13822,"Svaberg, kyststrender og dyner"
14 LNFR,39,Åpent hav
15 LNFR spredt,8206,Bebyggelse/samferdsel
15 LNFR spredt,4034,Dyrket mark
15 LNFR spredt,316,Grasmark
15 LNFR spredt,9286,Skog
15 LNFR spredt,350,Hei og åpen vegetasjon
15 LNFR spredt,3,Lite vegetert mark
15 LNFR spredt,0,Våtmark
15 LNFR spredt,25,Elver/bekker
15 LNFR spredt,2,Innsjøer/tjern
15 LNFR spredt,1,"Svaberg, kyststrender og dyner"
15 LNFR spredt,0,Åpent hav
16 Havner og småbåthavner,632,Bebyggelse/samferdsel
16 Havner og småbåthavner,0,Dyrket mark
16 Havner og småbåthavner,38,Skog
16 Havner og småbåthavner,59,Hei og åpen vegetasjon
16 Havner og småbåthavner,1,Lite vegetert mark
16 Havner og småbåthavner,1,Våtmark
16 Havner og småbåthavner,45,Elver/bekker
16 Havner og småbåthavner,17,Innsjøer/tjern
16 Havner og småbåthavner,19,"Svaberg, kyststrender og dyner"
16 Havner og småbåthavner,3140,Åpent hav
"17 Sjø og vassdrag, flerbruk",81,Bebyggelse/samferdsel
"17 Sjø og vassdrag, flerbruk",1,Dyrket mark
"17 Sjø og vassdrag, flerbruk",3,Grasmark
"17 Sjø og vassdrag, flerbruk",126,Skog
"17 Sjø og vassdrag, flerbruk",155,Hei og åpen vegetasjon
"17 Sjø og vassdrag, flerbruk",6,Lite vegetert mark
"17 Sjø og vassdrag, flerbruk",15,Våtmark
"17 Sjø og vassdrag, flerbruk",13328,Elver/bekker
"17 Sjø og vassdrag, flerbruk",67294,Innsjøer/tjern
"17 Sjø og vassdrag, flerbruk",127,"Svaberg, kyststrender og dyner"
"17 Sjø og vassdrag, flerbruk",996460,Åpent hav
18 Akvakultur,7,Bebyggelse/samferdsel
18 Akvakultur,2,Dyrket mark
18 Akvakultur,0,Grasmark
18 Akvakultur,2,Skog
18 Akvakultur,1,Hei og åpen vegetasjon
18 Akvakultur,0,Lite vegetert mark
18 Akvakultur,0,Elver/bekker
18 Akvakultur,3,Innsjøer/tjern
18 Akvakultur,1,"Svaberg, kyststrender og dyner"
18 Akvakultur,111,Åpent hav
