Arealformålsgruppe,Arealtype,Dekar.sum
01 Bolig eller sentrumsformål,Fulldyrka jord,58
01 Bolig eller sentrumsformål,Overflatedyrka jord,4
01 Bolig eller sentrumsformål,Innmarksbeite,2
01 Bolig eller sentrumsformål,Skog,827
01 Bolig eller sentrumsformål,Åpen fastmark,148
01 Bolig eller sentrumsformål,Ferskvann,0
01 Bolig eller sentrumsformål,Hav,1
02 Fritidsbebyggelse,Fulldyrka jord,1
02 Fritidsbebyggelse,Innmarksbeite,1
02 Fritidsbebyggelse,Skog,261
02 Fritidsbebyggelse,Åpen fastmark,88
02 Fritidsbebyggelse,Hav,6
03 Tjenesteyting,Fulldyrka jord,22
03 Tjenesteyting,Skog,68
03 Tjenesteyting,Åpen fastmark,11
03 Tjenesteyting,Ferskvann,0
03 Tjenesteyting,Hav,0
04 Handel,Fulldyrka jord,11
04 Handel,Skog,33
04 Handel,Åpen fastmark,23
06 Næringsvirksomhet,Fulldyrka jord,5
06 Næringsvirksomhet,Skog,138
06 Næringsvirksomhet,Åpen fastmark,6
06 Næringsvirksomhet,Hav,10
07 Råstoffutvinning,Skog,1
07 Råstoffutvinning,Åpen fastmark,4
08 Kombinerte formål,Bebygd,0
08 Kombinerte formål,Fulldyrka jord,43
08 Kombinerte formål,Skog,93
08 Kombinerte formål,Åpen fastmark,11
08 Kombinerte formål,Ferskvann,0
09 Idrettsanlegg,Fulldyrka jord,1
09 Idrettsanlegg,Skog,234
09 Idrettsanlegg,Åpen fastmark,10
09 Idrettsanlegg,Ferskvann,0
11 Samferdselsanlegg,Fulldyrka jord,27
11 Samferdselsanlegg,Innmarksbeite,1
11 Samferdselsanlegg,Skog,56
11 Samferdselsanlegg,Åpen fastmark,14
11 Samferdselsanlegg,Hav,0
