Arealformålsgruppe,Arealtype,Dekar.sum
01 Bolig eller sentrumsformål,Bebygd,16
01 Bolig eller sentrumsformål,Samferdsel,1
01 Bolig eller sentrumsformål,Fulldyrka jord,141
01 Bolig eller sentrumsformål,Overflatedyrka jord,2
01 Bolig eller sentrumsformål,Skog,1249
01 Bolig eller sentrumsformål,Åpen fastmark,86
01 Bolig eller sentrumsformål,Myr,30
01 Bolig eller sentrumsformål,Ferskvann,0
02 Fritidsbebyggelse,Skog,4
03 Tjenesteyting,Bebygd,8
03 Tjenesteyting,Samferdsel,0
03 Tjenesteyting,Fulldyrka jord,93
03 Tjenesteyting,Innmarksbeite,6
03 Tjenesteyting,Skog,162
03 Tjenesteyting,Åpen fastmark,11
03 Tjenesteyting,Myr,1
04 Handel,Fulldyrka jord,0
04 Handel,Skog,2
04 Handel,Åpen fastmark,8
06 Næringsvirksomhet,Bebygd,5
06 Næringsvirksomhet,Fulldyrka jord,70
06 Næringsvirksomhet,Innmarksbeite,3
06 Næringsvirksomhet,Skog,1265
06 Næringsvirksomhet,Åpen fastmark,89
06 Næringsvirksomhet,Hav,0
07 Råstoffutvinning,Samferdsel,2
07 Råstoffutvinning,Fulldyrka jord,73
07 Råstoffutvinning,Skog,186
07 Råstoffutvinning,Åpen fastmark,75
08 Kombinerte formål,Bebygd,7
08 Kombinerte formål,Fulldyrka jord,113
08 Kombinerte formål,Skog,158
08 Kombinerte formål,Åpen fastmark,181
08 Kombinerte formål,Hav,0
09 Idrettsanlegg,Bebygd,8
09 Idrettsanlegg,Samferdsel,0
09 Idrettsanlegg,Fulldyrka jord,161
09 Idrettsanlegg,Skog,560
09 Idrettsanlegg,Åpen fastmark,10
09 Idrettsanlegg,Ferskvann,0
11 Samferdselsanlegg,Bebygd,8
11 Samferdselsanlegg,Samferdsel,0
11 Samferdselsanlegg,Fulldyrka jord,33
11 Samferdselsanlegg,Innmarksbeite,0
11 Samferdselsanlegg,Skog,127
11 Samferdselsanlegg,Åpen fastmark,55
11 Samferdselsanlegg,Myr,5
11 Samferdselsanlegg,Ferskvann,0
