Kommune;Arealklasse;År;Nivå;Areal
Færder;Sjøareal;2024;2;469,52
Holmestrand;Sjøareal;2024;2;54,98
Horten;Sjøareal;2024;2;79,21
Larvik;Sjøareal;2024;2;245,48
Sandefjord;Sjøareal;2024;2;97,43
Tønsberg;Sjøareal;2024;2;53,82
Vestfold;Sjøareal;2024;1;1000,43
Færder;Sjøareal;2023;2;469,52
Holmestrand;Sjøareal;2023;2;54,98
Horten;Sjøareal;2023;2;79,21
Larvik;Sjøareal;2023;2;245,48
Sandefjord;Sjøareal;2023;2;97,43
Tønsberg;Sjøareal;2023;2;53,82
Vestfold;Sjøareal;2023;1;1000,43
Færder;Sjøareal;2022;2;469,52
Holmestrand;Sjøareal;2022;2;54,98
Horten;Sjøareal;2022;2;79,21
Larvik;Sjøareal;2022;2;245,48
Sandefjord;Sjøareal;2022;2;97,43
Tønsberg;Sjøareal;2022;2;53,82
Vestfold;Sjøareal;2022;1;1000,43
Færder;Sjøareal;2021;2;469,52
Holmestrand;Sjøareal;2021;2;54,98
Horten;Sjøareal;2021;2;79,21
Larvik;Sjøareal;2021;2;245,48
Sandefjord;Sjøareal;2021;2;97,43
Tønsberg;Sjøareal;2021;2;53,82
Vestfold;Sjøareal;2021;1;1000,43
Færder;Sjøareal;2020;2;469,52
Holmestrand;Sjøareal;2020;2;54,98
Horten;Sjøareal;2020;2;79,21
Larvik;Sjøareal;2020;2;245,48
Sandefjord;Sjøareal;2020;2;97,43
Tønsberg;Sjøareal;2020;2;53,82
Vestfold;Sjøareal;2020;1;1000,43
Færder;Sjøareal;2019;2;469,52
Holmestrand;Sjøareal;2019;2;54,98
Horten;Sjøareal;2019;2;79,21
Larvik;Sjøareal;2019;2;245,48
Sandefjord;Sjøareal;2019;2;97,43
Tønsberg;Sjøareal;2019;2;53,82
Vestfold;Sjøareal;2019;1;1000,43
Færder;Sjøareal;2018;2;469,52
Holmestrand;Sjøareal;2018;2;54,98
Horten;Sjøareal;2018;2;79,21
Larvik;Sjøareal;2018;2;245,48
Sandefjord;Sjøareal;2018;2;97,43
Tønsberg;Sjøareal;2018;2;53,82
Vestfold;Sjøareal;2018;1;1000,43
