LineNumber	Kommune	Year	Month	Totals	Late	ONTIME
70001	Horten	2023	1	2 620	1 216	1 404
70001	Horten	2023	2	2 549	992	1 557
70001	Horten	2023	3	2 740	1 155	1 585
70001	Horten	2023	4	2 358	978	1 380
70001	Horten	2023	5	2 584	1 215	1 369
70001	Horten	2023	6	2 133	1 043	1 090
70001	Horten	2023	7	1 239	430	809
70001	Horten	2023	8	1 241	481	760
70001	Horten	2023	9	1 307	523	784
70001	Horten	2023	10	2 799	1 177	1 622
70001	Horten	2023	11	2 096	818	1 278
70001	Horten	2023	12	2 465	1 054	1 411
70001	Larvik	2023	1	4 482	1 632	2 850
70001	Larvik	2023	2	4 323	1 265	3 058
70001	Larvik	2023	3	4 758	1 377	3 381
70001	Larvik	2023	4	4 132	1 201	2 931
70001	Larvik	2023	5	4 412	1 491	2 921
70001	Larvik	2023	6	3 498	1 251	2 247
70001	Larvik	2023	7	1 751	499	1 252
70001	Larvik	2023	8	1 982	648	1 334
70001	Larvik	2023	9	2 305	670	1 635
70001	Larvik	2023	10	4 995	1 700	3 295
70001	Larvik	2023	11	3 480	1 187	2 293
70001	Larvik	2023	12	4 107	1 722	2 385
70001	Sandefjord	2023	1	3 127	1 483	1 644
70001	Sandefjord	2023	2	2 951	1 123	1 828
70001	Sandefjord	2023	3	3 167	1 235	1 932
70001	Sandefjord	2023	4	2 717	1 003	1 714
70001	Sandefjord	2023	5	2 970	1 231	1 739
70001	Sandefjord	2023	6	2 330	1 037	1 293
70001	Sandefjord	2023	7	1 238	437	801
70001	Sandefjord	2023	8	1 365	542	823
70001	Sandefjord	2023	9	1 511	580	931
70001	Sandefjord	2023	10	3 343	1 362	1 981
70001	Sandefjord	2023	11	2 495	1 019	1 476
70001	Sandefjord	2023	12	2 936	1 414	1 522
70001	Tønsberg	2023	1	5 351	3 136	2 215
70001	Tønsberg	2023	2	5 041	2 528	2 513
70001	Tønsberg	2023	3	5 715	2 977	2 738
70001	Tønsberg	2023	4	4 921	2 435	2 486
70001	Tønsberg	2023	5	5 882	3 252	2 630
70001	Tønsberg	2023	6	4 950	2 826	2 124
70001	Tønsberg	2023	7	2 617	1 140	1 477
70001	Tønsberg	2023	8	2 840	1 394	1 446
70001	Tønsberg	2023	9	3 053	1 509	1 544
70001	Tønsberg	2023	10	6 057	3 225	2 832
70001	Tønsberg	2023	11	5 012	2 657	2 355
70001	Tønsberg	2023	12	5 638	3 184	2 454
70002	Færder	2023	1	2 530	811	1 719
70002	Færder	2023	2	2 302	524	1 778
