Knr,Kommunenavn,Tid,Gruppe,Forbruk (kWh),Antall målere
3901.0,Horten,2025-01-01 00:00:00+01:00,Næring (unntatt industri),11596.098,1057.0
3901.0,Horten,2025-01-01 01:00:00+01:00,Næring (unntatt industri),11427.415,1057.0
3901.0,Horten,2025-01-01 02:00:00+01:00,Næring (unntatt industri),11382.08,1057.0
3901.0,Horten,2025-01-01 03:00:00+01:00,Næring (unntatt industri),11356.015,1057.0
3901.0,Horten,2025-01-01 04:00:00+01:00,Næring (unntatt industri),11405.52,1057.0
3901.0,Horten,2025-01-01 05:00:00+01:00,Næring (unntatt industri),12291.124,1057.0
3901.0,Horten,2025-01-01 06:00:00+01:00,Næring (unntatt industri),13076.184,1057.0
3901.0,Horten,2025-01-01 07:00:00+01:00,Næring (unntatt industri),14482.157,1057.0
3901.0,Horten,2025-01-01 08:00:00+01:00,Næring (unntatt industri),14674.096,1057.0
3901.0,Horten,2025-01-01 09:00:00+01:00,Næring (unntatt industri),14794.865,1057.0
3901.0,Horten,2025-01-01 10:00:00+01:00,Næring (unntatt industri),15253.454,1057.0
3901.0,Horten,2025-01-01 11:00:00+01:00,Næring (unntatt industri),15184.664,1057.0
3901.0,Horten,2025-01-01 12:00:00+01:00,Næring (unntatt industri),15945.682,1057.0
3901.0,Horten,2025-01-01 13:00:00+01:00,Næring (unntatt industri),15706.104,1057.0
3901.0,Horten,2025-01-01 14:00:00+01:00,Næring (unntatt industri),16498.607,1057.0
3901.0,Horten,2025-01-01 15:00:00+01:00,Næring (unntatt industri),16305.854,1057.0
3901.0,Horten,2025-01-01 16:00:00+01:00,Næring (unntatt industri),16803.426,1057.0
3901.0,Horten,2025-01-01 17:00:00+01:00,Næring (unntatt industri),16579.355,1057.0
3901.0,Horten,2025-01-01 18:00:00+01:00,Næring (unntatt industri),15853.171,1057.0
3901.0,Horten,2025-01-01 19:00:00+01:00,Næring (unntatt industri),15254.711,1057.0
3901.0,Horten,2025-01-01 20:00:00+01:00,Næring (unntatt industri),14924.625,1057.0
3901.0,Horten,2025-01-01 21:00:00+01:00,Næring (unntatt industri),14507.369,1057.0
3901.0,Horten,2025-01-01 22:00:00+01:00,Næring (unntatt industri),14220.584,1057.0
3901.0,Horten,2025-01-01 23:00:00+01:00,Næring (unntatt industri),13932.105,1057.0
3901.0,Horten,2025-01-01 00:00:00+01:00,Industri,5269.409,253.0
3901.0,Horten,2025-01-01 01:00:00+01:00,Industri,5280.157,253.0
3901.0,Horten,2025-01-01 02:00:00+01:00,Industri,5263.764,253.0
3901.0,Horten,2025-01-01 03:00:00+01:00,Industri,5423.244,253.0
3901.0,Horten,2025-01-01 04:00:00+01:00,Industri,5477.033,253.0
3901.0,Horten,2025-01-01 05:00:00+01:00,Industri,5850.408,253.0
3901.0,Horten,2025-01-01 06:00:00+01:00,Industri,6256.189,253.0
3901.0,Horten,2025-01-01 07:00:00+01:00,Industri,6534.476,253.0
3901.0,Horten,2025-01-01 08:00:00+01:00,Industri,6761.655,253.0
3901.0,Horten,2025-01-01 09:00:00+01:00,Industri,7043.806,253.0
3901.0,Horten,2025-01-01 10:00:00+01:00,Industri,7042.082,253.0
3901.0,Horten,2025-01-01 11:00:00+01:00,Industri,7048.13,253.0
3901.0,Horten,2025-01-01 12:00:00+01:00,Industri,7014.459,253.0
3901.0,Horten,2025-01-01 13:00:00+01:00,Industri,7031.241,253.0
3901.0,Horten,2025-01-01 14:00:00+01:00,Industri,7100.717,253.0
3901.0,Horten,2025-01-01 15:00:00+01:00,Industri,7147.393,253.0
3901.0,Horten,2025-01-01 16:00:00+01:00,Industri,7123.35,253.0
3901.0,Horten,2025-01-01 17:00:00+01:00,Industri,6712.573,253.0
3901.0,Horten,2025-01-01 18:00:00+01:00,Industri,6618.774,253.0
3901.0,Horten,2025-01-01 19:00:00+01:00,Industri,6595.524,253.0
3901.0,Horten,2025-01-01 20:00:00+01:00,Industri,6291.609,253.0
3901.0,Horten,2025-01-01 21:00:00+01:00,Industri,6255.117,253.0
3901.0,Horten,2025-01-01 22:00:00+01:00,Industri,5975.765,253.0
3901.0,Horten,2025-01-01 23:00:00+01:00,Industri,5925.664,253.0
3901.0,Horten,2025-01-01 00:00:00+01:00,Husholdninger,31390.906,13881.0
3901.0,Horten,2025-01-01 01:00:00+01:00,Husholdninger,31707.217,13881.0
3901.0,Horten,2025-01-01 02:00:00+01:00,Husholdninger,31449.084,13881.0
3901.0,Horten,2025-01-01 03:00:00+01:00,Husholdninger,30692.018,13881.0
3901.0,Horten,2025-01-01 04:00:00+01:00,Husholdninger,30153.691,13881.0
3901.0,Horten,2025-01-01 05:00:00+01:00,Husholdninger,30038.361,13881.0
3901.0,Horten,2025-01-01 06:00:00+01:00,Husholdninger,30243.496,13881.0
3901.0,Horten,2025-01-01 07:00:00+01:00,Husholdninger,30531.418,13881.0
3901.0,Horten,2025-01-01 08:00:00+01:00,Husholdninger,31187.553,13881.0
3901.0,Horten,2025-01-01 09:00:00+01:00,Husholdninger,32659.555,13881.0
3901.0,Horten,2025-01-01 10:00:00+01:00,Husholdninger,34377.902,13881.0
3901.0,Horten,2025-01-01 11:00:00+01:00,Husholdninger,35899.59,13881.0
3901.0,Horten,2025-01-01 12:00:00+01:00,Husholdninger,36542.992,13881.0
3901.0,Horten,2025-01-01 13:00:00+01:00,Husholdninger,36906.914,13881.0
3901.0,Horten,2025-01-01 14:00:00+01:00,Husholdninger,37389.04,13881.0
3901.0,Horten,2025-01-01 15:00:00+01:00,Husholdninger,38686.016,13881.0
3901.0,Horten,2025-01-01 16:00:00+01:00,Husholdninger,39905.395,13881.0
3901.0,Horten,2025-01-01 17:00:00+01:00,Husholdninger,40179.605,13881.0
3901.0,Horten,2025-01-01 18:00:00+01:00,Husholdninger,40120.363,13881.0
3901.0,Horten,2025-01-01 19:00:00+01:00,Husholdninger,39654.074,13881.0
3901.0,Horten,2025-01-01 20:00:00+01:00,Husholdninger,39072.555,13881.0
3901.0,Horten,2025-01-01 21:00:00+01:00,Husholdninger,38387.902,13881.0
3901.0,Horten,2025-01-01 22:00:00+01:00,Husholdninger,37400.242,13881.0
3901.0,Horten,2025-01-01 23:00:00+01:00,Husholdninger,36268.49,13881.0
3903.0,Holmestrand,2025-01-01 00:00:00+01:00,Næring (unntatt industri),11172.29,1175.0
3903.0,Holmestrand,2025-01-01 01:00:00+01:00,Næring (unntatt industri),11113.743,1175.0
3903.0,Holmestrand,2025-01-01 02:00:00+01:00,Næring (unntatt industri),11226.154,1175.0
3903.0,Holmestrand,2025-01-01 03:00:00+01:00,Næring (unntatt industri),11127.811,1175.0
3903.0,Holmestrand,2025-01-01 04:00:00+01:00,Næring (unntatt industri),11156.632,1175.0
3903.0,Holmestrand,2025-01-01 05:00:00+01:00,Næring (unntatt industri),11643.249,1175.0
3903.0,Holmestrand,2025-01-01 06:00:00+01:00,Næring (unntatt industri),12832.068,1175.0
3903.0,Holmestrand,2025-01-01 07:00:00+01:00,Næring (unntatt industri),13526.254,1175.0
3903.0,Holmestrand,2025-01-01 08:00:00+01:00,Næring (unntatt industri),14002.44,1175.0
3903.0,Holmestrand,2025-01-01 09:00:00+01:00,Næring (unntatt industri),13528.182,1175.0
3903.0,Holmestrand,2025-01-01 10:00:00+01:00,Næring (unntatt industri),14005.409,1175.0
3903.0,Holmestrand,2025-01-01 11:00:00+01:00,Næring (unntatt industri),14736.088,1175.0
3903.0,Holmestrand,2025-01-01 12:00:00+01:00,Næring (unntatt industri),15145.483,1175.0
3903.0,Holmestrand,2025-01-01 13:00:00+01:00,Næring (unntatt industri),15604.657,1175.0
3903.0,Holmestrand,2025-01-01 14:00:00+01:00,Næring (unntatt industri),15856.913,1175.0
3903.0,Holmestrand,2025-01-01 15:00:00+01:00,Næring (unntatt industri),15774.343,1175.0
3903.0,Holmestrand,2025-01-01 16:00:00+01:00,Næring (unntatt industri),15653.184,1175.0
3903.0,Holmestrand,2025-01-01 17:00:00+01:00,Næring (unntatt industri),14903.558,1175.0
3903.0,Holmestrand,2025-01-01 18:00:00+01:00,Næring (unntatt industri),14439.76,1175.0
3903.0,Holmestrand,2025-01-01 19:00:00+01:00,Næring (unntatt industri),13922.654,1175.0
3903.0,Holmestrand,2025-01-01 20:00:00+01:00,Næring (unntatt industri),13486.241,1175.0
3903.0,Holmestrand,2025-01-01 21:00:00+01:00,Næring (unntatt industri),13138.052,1175.0
3903.0,Holmestrand,2025-01-01 22:00:00+01:00,Næring (unntatt industri),12452.605,1175.0
3903.0,Holmestrand,2025-01-01 23:00:00+01:00,Næring (unntatt industri),12190.617,1175.0
3903.0,Holmestrand,2025-01-01 00:00:00+01:00,Industri,8863.138,326.0
3903.0,Holmestrand,2025-01-01 01:00:00+01:00,Industri,9333.84,326.0
3903.0,Holmestrand,2025-01-01 02:00:00+01:00,Industri,9632.349,326.0
3903.0,Holmestrand,2025-01-01 03:00:00+01:00,Industri,9792.73,326.0
3903.0,Holmestrand,2025-01-01 04:00:00+01:00,Industri,9614.635,326.0
3903.0,Holmestrand,2025-01-01 05:00:00+01:00,Industri,9598.348,326.0
3903.0,Holmestrand,2025-01-01 06:00:00+01:00,Industri,9877.317,326.0
3903.0,Holmestrand,2025-01-01 07:00:00+01:00,Industri,9990.324,326.0
3903.0,Holmestrand,2025-01-01 08:00:00+01:00,Industri,10114.363,326.0
3903.0,Holmestrand,2025-01-01 09:00:00+01:00,Industri,9887.657,326.0
3903.0,Holmestrand,2025-01-01 10:00:00+01:00,Industri,10439.827,326.0
3903.0,Holmestrand,2025-01-01 11:00:00+01:00,Industri,10555.609,326.0
3903.0,Holmestrand,2025-01-01 12:00:00+01:00,Industri,13275.728,326.0
3903.0,Holmestrand,2025-01-01 13:00:00+01:00,Industri,11740.476,326.0
3903.0,Holmestrand,2025-01-01 14:00:00+01:00,Industri,12889.348,326.0
3903.0,Holmestrand,2025-01-01 15:00:00+01:00,Industri,13232.623,326.0
3903.0,Holmestrand,2025-01-01 16:00:00+01:00,Industri,13515.644,326.0
3903.0,Holmestrand,2025-01-01 17:00:00+01:00,Industri,13397.087,326.0
3903.0,Holmestrand,2025-01-01 18:00:00+01:00,Industri,12678.603,326.0
3903.0,Holmestrand,2025-01-01 19:00:00+01:00,Industri,12940.911,326.0
3903.0,Holmestrand,2025-01-01 20:00:00+01:00,Industri,13220.304,326.0
3903.0,Holmestrand,2025-01-01 21:00:00+01:00,Industri,14509.703,326.0
3903.0,Holmestrand,2025-01-01 22:00:00+01:00,Industri,16214.641,326.0
3903.0,Holmestrand,2025-01-01 23:00:00+01:00,Industri,16457.07,326.0
3903.0,Holmestrand,2025-01-01 00:00:00+01:00,Husholdninger,31644.895,13908.0
3903.0,Holmestrand,2025-01-01 01:00:00+01:00,Husholdninger,32136.178,13908.0
3903.0,Holmestrand,2025-01-01 02:00:00+01:00,Husholdninger,32040.2,13908.0
3903.0,Holmestrand,2025-01-01 03:00:00+01:00,Husholdninger,31238.494,13908.0
3903.0,Holmestrand,2025-01-01 04:00:00+01:00,Husholdninger,30831.756,13908.0
3903.0,Holmestrand,2025-01-01 05:00:00+01:00,Husholdninger,30740.14,13908.0
3903.0,Holmestrand,2025-01-01 06:00:00+01:00,Husholdninger,30575.803,13908.0
3903.0,Holmestrand,2025-01-01 07:00:00+01:00,Husholdninger,30801.752,13908.0
3903.0,Holmestrand,2025-01-01 08:00:00+01:00,Husholdninger,31536.406,13908.0
3903.0,Holmestrand,2025-01-01 09:00:00+01:00,Husholdninger,33008.15,13908.0
3903.0,Holmestrand,2025-01-01 10:00:00+01:00,Husholdninger,34667.727,13908.0
3903.0,Holmestrand,2025-01-01 11:00:00+01:00,Husholdninger,35438.9,13908.0
3903.0,Holmestrand,2025-01-01 12:00:00+01:00,Husholdninger,35758.2,13908.0
3903.0,Holmestrand,2025-01-01 13:00:00+01:00,Husholdninger,35744.645,13908.0
3903.0,Holmestrand,2025-01-01 14:00:00+01:00,Husholdninger,36566.57,13908.0
3903.0,Holmestrand,2025-01-01 15:00:00+01:00,Husholdninger,37814.93,13908.0
3903.0,Holmestrand,2025-01-01 16:00:00+01:00,Husholdninger,39220.973,13908.0
3903.0,Holmestrand,2025-01-01 17:00:00+01:00,Husholdninger,39657.46,13908.0
3903.0,Holmestrand,2025-01-01 18:00:00+01:00,Husholdninger,39748.1,13908.0
3903.0,Holmestrand,2025-01-01 19:00:00+01:00,Husholdninger,39241.805,13908.0
3903.0,Holmestrand,2025-01-01 20:00:00+01:00,Husholdninger,38801.39,13908.0
3903.0,Holmestrand,2025-01-01 21:00:00+01:00,Husholdninger,38176.83,13908.0
3903.0,Holmestrand,2025-01-01 22:00:00+01:00,Husholdninger,37607.52,13908.0
3903.0,Holmestrand,2025-01-01 23:00:00+01:00,Husholdninger,36362.03,13908.0
3905.0,Tønsberg,2025-01-01 00:00:00+01:00,Næring (unntatt industri),32200.371,2669.0
3905.0,Tønsberg,2025-01-01 01:00:00+01:00,Næring (unntatt industri),31498.885,2669.0
